date,profit_margin
2004-01-20,20.098
2004-02-20,20.098
2004-03-20,20.098
2004-04-20,18.5078
2004-05-20,18.5078
2004-06-20,14.3583
2004-07-20,14.3583
2004-08-20,14.3583
2004-09-20,14.1696
2004-10-20,14.0572
2004-11-20,14.0572
2004-12-20,14.5356
2005-01-20,14.5356
2005-02-20,14.5356
2005-03-20,14.3534
2005-04-20,15.7975
2005-05-20,15.7975
2005-06-20,16.2755
2005-07-20,16.2755
2005-08-20,16.2755
2005-09-20,17.1151
2005-10-20,17.1151
2005-11-20,17.1151
2005-12-20,16.803
2006-01-20,16.803
2006-02-20,16.803
2006-03-20,16.803
2006-04-20,17.6575
2006-05-20,17.4452
2006-06-20,16.9011
2006-07-20,16.9004
2006-08-20,16.9004
2006-09-20,16.2912
2006-10-20,16.1911
2006-11-20,16.2818
2006-12-20,15.4298
2007-01-20,15.4318
2007-02-20,15.5377
2007-03-20,15.4753
2007-04-20,15.3668
2007-05-20,15.5132
2007-06-20,14.3483
2007-07-20,14.3627
2007-08-20,14.5243
2007-09-20,14.533
2007-10-20,14.5331
2007-11-20,14.6398
2007-12-20,14.6738
2008-01-20,14.5355
2008-02-20,14.2983
2008-03-20,14.2976
2008-04-20,15.7505
2008-05-20,15.4984
2008-06-20,13.2587
2008-07-20,13.2352
2008-08-20,13.4092
2008-09-20,12.7465
2008-10-20,12.7232
2008-11-20,12.7913
2008-12-20,13.1228
2009-01-20,13.1618
2009-02-20,13.3534
2009-03-20,12.7845
2009-04-20,11.6572
2009-05-20,11.8725
2009-06-20,10.8229
2009-07-20,10.7064
2009-08-20,10.7729
2009-09-20,10.7983
2009-10-20,10.7934
2009-11-20,10.8454
2009-12-20,10.4489
2010-01-20,10.4513
2010-02-20,10.4607
2010-03-20,10.4739
2010-04-20,11.7154
2010-05-20,11.9372
2010-06-20,12.8054
2010-07-20,12.8092
2010-08-20,12.6515
2010-09-20,11.8838
2010-10-20,12.4026
2010-11-20,12.4069
2010-12-20,12.7269
2011-01-20,12.7269
2011-02-20,12.7319
2011-03-20,12.726
2011-04-20,15.0279
2011-05-20,13.5921
2011-06-20,14.1632
2011-07-20,14.2209
2011-08-20,14.2715
2011-09-20,14.315
2011-10-20,14.2915
2011-11-20,14.2854
2011-12-20,12.8999
2012-01-20,12.8932
2012-02-20,12.9304
2012-03-20,12.9323
2012-04-20,12.1768
2012-05-20,12.11
2012-06-20,11.2248
2012-07-20,11.2248
2012-08-20,11.2403
2012-09-20,9.7762
2012-10-20,9.7762
2012-11-20,9.7694
2012-12-20,9.075
2013-01-20,9.074
2013-02-20,9.2295
2013-03-20,8.3999
2013-04-20,7.6798
2013-05-20,7.8104
2013-06-20,6.846
2013-07-20,6.808
2013-08-20,6.8028
2013-09-20,7.328
2013-10-20,7.328
2013-11-20,7.3229
2013-12-20,7.861
2014-01-20,7.861
2014-02-20,7.8568
2014-03-20,8.0982
