date,roa
2004-01-20,13.3794
2004-02-20,13.3794
2004-03-20,13.3794
2004-04-20,12.2732
2004-05-20,12.2732
2004-06-20,7.8395
2004-07-20,7.8395
2004-08-20,7.8395
2004-09-20,7.6075
2004-10-20,7.555
2004-11-20,7.555
2004-12-20,8.0382
2005-01-20,8.0382
2005-02-20,8.0382
2005-03-20,8.0628
2005-04-20,7.5811
2005-05-20,7.5811
2005-06-20,7.6123
2005-07-20,7.6123
2005-08-20,7.6123
2005-09-20,8.4728
2005-10-20,8.4728
2005-11-20,8.4728
2005-12-20,8.565
2006-01-20,8.565
2006-02-20,8.565
2006-03-20,8.565
2006-04-20,8.8939
2006-05-20,8.7989
2006-06-20,8.1135
2006-07-20,8.1135
2006-08-20,8.1134
2006-09-20,7.8807
2006-10-20,7.832
2006-11-20,7.905
2006-12-20,7.3587
2007-01-20,7.3596
2007-02-20,7.4285
2007-03-20,7.4228
2007-04-20,6.6025
2007-05-20,6.8604
2007-06-20,6.3615
2007-07-20,6.3735
2007-08-20,6.4313
2007-09-20,6.6686
2007-10-20,6.6652
2007-11-20,6.7561
2007-12-20,6.313
2008-01-20,6.2927
2008-02-20,6.2707
2008-03-20,6.2705
2008-04-20,6.1925
2008-05-20,6.2011
2008-06-20,5.5264
2008-07-20,5.5259
2008-08-20,5.5251
2008-09-20,4.9274
2008-10-20,4.922
2008-11-20,4.9074
2008-12-20,5.1694
2009-01-20,5.1807
2009-02-20,5.1242
2009-03-20,4.8535
2009-04-20,4.0218
2009-05-20,4.0087
2009-06-20,3.3517
2009-07-20,3.3153
2009-08-20,3.3272
2009-09-20,3.5246
2009-10-20,3.5242
2009-11-20,3.5058
2009-12-20,2.9395
2010-01-20,2.9402
2010-02-20,2.9304
2010-03-20,2.9307
2010-04-20,2.9825
2010-05-20,3.0189
2010-06-20,3.5987
2010-07-20,3.5548
2010-08-20,3.5002
2010-09-20,3.3777
2010-10-20,3.5151
2010-11-20,3.5006
2010-12-20,3.3841
2011-01-20,3.3854
2011-02-20,3.3706
2011-03-20,3.3855
2011-04-20,4.1066
2011-05-20,4.0993
2011-06-20,4.3056
2011-07-20,4.3295
2011-08-20,4.3155
2011-09-20,4.4036
2011-10-20,4.4015
2011-11-20,4.3911
2011-12-20,3.9702
2012-01-20,3.9686
2012-02-20,3.9784
2012-03-20,3.9786
2012-04-20,3.7861
2012-05-20,3.7255
2012-06-20,3.3842
2012-07-20,3.3891
2012-08-20,3.3922
2012-09-20,2.7912
2012-10-20,2.7912
2012-11-20,2.7937
2012-12-20,2.7022
2013-01-20,2.7019
2013-02-20,2.6596
2013-03-20,2.2426
2013-04-20,2.1468
2013-05-20,2.1057
2013-06-20,2.083
2013-07-20,2.0864
2013-08-20,2.087
2013-09-20,2.1658
2013-10-20,2.1658
2013-11-20,2.1664
2013-12-20,2.3255
2014-01-20,2.3255
2014-02-20,2.3265
2014-03-20,2.1315
2014-04-20,2.2067
2014-05-20,2.2078
2014-06-20,2.1385
2014-07-20,2.1385
2014-08-20,2.141
2014-09-20,2.2041
2014-10-20,2.2041
2014-11-20,2.2041
2014-12-20,1.6967
2015-01-20,1.8822
2015-02-20,1.895
2015-03-20,1.8987
2015-04-20,2.4289
2015-05-20,0.5779
2015-06-20,1.024
2015-07-20,1.0241
2015-08-20,1.0255
2015-09-20,1.1043
2015-10-20,1.1065
2015-11-20,1.1024
2015-12-20,1.0784
2016-01-20,1.0781
2016-02-20,1.0782
2016-03-20,1.1533
2016-04-20,0.3049
2016-05-20,0.3063
2016-06-20,0.4622
2016-07-20,0.462
2016-08-20,0.4667
2016-09-20,0.4258
2016-10-20,0.424
2016-11-20,0.4245
2016-12-20,0.2905
2017-01-20,0.2906
2017-02-20,0.2907
2017-03-20,0.2664
2017-04-20,1.6955
2017-05-20,1.6818
2017-06-20,1.7797
2017-07-20,1.7799
2017-08-20,1.7807
2017-09-20,1.5426
2017-10-20,1.5426
2017-11-20,1.5322
2017-12-20,1.9382
2018-01-20,1.934
2018-02-20,1.934
2018-03-20,1.934
2018-04-20,1.9276
2018-05-20,1.9276
2018-06-20,1.9159
2018-07-20,1.9159
2018-08-20,1.9159
2018-09-20,2.0506
2018-10-20,2.0506
2018-11-20,2.0506
2018-12-20,2.1273
2019-01-20,2.1273
2019-02-20,2.1273
2019-03-20,2.3012
2019-04-20,2.6999
2019-05-20,2.7068
2019-06-20,2.3938
2019-07-20,2.3938
2019-08-20,2.3938
2019-09-20,2.7077
2019-10-20,2.7077
2019-11-20,2.7077
2019-12-20,2.76
2020-01-20,2.7601
2020-02-20,2.7652
2020-03-20,2.2052
2020-04-20,2.4219
2020-05-20,2.4051
2020-06-20,1.2692
2020-07-20,1.2257
2020-08-20,1.2257
2020-09-20,0.7578
2020-10-20,0.7578
2020-11-20,0.7578
2020-12-20,0.7196
2021-01-20,0.7196
2021-02-20,0.7196
2021-03-20,0.7196
2021-04-20,1.9825
2021-05-20,1.9825
2021-06-20,3.5164
2021-07-20,3.5164
2021-08-20,3.5164
2021-09-20,5.2115
2021-10-20,5.2115
2021-11-20,5.2115
2021-12-20,5.8033
2022-01-20,5.8046
2022-02-20,5.8046
2022-03-20,5.9031
2022-04-20,6.5328
2022-05-20,6.5328
2022-06-20,5.9419
2022-07-20,5.9672
2022-08-20,6.0049
2022-09-20,5.4642
2022-10-20,5.4865
2022-11-20,5.6653
2022-12-20,5.7956
2023-01-20,5.7981
2023-02-20,5.8652
2023-03-20,5.8556
2023-04-20,5.857
2023-05-20,5.8567
2023-06-20,5.2384
2023-07-20,5.2384
2023-08-20,5.2384
2023-09-20,4.4527
2023-10-20,4.4516
2023-11-20,4.4516
2023-12-20,4.0399
2024-01-20,4.0399
2024-02-20,4.0399
2024-03-20,4.0198
2024-04-20,3.7784
2024-05-20,3.7852
2024-06-20,3.6197
2024-07-20,3.6197
2024-08-20,3.6197
2024-09-20,3.2581
2024-10-20,3.2581
2024-11-20,3.2581
2024-12-20,3.2052
2025-01-20,3.2052
2025-02-20,3.2052
2025-03-20,2.2734
2025-04-20,2.3929
2025-05-20,2.3929
2025-06-20,2.8638
2025-07-20,2.8638
2025-08-20,2.8638
2025-09-20,3.148
2025-10-20,3.148
2025-11-20,3.148
2025-12-20,2.9019
2026-01-20,2.9019
2026-02-20,2.9019
2026-03-20,2.9019
2026-04-20,3.0519
