date,roc
2004-01-20,17.5305
2004-02-20,17.5305
2004-03-20,17.5305
2004-04-20,16.4167
2004-05-20,16.4167
2004-06-20,13.0864
2004-07-20,13.0232
2004-08-20,13.0232
2004-09-20,12.4118
2004-10-20,12.3103
2004-11-20,12.3103
2004-12-20,12.8305
2005-01-20,12.8305
2005-02-20,12.8305
2005-03-20,12.8698
2005-04-20,13.445
2005-05-20,13.445
2005-06-20,13.3956
2005-07-20,13.3956
2005-08-20,13.3956
2005-09-20,14.4487
2005-10-20,14.4487
2005-11-20,14.4487
2005-12-20,14.1733
2006-01-20,14.1733
2006-02-20,14.1733
2006-03-20,14.1733
2006-04-20,15.5257
2006-05-20,15.399
2006-06-20,14.8203
2006-07-20,14.8203
2006-08-20,14.8202
2006-09-20,14.0021
2006-10-20,13.9164
2006-11-20,14.0462
2006-12-20,12.849
2007-01-20,12.8507
2007-02-20,12.9689
2007-03-20,12.9589
2007-04-20,11.8669
2007-05-20,12.3298
2007-06-20,11.1238
2007-07-20,11.1351
2007-08-20,11.2362
2007-09-20,11.3513
2007-10-20,11.3475
2007-11-20,11.5023
2007-12-20,10.4051
2008-01-20,10.373
2008-02-20,10.2789
2008-03-20,10.2786
2008-04-20,10.4642
2008-05-20,10.4288
2008-06-20,9.8491
2008-07-20,9.8391
2008-08-20,9.8375
2008-09-20,9.2339
2008-10-20,9.2246
2008-11-20,9.1972
2008-12-20,9.6893
2009-01-20,9.709
2009-02-20,9.6241
2009-03-20,9.1156
2009-04-20,8.2773
2009-05-20,8.2487
2009-06-20,6.8965
2009-07-20,6.8059
2009-08-20,6.8304
2009-09-20,6.5947
2009-10-20,6.5939
2009-11-20,6.5594
2009-12-20,5.8111
2010-01-20,5.8125
2010-02-20,5.8142
2010-03-20,5.8146
2010-04-20,6.0417
2010-05-20,6.1153
2010-06-20,6.9371
2010-07-20,6.8443
2010-08-20,6.7392
2010-09-20,6.4797
2010-10-20,6.7432
2010-11-20,6.7155
2010-12-20,6.4042
2011-01-20,6.4042
2011-02-20,6.3762
2011-03-20,6.4284
2011-04-20,7.8449
2011-05-20,7.015
2011-06-20,7.2585
2011-07-20,7.2835
2011-08-20,7.2599
2011-09-20,7.3657
2011-10-20,7.3622
2011-11-20,7.3447
2011-12-20,6.6185
2012-01-20,6.6158
2012-02-20,6.6322
2012-03-20,6.6326
2012-04-20,6.3995
2012-05-20,6.2392
2012-06-20,5.6904
2012-07-20,5.6971
2012-08-20,5.7023
2012-09-20,4.6323
2012-10-20,4.6323
2012-11-20,4.6364
2012-12-20,4.438
2013-01-20,4.4376
2013-02-20,4.3682
2013-03-20,3.5432
2013-04-20,3.5134
2013-05-20,3.4446
2013-06-20,3.3027
2013-07-20,3.3061
2013-08-20,3.3071
2013-09-20,3.413
2013-10-20,3.413
2013-11-20,3.4139
2013-12-20,3.6797
2014-01-20,3.6797
2014-02-20,3.6812
2014-03-20,3.3535
2014-04-20,3.4187
2014-05-20,3.4192
2014-06-20,3.4025
2014-07-20,3.4025
2014-08-20,3.4064
2014-09-20,3.4856
2014-10-20,3.4856
2014-11-20,3.4856
2014-12-20,2.708
2015-01-20,3.0041
2015-02-20,3.0145
2015-03-20,3.0206
2015-04-20,3.8586
2015-05-20,0.8747
2015-06-20,1.6068
2015-07-20,1.6069
2015-08-20,1.6092
2015-09-20,1.7245
2015-10-20,1.7278
2015-11-20,1.7216
2015-12-20,1.6939
2016-01-20,1.6935
2016-02-20,1.6937
2016-03-20,2.0115
2016-04-20,0.4841
2016-05-20,0.4863
2016-06-20,0.7301
2016-07-20,0.7298
2016-08-20,0.7372
2016-09-20,0.6815
2016-10-20,0.6785
2016-11-20,0.6793
2016-12-20,0.4662
2017-01-20,0.4662
2017-02-20,0.4663
2017-03-20,0.4274
2017-04-20,2.6943
2017-05-20,2.6712
2017-06-20,2.9127
2017-07-20,2.9131
2017-08-20,2.9143
2017-09-20,2.5667
2017-10-20,2.5667
2017-11-20,2.5427
2017-12-20,3.2354
2018-01-20,3.2284
2018-02-20,3.2284
2018-03-20,3.2284
2018-04-20,3.2468
2018-05-20,3.2468
2018-06-20,3.3225
2018-07-20,3.3225
2018-08-20,3.3225
2018-09-20,3.5563
2018-10-20,3.5563
2018-11-20,3.5563
2018-12-20,3.738
2019-01-20,3.738
2019-02-20,3.738
2019-03-20,4.1691
2019-04-20,4.7132
2019-05-20,4.7314
2019-06-20,4.2516
2019-07-20,4.2516
2019-08-20,4.2516
2019-09-20,4.8527
2019-10-20,4.8527
2019-11-20,4.8527
2019-12-20,4.9725
2020-01-20,4.9728
2020-02-20,4.9819
2020-03-20,4.0887
2020-04-20,4.3527
2020-05-20,4.3186
2020-06-20,2.2957
2020-07-20,2.2176
2020-08-20,2.2176
2020-09-20,1.3677
2020-10-20,1.3677
2020-11-20,1.3677
2020-12-20,1.3225
2021-01-20,1.3225
2021-02-20,1.3225
2021-03-20,1.3225
2021-04-20,3.5252
2021-05-20,3.5252
2021-06-20,6.5298
2021-07-20,6.5298
2021-08-20,6.5298
2021-09-20,9.763
2021-10-20,9.763
2021-11-20,9.763
2021-12-20,10.8245
2022-01-20,10.8245
2022-02-20,10.8245
2022-03-20,9.4109
2022-04-20,10.2735
2022-05-20,10.2735
2022-06-20,10.8503
2022-07-20,10.8964
2022-08-20,10.9652
2022-09-20,10.1105
2022-10-20,10.1518
2022-11-20,10.4826
2022-12-20,10.5757
2023-01-20,10.5804
2023-02-20,10.7028
2023-03-20,10.6852
2023-04-20,10.3707
2023-05-20,10.3701
2023-06-20,9.6216
2023-07-20,9.6216
2023-08-20,9.6216
2023-09-20,8.216
2023-10-20,8.2161
2023-11-20,8.2161
2023-12-20,7.3011
2024-01-20,7.3011
2024-02-20,7.3011
2024-03-20,8.204
2024-04-20,7.4061
2024-05-20,7.3515
2024-06-20,6.5781
2024-07-20,6.5781
2024-08-20,6.5781
2024-09-20,5.8837
2024-10-20,5.8837
2024-11-20,5.8837
2024-12-20,6.2513
2025-01-20,6.2513
2025-02-20,6.2513
2025-03-20,4.6977
2025-04-20,4.6392
2025-05-20,4.6376
2025-06-20,5.5378
2025-07-20,5.5378
2025-08-20,5.5378
2025-09-20,6.0825
2025-10-20,6.0825
2025-11-20,6.0825
2025-12-20,5.5798
2026-01-20,5.5798
2026-02-20,5.5798
2026-03-20,5.5798
2026-04-20,6.2871
