date,roce
2004-01-20,33.2535
2004-02-20,33.2535
2004-03-20,33.2535
2004-04-20,30.9019
2004-05-20,30.9019
2004-06-20,26.4274
2004-07-20,26.4274
2004-08-20,26.4274
2004-09-20,25.1924
2004-10-20,24.9967
2004-11-20,24.9967
2004-12-20,25.6363
2005-01-20,25.6363
2005-02-20,25.6363
2005-03-20,25.7158
2005-04-20,27.5517
2005-05-20,27.5517
2005-06-20,27.8036
2005-07-20,27.8036
2005-08-20,27.8036
2005-09-20,28.3368
2005-10-20,28.3368
2005-11-20,28.3368
2005-12-20,26.875
2006-01-20,26.875
2006-02-20,26.875
2006-03-20,26.875
2006-04-20,30.9663
2006-05-20,30.6535
2006-06-20,28.9841
2006-07-20,28.9841
2006-08-20,28.9732
2006-09-20,27.7219
2006-10-20,27.5541
2006-11-20,27.811
2006-12-20,24.4619
2007-01-20,24.4651
2007-02-20,24.6885
2007-03-20,24.6694
2007-04-20,25.2773
2007-05-20,25.4293
2007-06-20,23.1893
2007-07-20,23.2091
2007-08-20,23.3806
2007-09-20,22.1464
2007-10-20,22.1353
2007-11-20,22.2453
2007-12-20,19.7456
2008-01-20,19.6796
2008-02-20,19.0909
2008-03-20,19.0903
2008-04-20,21.5351
2008-05-20,20.9494
2008-06-20,19.2104
2008-07-20,19.2233
2008-08-20,18.911
2008-09-20,18.3457
2008-10-20,18.3161
2008-11-20,18.2244
2008-12-20,18.642
2009-01-20,18.6493
2009-02-20,18.5786
2009-03-20,17.5897
2009-04-20,16.8973
2009-05-20,17.1051
2009-06-20,15.3091
2009-07-20,15.1331
2009-08-20,15.2563
2009-09-20,13.8995
2009-10-20,13.8982
2009-11-20,14.0175
2009-12-20,12.6644
2010-01-20,12.6675
2010-02-20,12.6932
2010-03-20,12.6942
2010-04-20,14.4118
2010-05-20,14.711
2010-06-20,15.3687
2010-07-20,15.1784
2010-08-20,15.1091
2010-09-20,14.5283
2010-10-20,15.1192
2010-11-20,15.1724
2010-12-20,13.6132
2011-01-20,13.6178
2011-02-20,13.6546
2011-03-20,13.762
2011-04-20,14.3532
2011-05-20,14.3086
2011-06-20,15.6633
2011-07-20,15.6807
2011-08-20,15.716
2011-09-20,15.6211
2011-10-20,15.6138
2011-11-20,15.6071
2011-12-20,14.3877
2012-01-20,14.3818
2012-02-20,14.4286
2012-03-20,14.4295
2012-04-20,13.4106
2012-05-20,13.4462
2012-06-20,12.4178
2012-07-20,12.4187
2012-08-20,12.4273
2012-09-20,10.5051
2012-10-20,10.5051
2012-11-20,10.5039
2012-12-20,9.8443
2013-01-20,9.8432
2013-02-20,10.0448
2013-03-20,9.0371
2013-04-20,8.3532
2013-05-20,8.4996
2013-06-20,8.1496
2013-07-20,8.1717
2013-08-20,8.1677
2013-09-20,8.636
2013-10-20,8.636
2013-11-20,8.626
2013-12-20,9.2489
2014-01-20,9.2489
2014-02-20,9.2448
2014-03-20,9.0909
2014-04-20,8.6048
2014-05-20,8.6013
2014-06-20,8.9658
2014-07-20,8.9658
2014-08-20,8.9615
2014-09-20,9.1887
2014-10-20,9.1887
2014-11-20,9.1888
2014-12-20,7.2087
2015-01-20,7.9968
2015-02-20,7.9829
2015-03-20,8.0102
2015-04-20,9.4405
2015-05-20,2.5205
2015-06-20,4.7507
2015-07-20,4.7509
2015-08-20,4.7519
2015-09-20,5.098
2015-10-20,5.108
2015-11-20,5.1045
2015-12-20,5.2481
2016-01-20,5.2468
2016-02-20,5.2473
2016-03-20,5.5607
2016-04-20,1.5763
2016-05-20,1.5826
2016-06-20,2.287
2016-07-20,2.2862
2016-08-20,2.3069
2016-09-20,2.094
2016-10-20,2.085
2016-11-20,2.0874
2016-12-20,1.4457
2017-01-20,1.4458
2017-02-20,1.4463
2017-03-20,1.3255
2017-04-20,8.6959
2017-05-20,8.6533
2017-06-20,8.6616
2017-07-20,8.6626
2017-08-20,8.667
2017-09-20,7.5597
2017-10-20,7.5597
2017-11-20,7.5385
2017-12-20,9.3378
2018-01-20,9.3175
2018-02-20,9.3175
2018-03-20,9.3175
2018-04-20,9.3309
2018-05-20,9.3309
2018-06-20,9.2487
2018-07-20,9.2487
2018-08-20,9.2487
2018-09-20,9.8668
2018-10-20,9.8668
2018-11-20,9.8668
2018-12-20,10.2888
2019-01-20,10.2888
2019-02-20,10.2888
2019-03-20,12.2849
2019-04-20,12.9979
2019-05-20,13.0672
2019-06-20,12.0641
2019-07-20,12.0641
2019-08-20,12.0641
2019-09-20,13.3355
2019-10-20,13.3355
2019-11-20,13.3355
2019-12-20,13.3186
2020-01-20,13.3192
2020-02-20,13.3436
2020-03-20,11.6618
2020-04-20,11.6237
2020-05-20,11.5812
2020-06-20,6.8569
2020-07-20,6.6868
2020-08-20,6.6868
2020-09-20,4.1274
2020-10-20,4.1274
2020-11-20,4.1274
2020-12-20,3.8736
2021-01-20,3.8736
2021-02-20,3.8736
2021-03-20,3.8736
2021-04-20,9.5665
2021-05-20,9.5665
2021-06-20,17.5578
2021-07-20,17.5578
2021-08-20,17.5578
2021-09-20,24.8192
2021-10-20,24.8192
2021-11-20,24.8192
2021-12-20,28.4237
2022-01-20,28.4237
2022-02-20,28.4237
2022-03-20,27.8061
2022-04-20,27.9908
2022-05-20,27.9908
2022-06-20,26.9908
2022-07-20,27.1054
2022-08-20,27.2766
2022-09-20,25.4271
2022-10-20,25.5309
2022-11-20,26.363
2022-12-20,27.9136
2023-01-20,27.926
2023-02-20,28.249
2023-03-20,28.2027
2023-04-20,26.9847
2023-05-20,27.122
2023-06-20,24.6354
2023-07-20,24.6354
2023-08-20,24.6354
2023-09-20,21.3293
2023-10-20,21.4391
2023-11-20,21.4391
2023-12-20,19.5208
2024-01-20,19.5208
2024-02-20,19.5208
2024-03-20,19.4671
2024-04-20,17.8934
2024-05-20,18.2754
2024-06-20,17.2198
2024-07-20,17.2198
2024-08-20,17.2198
2024-09-20,15.8966
2024-10-20,15.8966
2024-11-20,15.8966
2024-12-20,16.3238
2025-01-20,16.3238
2025-02-20,16.3238
2025-03-20,12.3762
2025-04-20,12.4208
2025-05-20,12.4208
2025-06-20,14.6476
2025-07-20,14.6477
2025-08-20,14.6477
2025-09-20,16.1285
2025-10-20,16.1285
2025-11-20,16.1285
2025-12-20,15.0883
2026-01-20,15.0883
2026-02-20,15.0883
2026-03-20,15.0883
2026-04-20,16.8278
