date,div_yield
2004-01-20,2.1007
2004-02-20,2.0805
2004-03-20,2.2422
2004-04-20,2.5665
2004-05-20,2.7028
2004-06-20,2.9102
2004-07-20,2.5772
2004-08-20,2.6659
2004-09-20,2.5271
2004-10-20,2.6267
2004-11-20,2.4583
2004-12-20,2.4125
2005-01-20,2.5405
2005-02-20,2.393
2005-03-20,2.3108
2005-04-20,2.3752
2005-05-20,2.8511
2005-06-20,2.8313
2005-07-20,2.6344
2005-08-20,2.4769
2005-09-20,2.7467
2005-10-20,3.0223
2005-11-20,2.726
2005-12-20,2.5919
2006-01-20,2.3359
2006-02-20,2.2185
2006-03-20,2.1769
2006-04-20,1.9315
2006-05-20,2.3341
2006-06-20,2.5178
2006-07-20,2.287
2006-08-20,2.1791
2006-09-20,2.3663
2006-10-20,2.2427
2006-11-20,1.9094
2006-12-20,1.798
2007-01-20,1.6825
2007-02-20,1.6436
2007-03-20,1.7405
2007-04-20,1.5901
2007-05-20,1.6892
2007-06-20,1.5653
2007-07-20,1.4519
2007-08-20,1.6543
2007-09-20,1.3236
2007-10-20,1.1447
2007-11-20,1.3789
2007-12-20,1.3695
2008-01-20,1.4801
2008-02-20,1.5551
2008-03-20,1.9186
2008-04-20,1.6607
2008-05-20,1.661
2008-06-20,2.1988
2008-07-20,2.2925
2008-08-20,2.4844
2008-09-20,2.8608
2008-10-20,3.5883
2008-11-20,4.176
2008-12-20,3.0962
2009-01-20,3.6208
2009-02-20,3.605
2009-03-20,3.4988
2009-04-20,2.8331
2009-05-20,2.4495
2009-06-20,2.5124
2009-07-20,2.2929
2009-08-20,2.2806
2009-09-20,2.1471
2009-10-20,2.0501
2009-11-20,1.887
2009-12-20,1.9544
2010-01-20,1.886
2010-02-20,2.0485
2010-03-20,1.8675
2010-04-20,1.8558
2010-05-20,2.2623
2010-06-20,2.2041
2010-07-20,2.3441
2010-08-20,2.2481
2010-09-20,2.2224
2010-10-20,2.0841
2010-11-20,2.1207
2010-12-20,2.1726
2011-01-20,2.0999
2011-02-20,2.1459
2011-03-20,2.21
2011-04-20,2.0508
2011-05-20,2.2211
2011-06-20,2.5897
2011-07-20,2.4979
2011-08-20,2.8977
2011-09-20,3.1005
2011-10-20,3.3385
2011-11-20,3.1568
2011-12-20,3.201
2012-01-20,2.8654
2012-02-20,2.7002
2012-03-20,2.8081
2012-04-20,2.7482
2012-05-20,3.1095
2012-06-20,3.2868
2012-07-20,3.4281
2012-08-20,3.3716
2012-09-20,3.278
2012-10-20,3.0602
2012-11-20,3.111
2012-12-20,2.8466
2013-01-20,2.7119
2013-02-20,2.7877
2013-03-20,2.9312
2013-04-20,2.9972
2013-05-20,2.8754
2013-06-20,3.595
2013-07-20,3.5041
2013-08-20,3.3383
2013-09-20,3.1779
2013-10-20,3.1812
2013-11-20,3.1069
2013-12-20,3.2084
2014-01-20,3.2786
2014-02-20,3.3087
2014-03-20,3.501
2014-04-20,3.2817
2014-05-20,3.3216
2014-06-20,3.3304
2014-07-20,3.3306
2014-08-20,3.1317
2014-09-20,3.189
2014-10-20,3.3508
2014-11-20,3.2894
2014-12-20,3.1918
2015-01-20,3.0482
2015-02-20,2.9482
2015-03-20,2.9215
2015-04-20,2.5187
2015-05-20,2.5
2015-06-20,2.6003
2015-07-20,2.8328
2015-08-20,3.1864
2015-09-20,3.6878
2015-10-20,3.2967
2015-11-20,3.3732
2015-12-20,3.1185
2016-01-20,3.6708
2016-02-20,3.5869
2016-03-20,3.328
2016-04-20,3.2613
2016-05-20,3.499
2016-06-20,2.9416
2016-07-20,2.783
2016-08-20,2.5822
2016-09-20,2.2475
2016-10-20,2.2569
2016-11-20,2.3574
2016-12-20,2.4018
2017-01-20,2.2569
2017-02-20,2.1102
2017-03-20,2.0471
2017-04-20,2.0527
2017-05-20,1.9501
2017-06-20,1.8823
2017-07-20,1.8799
2017-08-20,1.8257
2017-09-20,1.9379
2017-10-20,1.9363
2017-11-20,1.8574
2017-12-20,1.9235
2018-01-20,1.7236
2018-02-20,1.7823
2018-03-20,1.721
2018-04-20,1.8677
2018-05-20,1.8157
2018-06-20,2.0962
2018-07-20,2.2729
2018-08-20,2.4099
2018-09-20,2.3244
2018-10-20,2.5715
2018-11-20,2.5348
2018-12-20,2.5563
2019-01-20,2.3659
2019-02-20,2.2314
2019-03-20,2.1074
2019-04-20,2.0482
2019-05-20,2.338
2019-06-20,2.1562
2019-07-20,2.1583
2019-08-20,2.2692
2019-09-20,2.1845
2019-10-20,2.203
2019-11-20,2.1444
2019-12-20,1.9492
2020-01-20,1.87
2020-02-20,1.9157
2020-03-20,2.2793
2020-04-20,2.0437
2020-05-20,1.9956
2020-06-20,1.8227
2020-07-20,1.7129
2020-08-20,1.6927
2020-09-20,1.6284
2020-10-20,1.5583
2020-11-20,1.5017
2020-12-20,1.4482
2021-01-20,1.1962
2021-02-20,1.1015
2021-03-20,1.2345
2021-04-20,1.269
2021-05-20,1.3151
2021-06-20,1.3721
2021-07-20,1.492
2021-08-20,1.7715
2021-09-20,1.7593
2021-10-20,1.6343
2021-11-20,1.7218
2021-12-20,1.9114
2022-01-20,1.7887
2022-02-20,1.8775
2022-03-20,2.1851
2022-04-20,2.2826
2022-05-20,2.3552
2022-06-20,2.1691
2022-07-20,2.3121
2022-08-20,2.4813
2022-09-20,2.5743
2022-10-20,3.003
2022-11-20,2.6934
2022-12-20,2.5959
2023-01-20,2.2412
2023-02-20,2.3657
2023-03-20,2.5929
2023-04-20,2.4638
2023-05-20,2.5758
2023-06-20,2.441
2023-07-20,2.5079
2023-08-20,2.5798
2023-09-20,2.5861
2023-10-20,2.6755
2023-11-20,2.5228
2023-12-20,2.8515
2024-01-20,3.1016
2024-02-20,2.9177
2024-03-20,2.7888
2024-04-20,2.9234
2024-05-20,2.5186
2024-06-20,2.877
2024-07-20,2.9534
2024-08-20,2.9624
2024-09-20,2.9763
2024-10-20,2.5291
2024-11-20,2.7063
2024-12-20,2.6194
2025-01-20,2.9459
2025-02-20,2.6
2025-03-20,2.4249
2025-04-20,2.7766
2025-05-20,2.5049
2025-06-20,2.5081
2025-07-20,2.2656
2025-08-20,2.1748
2025-09-20,1.9945
2025-10-20,2.0354
2025-11-20,2.0839
2025-12-20,2.0736
2026-01-20,2.0316
2026-02-20,2.0966
2026-03-20,2.18
2026-04-20,2.094
