date,ebitda_margin
2004-01-20,28.6141
2004-02-20,28.6141
2004-03-20,28.6141
2004-04-20,23.6332
2004-05-20,29.779
2004-06-20,29.779
2004-07-20,28.1682
2004-08-20,28.1682
2004-09-20,31.593
2004-10-20,30.303
2004-11-20,30.303
2004-12-20,29.8017
2005-01-20,28.4112
2005-02-20,28.4112
2005-03-20,28.3343
2005-04-20,37.5482
2005-05-20,31.6568
2005-06-20,31.6568
2005-07-20,30.033
2005-08-20,29.671
2005-09-20,26.1161
2005-10-20,24.0623
2005-11-20,25.1355
2005-12-20,25.1367
2006-01-20,25.1367
2006-02-20,25.1367
2006-03-20,25.1367
2006-04-20,25.6496
2006-05-20,27.0953
2006-06-20,25.0497
2006-07-20,25.0624
2006-08-20,23.1237
2006-09-20,27.2163
2006-10-20,26.039
2006-11-20,25.9812
2006-12-20,25.9811
2007-01-20,25.9808
2007-02-20,26.5963
2007-03-20,26.59
2007-04-20,25.9119
2007-05-20,27.5638
2007-06-20,27.104
2007-07-20,27.0851
2007-08-20,25.9924
2007-09-20,25.0695
2007-10-20,24.4921
2007-11-20,24.5521
2007-12-20,24.5867
2008-01-20,24.5863
2008-02-20,24.5288
2008-03-20,24.7647
2008-04-20,23.8965
2008-05-20,28.6997
2008-06-20,28.7223
2008-07-20,28.7182
2008-08-20,28.0433
2008-09-20,23.8485
2008-10-20,23.3942
2008-11-20,23.2256
2008-12-20,23.1798
2009-01-20,23.1757
2009-02-20,24.7357
2009-03-20,24.7745
2009-04-20,23.0011
2009-05-20,23.178
2009-06-20,23.1601
2009-07-20,23.2297
2009-08-20,22.5026
2009-09-20,23.3264
2009-10-20,23.0545
2009-11-20,23.0425
2009-12-20,23.0426
2010-01-20,23.0425
2010-02-20,26.0317
2010-03-20,26.0865
2010-04-20,25.1042
2010-05-20,24.0409
2010-06-20,23.2827
2010-07-20,23.2802
2010-08-20,23.2736
2010-09-20,23.5463
2010-10-20,23.8041
2010-11-20,23.799
2010-12-20,22.7235
2011-01-20,22.71
2011-02-20,22.7298
2011-03-20,22.6938
2011-04-20,23.1831
2011-05-20,23.7015
2011-06-20,23.7041
2011-07-20,23.7149
2011-08-20,25.393
2011-09-20,22.1009
2011-10-20,22.6081
2011-11-20,22.6566
2011-12-20,21.9788
2012-01-20,21.9378
2012-02-20,21.9254
2012-03-20,21.9476
2012-04-20,20.4616
2012-05-20,19.9623
2012-06-20,19.4348
2012-07-20,19.4385
2012-08-20,19.4244
2012-09-20,18.4129
2012-10-20,18.3491
2012-11-20,18.3693
2012-12-20,18.059
2013-01-20,18.0427
2013-02-20,18.0308
2013-03-20,18.0876
2013-04-20,18.459
2013-05-20,18.4155
2013-06-20,18.4326
2013-07-20,18.435
2013-08-20,18.4107
2013-09-20,17.444
2013-10-20,17.4687
2013-11-20,17.741
2013-12-20,17.7413
2014-01-20,17.7401
2014-02-20,17.5574
2014-03-20,17.5855
2014-04-20,17.1715
2014-05-20,17.5288
2014-06-20,17.0671
2014-07-20,17.0303
2014-08-20,17.2944
2014-09-20,17.0262
2014-10-20,16.9629
2014-11-20,17.2524
2014-12-20,16.2683
2015-01-20,16.248
2015-02-20,16.5981
2015-03-20,16.576
2015-04-20,18.0967
2015-05-20,18.4874
2015-06-20,16.4991
2015-07-20,16.5228
2015-08-20,17.1696
2015-09-20,18.0095
2015-10-20,18.0533
2015-11-20,18.4671
2015-12-20,16.3137
2016-01-20,16.2726
2016-02-20,16.7724
2016-03-20,16.7179
2016-04-20,16.5887
2016-05-20,16.9803
2016-06-20,16.5857
2016-07-20,16.6019
2016-08-20,16.863
2016-09-20,14.4879
2016-10-20,14.5012
2016-11-20,14.5481
2016-12-20,14.0268
2017-01-20,14.0372
2017-02-20,14.0203
2017-03-20,13.6997
2017-04-20,16.6384
2017-05-20,16.9354
2017-06-20,16.3652
2017-07-20,16.4051
2017-08-20,16.5115
2017-09-20,17.0965
2017-10-20,17.1435
2017-11-20,17.2111
2017-12-20,15.8628
2018-01-20,15.9922
2018-02-20,16.0399
2018-03-20,16.0758
2018-04-20,17.9041
2018-05-20,18.1853
2018-06-20,17.0865
2018-07-20,17.0592
2018-08-20,17.2387
2018-09-20,18.304
2018-10-20,18.307
2018-11-20,18.3208
2018-12-20,17.0519
2019-01-20,17.0227
2019-02-20,16.9268
2019-03-20,16.4318
2019-04-20,17.818
2019-05-20,17.8339
2019-06-20,16.3589
2019-07-20,16.4109
2019-08-20,16.3756
2019-09-20,16.6137
2019-10-20,16.6627
2019-11-20,16.664
2019-12-20,15.4986
2020-01-20,15.4851
2020-02-20,15.4864
2020-03-20,15.4836
2020-04-20,16.5975
2020-05-20,16.5686
2020-06-20,15.2388
2020-07-20,15.2563
2020-08-20,15.3381
2020-09-20,14.8751
2020-10-20,14.9344
2020-11-20,14.9146
2020-12-20,14.0084
2021-01-20,13.9815
2021-02-20,13.8382
2021-03-20,13.8266
2021-04-20,14.429
2021-05-20,14.5736
2021-06-20,13.2196
2021-07-20,13.2199
2021-08-20,13.2249
2021-09-20,13.5161
2021-10-20,13.5555
2021-11-20,13.5096
2021-12-20,12.2908
2022-01-20,12.3081
2022-02-20,12.2607
2022-03-20,12.2437
2022-04-20,12.8168
2022-05-20,12.7325
2022-06-20,12.9864
2022-07-20,12.9677
2022-08-20,13.0158
2022-09-20,12.5287
2022-10-20,12.5901
2022-11-20,12.5188
2022-12-20,12.5759
2023-01-20,12.5379
2023-02-20,12.4505
2023-03-20,12.3584
2023-04-20,12.8498
2023-05-20,12.8154
2023-06-20,11.8277
2023-07-20,11.8246
2023-08-20,11.9308
2023-09-20,12.8487
2023-10-20,12.8791
2023-11-20,12.9361
2023-12-20,12.0348
2024-01-20,12.0349
2024-02-20,11.9362
2024-03-20,11.8622
2024-04-20,12.1297
2024-05-20,12.37
2024-06-20,12.6527
2024-07-20,12.6418
2024-08-20,12.6276
2024-09-20,13.0457
2024-10-20,13.0943
2024-11-20,13.1027
2024-12-20,13.0189
2025-01-20,13.0015
2025-02-20,12.9955
2025-03-20,12.8722
2025-04-20,13.7523
2025-05-20,13.9057
2025-06-20,13.8475
2025-07-20,13.8168
2025-08-20,13.844
2025-09-20,13.937
2025-10-20,14.0502
2025-11-20,14.1063
2025-12-20,12.8273
2026-01-20,12.867
2026-02-20,12.8071
2026-03-20,12.6811
2026-04-20,13.0862
