date,ev_ebit
2004-01-20,8.7033
2004-02-20,9.9494
2004-03-20,9.9494
2004-04-20,9.313
2004-05-20,12.1915
2004-06-20,12.1915
2004-07-20,12.3673
2004-08-20,13.2832
2004-09-20,8.5423
2004-10-20,9.7302
2004-11-20,9.7302
2004-12-20,9.7324
2005-01-20,9.7815
2005-02-20,10.7638
2005-03-20,10.7638
2005-04-20,7.0773
2005-05-20,8.2118
2005-06-20,8.2118
2005-07-20,8.2456
2005-08-20,8.5836
2005-09-20,7.9894
2005-10-20,8.3856
2005-11-20,8.3003
2005-12-20,8.3102
2006-01-20,8.3102
2006-02-20,9.5982
2006-03-20,9.5982
2006-04-20,9.5953
2006-05-20,8.4681
2006-06-20,8.5953
2006-07-20,8.5952
2006-08-20,10.4486
2006-09-20,10.3425
2006-10-20,10.2819
2006-11-20,10.3766
2006-12-20,10.392
2007-01-20,10.3921
2007-02-20,10.2214
2007-03-20,10.2463
2007-04-20,10.4715
2007-05-20,12.9263
2007-06-20,13.2003
2007-07-20,13.2272
2007-08-20,12.3539
2007-09-20,14.1043
2007-10-20,13.6285
2007-11-20,14.0056
2007-12-20,14.018
2008-01-20,14.0158
2008-02-20,18.3426
2008-03-20,18.382
2008-04-20,18.3254
2008-05-20,14.3924
2008-06-20,14.393
2008-07-20,14.3983
2008-08-20,10.6812
2008-09-20,11.361
2008-10-20,11.3622
2008-11-20,11.6059
2008-12-20,11.621
2009-01-20,11.6203
2009-02-20,8.4364
2009-03-20,8.5549
2009-04-20,7.0543
2009-05-20,7.0604
2009-06-20,7.0536
2009-07-20,7.0247
2009-08-20,7.2462
2009-09-20,10.4301
2009-10-20,10.0924
2009-11-20,10.1525
2009-12-20,10.1525
2010-01-20,10.1526
2010-02-20,10.3661
2010-03-20,10.347
2010-04-20,10.4852
2010-05-20,11.1249
2010-06-20,9.9444
2010-07-20,9.9854
2010-08-20,10.083
2010-09-20,8.8067
2010-10-20,8.6546
2010-11-20,8.7355
2010-12-20,8.591
2011-01-20,8.6005
2011-02-20,8.7707
2011-03-20,8.8193
2011-04-20,8.3876
2011-05-20,8.2328
2011-06-20,8.2316
2011-07-20,8.2325
2011-08-20,7.7336
2011-09-20,6.9888
2011-10-20,6.794
2011-11-20,6.8555
2011-12-20,4.7973
2012-01-20,4.8189
2012-02-20,4.8875
2012-03-20,4.9014
2012-04-20,5.0263
2012-05-20,5.0581
2012-06-20,5.306
2012-07-20,5.3109
2012-08-20,5.3703
2012-09-20,4.5317
2012-10-20,4.5333
2012-11-20,4.5806
2012-12-20,5.0663
2013-01-20,5.0722
2013-02-20,5.111
2013-03-20,5.1152
2013-04-20,5.8951
2013-05-20,5.7592
2013-06-20,5.7544
2013-07-20,5.7538
2013-08-20,4.9287
2013-09-20,4.3135
2013-10-20,4.2409
2013-11-20,4.3012
2013-12-20,4.3011
2014-01-20,4.3015
2014-02-20,4.9654
2014-03-20,4.9691
2014-04-20,5.6409
2014-05-20,5.5489
2014-06-20,5.0876
2014-07-20,5.0963
2014-08-20,5.1392
2014-09-20,5.1433
2014-10-20,5.1357
2014-11-20,5.1973
2014-12-20,5.5817
2015-01-20,5.5699
2015-02-20,5.6194
2015-03-20,5.6232
2015-04-20,6.6209
2015-05-20,6.6734
2015-06-20,7.241
2015-07-20,7.2404
2015-08-20,7.3864
2015-09-20,7.9923
2015-10-20,7.9896
2015-11-20,8.1517
2015-12-20,6.821
2016-01-20,6.8188
2016-02-20,6.9358
2016-03-20,6.9517
2016-04-20,8.5083
2016-05-20,8.5635
2016-06-20,7.8898
2016-07-20,7.9056
2016-08-20,8.0719
2016-09-20,9.5151
2016-10-20,9.4691
2016-11-20,9.6215
2016-12-20,10.7043
2017-01-20,10.6845
2017-02-20,10.8305
2017-03-20,10.8432
2017-04-20,10.4692
2017-05-20,10.3207
2017-06-20,10.939
2017-07-20,10.9409
2017-08-20,11.0479
2017-09-20,11.4071
2017-10-20,11.4237
2017-11-20,11.5458
2017-12-20,12.2765
2018-01-20,12.2574
2018-02-20,12.3957
2018-03-20,12.4224
2018-04-20,12.1851
2018-05-20,12.1885
2018-06-20,11.579
2018-07-20,11.5703
2018-08-20,11.6108
2018-09-20,11.3718
2018-10-20,11.3032
2018-11-20,11.4186
2018-12-20,10.9267
2019-01-20,10.9663
2019-02-20,11.1781
2019-03-20,11.1175
2019-04-20,10.1331
2019-05-20,10.4223
2019-06-20,11.3876
2019-07-20,11.336
2019-08-20,11.4743
2019-09-20,11.7258
2019-10-20,11.7783
2019-11-20,11.91
2019-12-20,11.8158
2020-01-20,11.8292
2020-02-20,11.9629
2020-03-20,11.9016
2020-04-20,12.3753
2020-05-20,12.837
2020-06-20,12.8364
2020-07-20,12.8383
2020-08-20,12.9665
2020-09-20,14.9528
2020-10-20,14.7841
2020-11-20,14.8532
2020-12-20,15.2699
2021-01-20,15.3348
2021-02-20,15.5072
2021-03-20,15.4891
2021-04-20,15.9469
2021-05-20,16.2884
2021-06-20,16.3054
2021-07-20,16.3113
2021-08-20,16.4348
2021-09-20,15.8493
2021-10-20,15.9927
2021-11-20,16.1002
2021-12-20,13.9475
2022-01-20,13.9524
2022-02-20,14.0127
2022-03-20,14.0579
2022-04-20,13.5179
2022-05-20,13.975
2022-06-20,12.271
2022-07-20,12.2923
2022-08-20,12.4344
2022-09-20,13.3926
2022-10-20,13.369
2022-11-20,13.4107
2022-12-20,11.303
2023-01-20,11.2225
2023-02-20,11.301
2023-03-20,11.3301
2023-04-20,12.3783
2023-05-20,12.4961
2023-06-20,12.2187
2023-07-20,12.2223
2023-08-20,12.2696
2023-09-20,11.816
2023-10-20,11.8052
2023-11-20,11.8481
2023-12-20,11.6898
2024-01-20,11.7168
2024-02-20,11.7411
2024-03-20,11.8478
2024-04-20,11.4932
2024-05-20,11.8928
2024-06-20,11.9275
2024-07-20,11.9315
2024-08-20,12.0039
2024-09-20,12.2342
2024-10-20,12.3308
2024-11-20,12.3641
2024-12-20,13.7238
2025-01-20,13.7156
2025-02-20,13.7642
