date,ev_ebitda
2004-01-20,5.284
2004-02-20,6.0405
2004-03-20,6.0405
2004-04-20,6.4784
2004-05-20,7.4857
2004-06-20,7.4857
2004-07-20,7.6101
2004-08-20,8.1736
2004-09-20,5.2875
2004-10-20,5.5151
2004-11-20,5.5151
2004-12-20,5.5184
2005-01-20,5.5629
2005-02-20,6.1216
2005-03-20,6.1382
2005-04-20,4.8138
2005-05-20,5.2211
2005-06-20,5.2211
2005-07-20,5.2472
2005-08-20,5.4637
2005-09-20,5.1218
2005-10-20,5.4472
2005-11-20,5.5248
2005-12-20,5.5299
2006-01-20,5.5299
2006-02-20,6.3871
2006-03-20,6.3871
2006-04-20,6.3411
2006-05-20,5.1443
2006-06-20,5.3743
2006-07-20,5.372
2006-08-20,6.3717
2006-09-20,6.0144
2006-10-20,5.9927
2006-11-20,6.0413
2006-12-20,6.0484
2007-01-20,6.0484
2007-02-20,6.1998
2007-03-20,6.21
2007-04-20,6.2649
2007-05-20,7.3518
2007-06-20,7.4918
2007-07-20,7.5011
2007-08-20,7.4452
2007-09-20,9.0235
2007-10-20,8.9574
2007-11-20,9.171
2007-12-20,9.1583
2008-01-20,9.1586
2008-02-20,13.2359
2008-03-20,13.2166
2008-04-20,13.3346
2008-05-20,10.153
2008-06-20,10.1486
2008-07-20,10.15
2008-08-20,7.2338
2008-09-20,7.715
2008-10-20,7.5641
2008-11-20,7.75
2008-12-20,7.7654
2009-01-20,7.7667
2009-02-20,4.9763
2009-03-20,4.9929
2009-04-20,4.3767
2009-05-20,3.9887
2009-06-20,3.9876
2009-07-20,3.9704
2009-08-20,4.2459
2009-09-20,6.3618
2009-10-20,6.2173
2009-11-20,6.2617
2009-12-20,6.2617
2010-01-20,6.2617
2010-02-20,6.0892
2010-03-20,6.0791
2010-04-20,6.3602
2010-05-20,7.4275
2010-06-20,6.6124
2010-07-20,6.6266
2010-08-20,6.7008
2010-09-20,6.0386
2010-10-20,5.9306
2010-11-20,5.9857
2010-12-20,6.1851
2011-01-20,6.1875
2011-02-20,6.2699
2011-03-20,6.2702
2011-04-20,5.9847
2011-05-20,5.7809
2011-06-20,5.7776
