date,oper_margin
2004-01-20,17.3723
2004-02-20,17.3723
2004-03-20,17.3723
2004-04-20,16.44
2004-05-20,18.2845
2004-06-20,18.2845
2004-07-20,17.333
2004-08-20,17.333
2004-09-20,19.5556
2004-10-20,17.1759
2004-11-20,17.1759
2004-12-20,16.8981
2005-01-20,16.158
2005-02-20,16.158
2005-03-20,16.158
2005-04-20,25.5394
2005-05-20,20.1275
2005-06-20,20.1275
2005-07-20,19.1118
2005-08-20,18.8864
2005-09-20,16.7422
2005-10-20,15.6306
2005-11-20,16.7307
2005-12-20,16.7271
2006-01-20,16.7271
2006-02-20,16.7271
2006-03-20,16.7271
2006-04-20,16.9507
2006-05-20,16.4599
2006-06-20,15.6625
2006-07-20,15.6639
2006-08-20,14.1012
2006-09-20,15.8269
2006-10-20,15.1764
2006-11-20,15.1265
2006-12-20,15.1215
2007-01-20,15.1214
2007-02-20,16.1321
2007-03-20,16.1155
2007-04-20,15.5026
2007-05-20,15.6769
2007-06-20,15.3827
2007-07-20,15.3598
2007-08-20,15.6645
2007-09-20,16.0386
2007-10-20,16.0976
2007-11-20,16.0771
2007-12-20,16.0631
2008-01-20,16.0658
2008-02-20,17.6998
2008-03-20,17.8058
2008-04-20,17.3884
2008-05-20,20.2459
2008-06-20,20.2522
2008-07-20,20.2447
2008-08-20,18.992
2008-09-20,16.1949
2008-10-20,15.5741
2008-11-20,15.5094
2008-12-20,15.4892
2009-01-20,15.4901
2009-02-20,14.5905
2009-03-20,14.459
2009-04-20,14.2706
2009-05-20,13.0944
2009-06-20,13.093
2009-07-20,13.1293
2009-08-20,13.1854
2009-09-20,14.2278
2009-10-20,14.2025
2009-11-20,14.2117
2009-12-20,14.2118
2010-01-20,14.2118
2010-02-20,15.2914
2010-03-20,15.3265
2010-04-20,15.2278
2010-05-20,16.0508
2010-06-20,15.4814
2010-07-20,15.4494
2010-08-20,15.4669
2010-09-20,16.1455
2010-10-20,16.312
2010-11-20,16.3075
2010-12-20,16.3598
2011-01-20,16.3383
2011-02-20,16.2487
2011-03-20,16.1346
2011-04-20,16.5417
2011-05-20,16.6426
2011-06-20,16.6375
2011-07-20,16.6437
2011-08-20,17.9694
2011-09-20,16.1425
2011-10-20,16.3719
2011-11-20,16.3911
2011-12-20,17.2853
2012-01-20,17.2668
2012-02-20,17.2904
2012-03-20,17.2557
2012-04-20,15.6033
2012-05-20,15.2388
2012-06-20,14.7176
2012-07-20,14.7025
2012-08-20,14.7782
