date,pb
2004-01-20,2.127
2004-02-20,2.1542
2004-03-20,2.291
2004-04-20,2.0768
2004-05-20,1.723
2004-06-20,1.8289
2004-07-20,1.8143
2004-08-20,1.8413
2004-09-20,1.8328
2004-10-20,1.8957
2004-11-20,1.8454
2004-12-20,2.0287
2005-01-20,1.9918
2005-02-20,1.9249
2005-03-20,2.0674
2005-04-20,1.8768
2005-05-20,1.8024
2005-06-20,1.7938
2005-07-20,1.8661
2005-08-20,2.0351
2005-09-20,1.972
2005-10-20,2.0434
2005-11-20,1.8269
2005-12-20,1.9568
2006-01-20,2.0188
2006-02-20,2.2823
2006-03-20,2.3547
2006-04-20,2.426
2006-05-20,2.4875
2006-06-20,2.2095
2006-07-20,2.2538
2006-08-20,2.3129
2006-09-20,2.3716
2006-10-20,2.3338
2006-11-20,2.505
2006-12-20,2.7774
2007-01-20,3.18
2007-02-20,3.0269
2007-03-20,2.9751
2007-04-20,3.0892
2007-05-20,2.953
2007-06-20,3.1066
2007-07-20,3.4641
2007-08-20,3.7307
2007-09-20,3.8102
2007-10-20,4.3325
2007-11-20,5.1658
2007-12-20,4.4836
2008-01-20,4.2905
2008-02-20,3.3314
2008-03-20,3.6826
2008-04-20,3.2351
2008-05-20,3.4809
2008-06-20,3.29
2008-07-20,2.8735
2008-08-20,2.7611
2008-09-20,2.489
2008-10-20,1.9413
2008-11-20,1.5159
2008-12-20,1.5813
2009-01-20,1.7472
2009-02-20,1.5902
2009-03-20,1.5397
2009-04-20,1.6782
2009-05-20,1.8467
2009-06-20,2.1444
2009-07-20,2.318
2009-08-20,2.5686
2009-09-20,2.3331
2009-10-20,2.4026
2009-11-20,2.5755
2009-12-20,2.6384
2010-01-20,2.6519
2010-02-20,2.3836
2010-03-20,2.435
2010-04-20,2.567
2010-05-20,2.4001
2010-06-20,2.1692
2010-07-20,2.193
2010-08-20,2.3076
2010-09-20,2.2033
2010-10-20,2.3716
2010-11-20,2.4858
2010-12-20,2.3626
2011-01-20,2.3482
2011-02-20,2.3424
2011-03-20,2.298
2011-04-20,2.1778
2011-05-20,2.2363
2011-06-20,2.2325
2011-07-20,2.1329
2011-08-20,2.057
2011-09-20,1.8018
2011-10-20,1.482
2011-11-20,1.728
2011-12-20,1.5433
2012-01-20,1.5784
2012-02-20,1.7467
2012-03-20,1.8607
2012-04-20,1.6455
2012-05-20,1.7245
2012-06-20,1.4691
2012-07-20,1.4758
2012-08-20,1.5135
2012-09-20,1.4379
2012-10-20,1.5414
2012-11-20,1.6287
2012-12-20,1.6236
2013-01-20,1.7021
2013-02-20,1.7733
2013-03-20,1.7035
2013-04-20,1.5322
2013-05-20,1.6994
2013-06-20,1.6776
2013-07-20,1.5276
2013-08-20,1.4148
2013-09-20,1.4055
2013-10-20,1.4937
2013-11-20,1.5299
2013-12-20,1.6042
2014-01-20,1.5493
2014-02-20,1.4119
2014-03-20,1.4483
2014-04-20,1.3453
2014-05-20,1.3358
2014-06-20,1.3667
2014-07-20,1.3915
2014-08-20,1.5203
2014-09-20,1.4712
2014-10-20,1.3743
2014-11-20,1.4559
2014-12-20,1.4459
2015-01-20,1.4618
2015-02-20,1.4947
2015-03-20,1.5436
2015-04-20,1.4995
2015-05-20,1.7807
2015-06-20,1.6317
2015-07-20,1.5164
2015-08-20,1.3857
2015-09-20,1.1773
2015-10-20,1.1787
2015-11-20,1.2854
2015-12-20,1.2546
2016-01-20,1.2377
2016-02-20,1.085
2016-03-20,1.0564
2016-04-20,1.2637
2016-05-20,1.2987
2016-06-20,1.2209
2016-07-20,1.2145
2016-08-20,1.29
2016-09-20,1.536
2016-10-20,1.5912
2016-11-20,1.5599
2016-12-20,1.5173
2017-01-20,1.4545
2017-02-20,1.5545
2017-03-20,1.61
2017-04-20,1.6778
2017-05-20,1.7431
2017-06-20,1.7515
2017-07-20,1.7816
2017-08-20,1.9564
2017-09-20,1.9262
2017-10-20,1.947
2017-11-20,2.0476
2017-12-20,1.9966
2018-01-20,2.0365
2018-02-20,2.292
2018-03-20,2.1461
2018-04-20,1.9686
2018-05-20,1.9842
2018-06-20,1.8717
2018-07-20,1.7652
2018-08-20,1.7228
2018-09-20,1.7334
2018-10-20,1.7001
2018-11-20,1.5211
2018-12-20,1.5946
2019-01-20,1.4981
2019-02-20,1.6675
2019-03-20,1.7256
2019-04-20,1.7281
2019-05-20,1.7812
2019-06-20,1.4405
2019-07-20,1.5561
2019-08-20,1.5445
2019-09-20,1.5212
2019-10-20,1.5331
2019-11-20,1.5945
2019-12-20,1.6301
2020-01-20,1.7588
2020-02-20,1.6683
2020-03-20,1.6904
2020-04-20,1.5228
2020-05-20,1.638
2020-06-20,1.634
2020-07-20,1.7707
2020-08-20,1.9458
2020-09-20,2.1243
2020-10-20,2.0655
2020-11-20,2.1886
2020-12-20,2.1124
2021-01-20,2.1704
2021-02-20,2.3583
2021-03-20,2.3349
2021-04-20,2.0556
2021-05-20,2.0923
2021-06-20,2.206
2021-07-20,2.1993
2021-08-20,1.9132
2021-09-20,1.8865
2021-10-20,1.7913
2021-11-20,1.8607
