date,pe
2004-01-20,17.8896
2004-02-20,17.7169
2004-03-20,18.8417
2004-04-20,9.5311
2004-05-20,12.7178
2004-06-20,13.4989
2004-07-20,2.9457
2004-08-20,3.3254
2004-09-20,11.3394
2004-10-20,12.8972
2004-11-20,12.5546
2004-12-20,13.8052
2005-01-20,13.5836
2005-02-20,13.8252
2005-03-20,14.8174
2005-04-20,8.6848
2005-05-20,9.9273
2005-06-20,9.88
2005-07-20,10.3229
2005-08-20,11.4332
2005-09-20,10.8579
2005-10-20,11.4257
2005-11-20,10.2081
2005-12-20,10.9293
2006-01-20,11.276
2006-02-20,13.7301
2006-03-20,14.1657
2006-04-20,14.1319
2006-05-20,14.6877
2006-06-20,13.7172
2006-07-20,13.9916
2006-08-20,14.1094
2006-09-20,13.7422
2006-10-20,13.9741
2006-11-20,15.0142
2006-12-20,16.6524
2007-01-20,19.0673
2007-02-20,18.1966
2007-03-20,17.9024
2007-04-20,18.4265
2007-05-20,17.8049
2007-06-20,19.0491
2007-07-20,21.2986
2007-08-20,23.0412
2007-09-20,21.5694
2007-10-20,25.5376
2007-11-20,30.4054
2007-12-20,26.3453
2008-01-20,25.1922
2008-02-20,19.0463
2008-03-20,21.2637
2008-04-20,18.5174
2008-05-20,15.8663
2008-06-20,15.0037
2008-07-20,13.1011
2008-08-20,13.5994
2008-09-20,13.5209
2008-10-20,10.567
2008-11-20,8.3594
2008-12-20,8.7208
2009-01-20,9.6368
2009-02-20,9.7183
2009-03-20,9.4897
2009-04-20,11.9787
2009-05-20,14.4671
2009-06-20,16.7665
2009-07-20,17.3868
2009-08-20,19.7557
2009-09-20,18.6727
2009-10-20,19.6101
2009-11-20,21.1409
2009-12-20,21.6576
2010-01-20,21.7682
2010-02-20,17.5798
2010-03-20,18.0342
2010-04-20,19.4029
2010-05-20,17.0429
2010-06-20,14.9717
2010-07-20,15.1178
2010-08-20,15.9133
2010-09-20,14.0759
2010-10-20,15.3653
2010-11-20,16.116
2010-12-20,14.5366
2011-01-20,14.4464
2011-02-20,14.5935
2011-03-20,14.3503
2011-04-20,13.5964
2011-05-20,13.9591
2011-06-20,13.9418
2011-07-20,13.3137
2011-08-20,12.5904
2011-09-20,10.3907
2011-10-20,8.68
2011-11-20,10.1358
2011-12-20,8.8711
2012-01-20,9.0863
2012-02-20,10.2082
2012-03-20,10.9273
2012-04-20,10.3219
2012-05-20,10.7991
2012-06-20,9.4941
2012-07-20,9.5383
2012-08-20,9.8276
2012-09-20,9.4272
2012-10-20,10.0393
2012-11-20,10.7438
2012-12-20,10.6151
2013-01-20,11.1384
2013-02-20,11.7629
2013-03-20,11.3183
2013-04-20,10.4862
2013-05-20,10.7051
2013-06-20,10.5648
2013-07-20,9.6186
2013-08-20,9.7292
2013-09-20,9.3531
2013-10-20,9.8591
2013-11-20,10.2529
2013-12-20,10.7491
2014-01-20,10.3808
2014-02-20,9.3511
2014-03-20,9.6078
2014-04-20,9.2
2014-05-20,9.1005
2014-06-20,9.4131
2014-07-20,9.5998
2014-08-20,10.5058
2014-09-20,10.1184
2014-10-20,9.4475
2014-11-20,9.9984
2014-12-20,9.8282
2015-01-20,9.9354
2015-02-20,10.2754
2015-03-20,10.6027
2015-04-20,11.0557
2015-05-20,13.1014
2015-06-20,12.4133
2015-07-20,11.5421
2015-08-20,10.5293
2015-09-20,9.0171
2015-10-20,8.8049
2015-11-20,9.793
2015-12-20,9.7347
2016-01-20,9.6077
2016-02-20,8.5666
2016-03-20,8.3795
2016-04-20,10.7725
2016-05-20,11.0257
2016-06-20,10.4256
2016-07-20,10.4063
2016-08-20,11.0844
2016-09-20,14.0713
2016-10-20,14.4318
2016-11-20,14.3658
2016-12-20,13.2205
2017-01-20,12.6705
2017-02-20,13.8662
2017-03-20,14.3965
2017-04-20,15.0658
2017-05-20,15.6714
2017-06-20,14.6846
2017-07-20,14.9186
2017-08-20,16.3739
2017-09-20,15.5332
2017-10-20,15.7084
2017-11-20,16.5
2017-12-20,15.1118
2018-01-20,15.3915
2018-02-20,17.529
2018-03-20,16.4432
2018-04-20,15.205
2018-05-20,15.2752
2018-06-20,14.6354
2018-07-20,13.8249
2018-08-20,13.5055
2018-09-20,13.1427
2018-10-20,12.8065
2018-11-20,11.4477
2018-12-20,12.3656
2019-01-20,11.6294
2019-02-20,13.1555
2019-03-20,13.6191
2019-04-20,13.6584
2019-05-20,14.0897
2019-06-20,11.9159
2019-07-20,12.7308
2019-08-20,12.8318
2019-09-20,12.8674
2019-10-20,13.0507
2019-11-20,13.7185
2019-12-20,12.8348
2020-01-20,13.8479
2020-02-20,13.2742
2020-03-20,13.4503
2020-04-20,12.6627
2020-05-20,13.4488
2020-06-20,13.9388
2020-07-20,15.0809
2020-08-20,16.57
2020-09-20,19.7681
2020-10-20,19.0617
2020-11-20,20.2165
2020-12-20,19.344
2021-01-20,19.9428
2021-02-20,21.7474
2021-03-20,21.6033
2021-04-20,18.8577
2021-05-20,19.6496
2021-06-20,19.9375
2021-07-20,19.8681
2021-08-20,17.2334
2021-09-20,16.1618
2021-10-20,15.3505
2021-11-20,15.9291
2021-12-20,15.18
2022-01-20,14.7524
2022-02-20,14.4132
2022-03-20,14.2684
2022-04-20,13.8752
2022-05-20,13.8119
2022-06-20,12.8154
2022-07-20,13.5573
2022-08-20,13.4916
2022-09-20,13.4464
2022-10-20,11.4292
2022-11-20,9.5261
2022-12-20,12.6194
2023-01-20,13.2886
2023-02-20,15.2192
2023-03-20,13.7006
2023-04-20,14.3577
2023-05-20,13.6322
2023-06-20,11.5436
2023-07-20,11.9569
2023-08-20,13.091
2023-09-20,12.9421
2023-10-20,12.7744
2023-11-20,12.2599
2023-12-20,11.9064
2024-01-20,11.621
2024-02-20,10.4329
2024-03-20,11.3324
2024-04-20,11.2865
2024-05-20,11.9218
2024-06-20,12.0054
2024-07-20,11.6832
2024-08-20,11.4641
2024-09-20,10.9353
2024-10-20,13.4447
2024-11-20,12.6903
2024-12-20,11.0931
2025-01-20,11.3703
2025-02-20,11.4902
2025-03-20,12.8422
2025-04-20,13.7036
2025-05-20,13.2098
2025-06-20,12.8669
2025-07-20,13.2942
2025-08-20,13.964
2025-09-20,14.5775
2025-10-20,16.0695
2025-11-20,15.619
2025-12-20,15.1391
2026-01-20,14.9176
2026-02-20,15.8951
2026-03-20,14.9798
2026-04-20,15.0492
