date,profit_margin
2004-01-20,12.3042
2004-02-20,12.3042
2004-03-20,12.3042
2004-04-20,12.5427
2004-05-20,13.252
2004-06-20,13.252
2004-07-20,12.6229
2004-08-20,12.6229
2004-09-20,13.5103
2004-10-20,12.656
2004-11-20,12.656
2004-12-20,12.4514
2005-01-20,11.9403
2005-02-20,11.9403
2005-03-20,11.9403
2005-04-20,18.2344
2005-05-20,14.753
2005-06-20,14.753
2005-07-20,14.0186
2005-08-20,13.8555
2005-09-20,11.8975
2005-10-20,11.6172
2005-11-20,12.421
2005-12-20,12.4166
2006-01-20,12.4166
2006-02-20,12.4166
2006-03-20,12.4166
2006-04-20,12.424
2006-05-20,12.1359
2006-06-20,11.592
2006-07-20,11.5934
2006-08-20,10.5739
2006-09-20,11.3775
2006-10-20,11.0085
2006-11-20,10.9759
2006-12-20,10.9946
2007-01-20,10.9943
2007-02-20,11.5918
2007-03-20,11.6075
2007-04-20,11.4091
2007-05-20,11.4515
2007-06-20,11.3137
2007-07-20,11.2912
2007-08-20,11.3587
2007-09-20,12.3506
2007-10-20,12.1678
2007-11-20,12.168
2007-12-20,12.1682
2008-01-20,12.1553
2008-02-20,12.7254
2008-03-20,12.6179
2008-04-20,12.4818
2008-05-20,16.432
2008-06-20,16.4521
2008-07-20,16.4521
2008-08-20,14.9214
2008-09-20,13.1401
2008-10-20,12.8114
2008-11-20,12.736
2008-12-20,12.736
2009-01-20,12.736
2009-02-20,11.4805
2009-03-20,11.4816
2009-04-20,10.5008
2009-05-20,9.8226
2009-06-20,9.8194
2009-07-20,9.8076
2009-08-20,9.7557
2009-09-20,9.7896
2009-10-20,9.667
2009-11-20,9.6715
2009-12-20,9.6715
2010-01-20,9.6715
2010-02-20,11.0641
2010-03-20,10.9432
2010-04-20,10.8382
2010-05-20,11.8507
2010-06-20,11.0268
2010-07-20,11.042
2010-08-20,11.0168
2010-09-20,12.0088
2010-10-20,12.0595
2010-11-20,12.0585
2010-12-20,11.985
2011-01-20,11.9878
2011-02-20,12.0628
2011-03-20,11.9788
2011-04-20,12.2517
2011-05-20,12.3125
2011-06-20,12.312
2011-07-20,12.3117
2011-08-20,13.5194
2011-09-20,12.1387
2011-10-20,12.0985
2011-11-20,12.0231
2011-12-20,12.8831
2012-01-20,12.8984
2012-02-20,12.9187
2012-03-20,12.8555
2012-04-20,11.3869
2012-05-20,11.1089
2012-06-20,10.7144
2012-07-20,10.6989
2012-08-20,10.6898
2012-09-20,10.6139
2012-10-20,10.5897
2012-11-20,10.5991
2012-12-20,10.3169
2013-01-20,10.3087
2013-02-20,10.346
2013-03-20,10.4021
2013-04-20,10.5526
2013-05-20,10.458
2013-06-20,10.4581
2013-07-20,10.4577
2013-08-20,10.2381
2013-09-20,10.3127
2013-10-20,10.2995
2013-11-20,10.5878
2013-12-20,10.5899
2014-01-20,10.5906
2014-02-20,10.4501
