date,roce
2004-01-20,12.3598
2004-02-20,12.6401
2004-03-20,12.6401
2004-04-20,14.5113
2004-05-20,13.2983
2004-06-20,13.2983
2004-07-20,13.1723
2004-08-20,11.8419
2004-09-20,15.9813
2004-10-20,14.6086
2004-11-20,14.6086
2004-12-20,14.6054
2005-01-20,14.5739
2005-02-20,13.8383
2005-03-20,13.8383
2005-04-20,20.8898
2005-05-20,17.7019
2005-06-20,17.7019
2005-07-20,17.6422
2005-08-20,17.378
2005-09-20,18.3301
2005-10-20,18.0706
2005-11-20,18.0666
2005-12-20,18.0728
2006-01-20,18.0728
2006-02-20,16.7795
2006-03-20,16.7795
2006-04-20,16.5332
2006-05-20,16.9671
2006-06-20,16.3468
2006-07-20,16.349
2006-08-20,16.5416
2006-09-20,16.1736
2006-10-20,15.6831
2006-11-20,15.649
2006-12-20,15.6575
2007-01-20,15.657
2007-02-20,16.8317
2007-03-20,16.8308
2007-04-20,16.8224
2007-05-20,16.3402
2007-06-20,15.9236
2007-07-20,15.8926
2007-08-20,16.0222
2007-09-20,17.827
2007-10-20,16.9979
2007-11-20,16.9997
2007-12-20,16.9997
2008-01-20,16.9815
2008-02-20,17.4396
2008-03-20,17.1526
2008-04-20,17.4309
2008-05-20,22.2908
2008-06-20,22.2958
2008-07-20,22.2958
2008-08-20,20.1808
2008-09-20,18.2442
2008-10-20,18.0878
2008-11-20,17.9379
2008-12-20,17.9379
2009-01-20,17.9379
2009-02-20,16.3727
2009-03-20,16.2943
2009-04-20,14.5945
2009-05-20,13.2348
2009-06-20,13.2168
2009-07-20,13.7712
2009-08-20,13.2233
2009-09-20,12.4874
2009-10-20,12.206
2009-11-20,12.2024
2009-12-20,12.2023
2010-01-20,12.2024
2010-02-20,13.9467
2010-03-20,13.7882
2010-04-20,13.5632
2010-05-20,14.5511
2010-06-20,14.7611
2010-07-20,14.7928
2010-08-20,14.7588
2010-09-20,16.2865
2010-10-20,16.2752
2010-11-20,16.2657
2010-12-20,16.8932
2011-01-20,16.9008
2011-02-20,16.7677
2011-03-20,16.6764
2011-04-20,16.7049
2011-05-20,16.7188
2011-06-20,16.7139
2011-07-20,16.7178
2011-08-20,16.8233
2011-09-20,17.8188
2011-10-20,17.7216
2011-11-20,17.6932
2011-12-20,17.7115
2012-01-20,17.7087
2012-02-20,17.4635
2012-03-20,17.3696
2012-04-20,16.6346
2012-05-20,16.6102
2012-06-20,16.051
2012-07-20,16.0307
2012-08-20,15.9781
2012-09-20,15.6543
2012-10-20,15.8281
2012-11-20,15.6298
2012-12-20,15.595
2013-01-20,15.5875
2013-02-20,15.4438
2013-03-20,15.4931
2013-04-20,15.1625
2013-05-20,16.4591
2013-06-20,16.4593
2013-07-20,16.4584
2013-08-20,15.0155
2013-09-20,15.5255
2013-10-20,15.7527
2013-11-20,15.558
2013-12-20,15.5602
2014-01-20,15.5602
2014-02-20,15.4906
2014-03-20,15.5224
2014-04-20,15.2659
2014-05-20,15.2804
2014-06-20,15.0713
