date,div_yield
2004-01-20,1.3507
2004-02-20,1.3451
2004-03-20,1.3106
2004-04-20,1.3199
2004-05-20,1.4642
2004-06-20,1.4281
2004-07-20,1.4751
2004-08-20,1.5241
2004-09-20,1.5155
2004-10-20,1.603
2004-11-20,1.5318
2004-12-20,1.5622
2005-01-20,1.5891
2005-02-20,1.5508
2005-03-20,1.542
2005-04-20,1.7701
2005-05-20,1.7774
2005-06-20,1.7864
2005-07-20,1.7677
2005-08-20,1.7418
2005-09-20,1.6371
2005-10-20,1.7037
2005-11-20,1.5721
2005-12-20,1.494
2006-01-20,1.4972
2006-02-20,1.5052
2006-03-20,1.4245
2006-04-20,1.4735
2006-05-20,1.5648
2006-06-20,1.6874
2006-07-20,1.6361
2006-08-20,1.552
2006-09-20,1.6142
2006-10-20,1.6065
2006-11-20,1.6461
2006-12-20,1.5552
2007-01-20,1.5568
2007-02-20,1.4848
2007-03-20,1.5459
2007-04-20,1.6136
2007-05-20,1.6277
2007-06-20,1.5761
2007-07-20,1.5608
2007-08-20,1.8207
2007-09-20,1.7496
2007-10-20,1.7189
2007-11-20,1.8474
2007-12-20,1.8533
2008-01-20,1.985
2008-02-20,2.0677
2008-03-20,2.2818
2008-04-20,2.1392
2008-05-20,2.0369
2008-06-20,2.1609
2008-07-20,2.4076
2008-08-20,2.4509
2008-09-20,2.6063
2008-10-20,3.2885
2008-11-20,3.9316
2008-12-20,3.5192
2009-01-20,3.6627
2009-02-20,3.9097
2009-03-20,3.7593
2009-04-20,2.9937
2009-05-20,2.6624
2009-06-20,2.6414
2009-07-20,2.4871
2009-08-20,2.2439
2009-09-20,2.1599
2009-10-20,1.9474
2009-11-20,1.9998
2009-12-20,1.9252
2010-01-20,1.8506
2010-02-20,1.9867
2010-03-20,1.8535
2010-04-20,1.8486
2010-05-20,2.0307
2010-06-20,2.0014
2010-07-20,2.1443
2010-08-20,2.1533
2010-09-20,2.1077
2010-10-20,2.1606
2010-11-20,2.105
2010-12-20,2.0762
2011-01-20,2.0448
2011-02-20,2.0325
2011-03-20,2.2246
2011-04-20,2.1589
2011-05-20,2.2418
2011-06-20,2.3752
2011-07-20,2.2802
2011-08-20,2.7093
2011-09-20,2.7303
2011-10-20,2.8205
2011-11-20,2.8216
2011-12-20,2.8646
2012-01-20,2.6431
2012-02-20,2.4681
2012-03-20,2.4307
2012-04-20,2.543
2012-05-20,2.8289
2012-06-20,2.7577
2012-07-20,2.7473
2012-08-20,2.6134
2012-09-20,2.5738
2012-10-20,2.5552
2012-11-20,2.5615
2012-12-20,2.3615
2013-01-20,2.2521
2013-02-20,2.1787
2013-03-20,2.1623
2013-04-20,2.1427
2013-05-20,1.9756
2013-06-20,2.2809
2013-07-20,2.1535
2013-08-20,2.2113
2013-09-20,2.074
2013-10-20,2.1223
2013-11-20,2.1123
2013-12-20,2.1094
2014-01-20,2.104
2014-02-20,2.2059
2014-03-20,2.2647
2014-04-20,2.2566
2014-05-20,2.3351
2014-06-20,2.249
2014-07-20,2.2664
2014-08-20,2.2417
2014-09-20,2.2307
2014-10-20,2.4233
2014-11-20,2.2548
2014-12-20,2.2531
2015-01-20,2.2632
2015-02-20,2.1563
2015-03-20,2.1056
2015-04-20,2.0899
2015-05-20,2.0181
2015-06-20,2.0656
2015-07-20,2.1263
2015-08-20,2.2679
2015-09-20,2.4544
2015-10-20,2.4036
2015-11-20,2.3493
2015-12-20,2.3859
2016-01-20,2.7084
2016-02-20,2.7141
2016-03-20,2.5762
2016-04-20,2.5537
2016-05-20,2.6518
2016-06-20,2.578
2016-07-20,2.4803
2016-08-20,2.4539
2016-09-20,2.3904
2016-10-20,2.35
2016-11-20,2.3735
2016-12-20,2.2795
2017-01-20,2.2831
2017-02-20,2.2403
2017-03-20,2.1986
2017-04-20,2.3057
2017-05-20,2.2139
2017-06-20,2.1432
2017-07-20,2.1449
2017-08-20,2.1845
2017-09-20,2.1505
2017-10-20,2.1511
2017-11-20,2.1121
2017-12-20,2.1014
2018-01-20,2.0251
2018-02-20,2.1254
2018-03-20,2.1325
2018-04-20,2.2455
2018-05-20,2.2221
2018-06-20,2.3281
2018-07-20,2.4183
2018-08-20,2.4611
2018-09-20,2.3897
2018-10-20,2.6427
2018-11-20,2.6927
2018-12-20,2.7605
2019-01-20,2.6626
2019-02-20,2.5644
2019-03-20,2.5199
2019-04-20,2.4915
2019-05-20,2.6423
2019-06-20,2.5717
2019-07-20,2.5625
2019-08-20,2.7056
2019-09-20,2.5756
2019-10-20,2.5765
2019-11-20,2.4897
2019-12-20,2.3831
2020-01-20,2.3272
2020-02-20,2.3974
2020-03-20,3.0902
2020-04-20,2.7423
2020-05-20,2.6628
2020-06-20,2.4634
2020-07-20,2.3515
2020-08-20,2.3056
2020-09-20,2.2273
2020-10-20,2.1678
2020-11-20,2.0429
2020-12-20,1.9341
2021-01-20,1.8222
2021-02-20,1.7568
2021-03-20,1.7962
2021-04-20,1.8428
2021-05-20,1.8811
2021-06-20,1.8523
2021-07-20,1.9543
2021-08-20,2.0849
2021-09-20,1.9879
2021-10-20,2.0298
2021-11-20,2.0495
2021-12-20,2.158
2022-01-20,2.0664
2022-02-20,2.1053
2022-03-20,2.2072
2022-04-20,2.3412
2022-05-20,2.4393
2022-06-20,2.4794
2022-07-20,2.537
2022-08-20,2.5457
2022-09-20,2.6306
2022-10-20,2.9159
2022-11-20,2.7167
2022-12-20,2.7465
2023-01-20,2.6085
2023-02-20,2.6054
2023-03-20,2.7419
2023-04-20,2.6508
2023-05-20,2.6362
2023-06-20,2.5256
2023-07-20,2.5039
2023-08-20,2.5843
2023-09-20,2.4843
2023-10-20,2.6114
2023-11-20,2.5058
2023-12-20,2.5358
2024-01-20,2.4591
2024-02-20,2.3088
2024-03-20,2.319
2024-04-20,2.4446
2024-05-20,2.2562
2024-06-20,2.27
2024-07-20,2.2348
2024-08-20,2.3223
2024-09-20,2.3271
2024-10-20,2.2783
2024-11-20,2.3596
2024-12-20,2.3692
2025-01-20,2.4081
2025-02-20,2.3317
2025-03-20,2.3224
2025-04-20,2.6078
2025-05-20,2.4168
2025-06-20,2.3853
2025-07-20,2.3231
2025-08-20,2.2329
2025-09-20,2.1196
2025-10-20,2.0829
2025-11-20,2.0742
2025-12-20,2.0525
2026-01-20,1.9151
2026-02-20,1.8234
2026-03-20,1.9228
2026-04-20,1.8108
