date,ebitda_margin
2004-01-20,12.9122
2004-02-20,12.9114
2004-03-20,12.8814
2004-04-20,13.0796
2004-05-20,13.1005
2004-06-20,13.763
2004-07-20,13.8756
2004-08-20,14.9689
2004-09-20,13.6612
2004-10-20,13.9735
2004-11-20,13.9812
2004-12-20,14.8733
2005-01-20,14.6611
2005-02-20,14.9083
2005-03-20,14.8174
2005-04-20,13.7279
2005-05-20,15.336
2005-06-20,15.0688
2005-07-20,14.986
2005-08-20,15.3579
2005-09-20,15.1017
2005-10-20,15.1082
2005-11-20,15.1364
2005-12-20,15.0299
2006-01-20,15.0169
2006-02-20,15.2136
2006-03-20,15.2067
2006-04-20,13.0754
2006-05-20,14.0613
2006-06-20,15.805
2006-07-20,15.8557
2006-08-20,15.8229
2006-09-20,15.6405
2006-10-20,15.4956
2006-11-20,15.5844
2006-12-20,15.6388
2007-01-20,15.6694
2007-02-20,13.9727
2007-03-20,15.4643
2007-04-20,15.2601
2007-05-20,15.6424
2007-06-20,15.1727
2007-07-20,15.4438
2007-08-20,15.6313
2007-09-20,15.8533
2007-10-20,15.7559
2007-11-20,15.9091
2007-12-20,15.557
2008-01-20,15.6292
2008-02-20,14.1963
2008-03-20,14.1884
2008-04-20,15.0332
2008-05-20,15.0876
2008-06-20,15.1234
2008-07-20,15.2282
2008-08-20,15.1971
2008-09-20,15.1412
2008-10-20,15.1178
2008-11-20,15.0825
2008-12-20,14.6895
2009-01-20,14.7069
2009-02-20,14.6584
2009-03-20,14.7597
2009-04-20,13.0611
2009-05-20,13.0243
2009-06-20,11.7955
2009-07-20,11.8471
2009-08-20,11.849
2009-09-20,11.5152
2009-10-20,11.4427
2009-11-20,11.4313
2009-12-20,11.2813
2010-01-20,11.2756
2010-02-20,11.2315
2010-03-20,11.3715
2010-04-20,12.537
2010-05-20,12.5249
2010-06-20,13.8114
2010-07-20,13.8426
2010-08-20,13.8326
2010-09-20,14.0793
2010-10-20,14.1102
2010-11-20,14.2582
2010-12-20,14.6886
2011-01-20,14.676
2011-02-20,14.6373
2011-03-20,14.5845
2011-04-20,14.8515
2011-05-20,14.8634
2011-06-20,14.4948
2011-07-20,14.6257
2011-08-20,14.6356
2011-09-20,14.1198
2011-10-20,14.1779
2011-11-20,14.1813
2011-12-20,13.6684
2012-01-20,13.6644
2012-02-20,13.6721
2012-03-20,13.6747
2012-04-20,13.4655
2012-05-20,13.4132
2012-06-20,13.1231
2012-07-20,13.1497
2012-08-20,13.1636
2012-09-20,12.8784
2012-10-20,12.9031
2012-11-20,12.9219
2012-12-20,12.8281
2013-01-20,12.8244
2013-02-20,12.8142
2013-03-20,12.8201
2013-04-20,13.0177
2013-05-20,13.1049
