date,ev_ebit
2004-01-20,22.568
2004-02-20,22.7025
2004-03-20,22.5752
2004-04-20,24.5221
2004-05-20,19.1344
2004-06-20,20.5486
2004-07-20,20.0025
2004-08-20,20.0294
2004-09-20,20.7203
2004-10-20,18.4236
2004-11-20,18.3944
2004-12-20,17.1347
2005-01-20,17.1409
2005-02-20,16.9827
2005-03-20,17.0344
2005-04-20,17.7163
2005-05-20,15.9675
2005-06-20,17.373
2005-07-20,17.3331
2005-08-20,17.2192
2005-09-20,16.2474
2005-10-20,16.6258
2005-11-20,16.6065
2005-12-20,16.5672
2006-01-20,16.6107
2006-02-20,18.0843
2006-03-20,18.118
2006-04-20,16.5265
2006-05-20,16.076
2006-06-20,18.7272
2006-07-20,18.5041
2006-08-20,18.3203
2006-09-20,16.8581
2006-10-20,16.9694
2006-11-20,16.9998
2006-12-20,16.9942
2007-01-20,17.0285
2007-02-20,17.2005
2007-03-20,17.226
2007-04-20,17.6058
2007-05-20,17.5176
2007-06-20,17.6451
2007-07-20,17.8938
2007-08-20,17.9725
2007-09-20,18.2724
2007-10-20,18.0992
2007-11-20,18.1504
2007-12-20,18.3554
2008-01-20,18.3579
2008-02-20,13.9293
2008-03-20,13.9394
2008-04-20,16.7709
2008-05-20,17.3028
2008-06-20,14.2918
2008-07-20,14.4166
2008-08-20,14.4978
2008-09-20,15.4302
2008-10-20,15.5115
2008-11-20,15.5939
2008-12-20,14.6836
2009-01-20,14.7057
2009-02-20,14.7941
2009-03-20,14.8181
2009-04-20,16.3696
2009-05-20,16.5613
2009-06-20,23.2943
2009-07-20,23.5615
2009-08-20,23.5694
2009-09-20,32.5526
2009-10-20,32.5499
2009-11-20,32.5507
2009-12-20,37.1256
2010-01-20,37.0731
2010-02-20,35.9254
2010-03-20,35.8357
2010-04-20,25.343
2010-05-20,25.174
2010-06-20,20.2944
2010-07-20,20.2953
2010-08-20,20.3763
2010-09-20,16.4421
2010-10-20,16.397
2010-11-20,16.3683
2010-12-20,15.649
2011-01-20,15.6667
2011-02-20,15.6858
2011-03-20,15.6864
2011-04-20,14.6147
2011-05-20,15.245
2011-06-20,14.9726
2011-07-20,14.9855
2011-08-20,15.0343
2011-09-20,15.1588
2011-10-20,15.1038
2011-11-20,15.1154
2011-12-20,14.5148
2012-01-20,14.5109
2012-02-20,14.4889
2012-03-20,14.4953
2012-04-20,14.9034
2012-05-20,14.9957
2012-06-20,15.8737
2012-07-20,15.8549
2012-08-20,16.0075
2012-09-20,15.3556
2012-10-20,15.3086
2012-11-20,15.4508
2012-12-20,15.495
2013-01-20,15.498
2013-02-20,15.5997
2013-03-20,15.5786
2013-04-20,15.4477
2013-05-20,15.5061
2013-06-20,15.5396
2013-07-20,15.5133
2013-08-20,15.6259
2013-09-20,14.3578
2013-10-20,14.2903
2013-11-20,14.3115
2013-12-20,13.9431
2014-01-20,13.9536
2014-02-20,13.9937
2014-03-20,13.9942
2014-04-20,14.1928
2014-05-20,14.1778
2014-06-20,13.258
2014-07-20,13.2537
2014-08-20,13.2923
2014-09-20,13.3239
2014-10-20,13.306
2014-11-20,13.3409
2014-12-20,13.2969
2015-01-20,13.3058
2015-02-20,13.3357
2015-03-20,13.3396
2015-04-20,13.6286
2015-05-20,13.6539
2015-06-20,13.8379
2015-07-20,13.9433
2015-08-20,14.0192
2015-09-20,14.0406
2015-10-20,14.0396
2015-11-20,14.0922
2015-12-20,12.5674
2016-01-20,12.5713
2016-02-20,12.6103
2016-03-20,12.6201
2016-04-20,13.0997
2016-05-20,13.1605
2016-06-20,12.3762
2016-07-20,12.0676
2016-08-20,12.1187
2016-09-20,12.3137
2016-10-20,12.2831
2016-11-20,12.3359
2016-12-20,13.0451
2017-01-20,13.046
2017-02-20,13.1057
2017-03-20,13.1073
2017-04-20,13.1179
2017-05-20,13.2004
2017-06-20,12.8814
2017-07-20,12.5553
2017-08-20,12.5417
2017-09-20,13.0319
2017-10-20,13.0158
2017-11-20,13.0283
2017-12-20,12.867
2018-01-20,12.8709
2018-02-20,12.8756
2018-03-20,12.8728
2018-04-20,12.0031
2018-05-20,12.0948
2018-06-20,12.2237
2018-07-20,11.247
2018-08-20,11.2751
2018-09-20,11.0211
2018-10-20,10.9936
2018-11-20,11.0086
2018-12-20,11.2231
2019-01-20,11.2261
2019-02-20,11.2333
2019-03-20,11.2375
2019-04-20,11.4247
2019-05-20,11.468
2019-06-20,11.1058
2019-07-20,11.1856
2019-08-20,11.2103
2019-09-20,11.8886
2019-10-20,11.8598
2019-11-20,11.8943
2019-12-20,12.3864
2020-01-20,12.3595
2020-02-20,12.399
2020-03-20,12.3849
2020-04-20,13.5696
2020-05-20,13.7416
2020-06-20,12.607
2020-07-20,12.7829
2020-08-20,12.7987
2020-09-20,15.7761
2020-10-20,15.7225
2020-11-20,15.7305
2020-12-20,16.4744
2021-01-20,16.474
2021-02-20,16.508
2021-03-20,16.5066
2021-04-20,17.1369
2021-05-20,17.3244
2021-06-20,15.7851
2021-07-20,15.9745
2021-08-20,16.0217
2021-09-20,14.507
2021-10-20,14.5405
2021-11-20,14.3736
2021-12-20,13.6541
2022-01-20,13.6531
2022-02-20,13.4706
2022-03-20,13.4768
2022-04-20,12.4127
2022-05-20,12.5168
2022-06-20,11.956
2022-07-20,12.1826
2022-08-20,12.2097
2022-09-20,12.1463
2022-10-20,12.1378
2022-11-20,12.0976
2022-12-20,11.3896
2023-01-20,11.3878
2023-02-20,11.3879
2023-03-20,11.3861
2023-04-20,11.9787
2023-05-20,11.7475
2023-06-20,11.8074
2023-07-20,12.011
2023-08-20,12.0187
2023-09-20,13.1185
2023-10-20,13.0948
2023-11-20,13.1024
2023-12-20,13.4623
2024-01-20,13.465
2024-02-20,13.4706
2024-03-20,13.4908
2024-04-20,13.2034
2024-05-20,13.3155
2024-06-20,13.9948
2024-07-20,14.2034
2024-08-20,14.1666
2024-09-20,14.0974
2024-10-20,14.1305
2024-11-20,14.1235
2024-12-20,13.6026
2025-01-20,13.6001
2025-02-20,13.6222
2025-03-20,13.6438
2025-04-20,13.1014
2025-05-20,13.0447
2025-06-20,12.5387
2025-07-20,12.7572
2025-08-20,12.7273
2025-09-20,13.32
2025-10-20,13.2972
2025-11-20,13.3173
2025-12-20,14.7266
2026-01-20,14.7055
2026-02-20,14.762
2026-03-20,14.7733
2026-04-20,15.3248
