date,ev_ebitda
2004-01-20,10.2189
2004-02-20,10.2291
2004-03-20,10.2135
2004-04-20,11.0832
2004-05-20,10.4267
2004-06-20,10.3557
2004-07-20,10.2398
2004-08-20,10.234
2004-09-20,10.5915
2004-10-20,10.5627
2004-11-20,10.5681
2004-12-20,9.4741
2005-01-20,9.5039
2005-02-20,9.5307
2005-03-20,9.5925
2005-04-20,10.9775
2005-05-20,9.1017
2005-06-20,9.4058
2005-07-20,9.4179
2005-08-20,9.2682
2005-09-20,9.1396
2005-10-20,9.3903
2005-11-20,9.4567
2005-12-20,9.4678
2006-01-20,9.4881
2006-02-20,10.3374
2006-03-20,10.3759
2006-04-20,11.5192
2006-05-20,10.4163
2006-06-20,10.7221
2006-07-20,10.6096
2006-08-20,10.6131
2006-09-20,10.0031
2006-10-20,10.0386
2006-11-20,10.0143
2006-12-20,9.9625
2007-01-20,9.946
2007-02-20,10.1844
2007-03-20,10.1886
2007-04-20,10.7777
2007-05-20,10.3524
2007-06-20,10.4925
2007-07-20,10.4474
2007-08-20,10.5333
2007-09-20,10.7387
2007-10-20,10.7753
2007-11-20,10.7009
2007-12-20,10.8996
2008-01-20,10.8498
2008-02-20,10.5697
2008-03-20,10.5749
2008-04-20,10.1132
2008-05-20,10.1469
2008-06-20,8.5761
2008-07-20,8.5883
2008-08-20,8.6298
2008-09-20,9.0415
2008-10-20,9.0213
2008-11-20,9.0483
2008-12-20,8.0574
2009-01-20,8.0607
2009-02-20,8.0985
2009-03-20,8.0502
2009-04-20,8.1094
2009-05-20,8.1375
2009-06-20,9.2443
2009-07-20,9.2944
2009-08-20,9.31
2009-09-20,11.4054
2009-10-20,11.3767
2009-11-20,11.2881
2009-12-20,12.417
2010-01-20,12.4212
2010-02-20,12.3646
2010-03-20,12.1829
2010-04-20,10.8532
2010-05-20,10.7771
2010-06-20,10.472
2010-07-20,10.4783
2010-08-20,10.5034
2010-09-20,9.0898
2010-10-20,9.0647
2010-11-20,9.0706
2010-12-20,9.0441
2011-01-20,9.0542
2011-02-20,9.0377
2011-03-20,9.0363
2011-04-20,8.5907
2011-05-20,8.8596
2011-06-20,8.8134
2011-07-20,8.7623
2011-08-20,8.7737
2011-09-20,8.9582
2011-10-20,8.9169
2011-11-20,8.8821
2011-12-20,8.5405
2012-01-20,8.5409
2012-02-20,8.4622
2012-03-20,8.4634
2012-04-20,8.433
2012-05-20,8.3945
2012-06-20,9.2963
2012-07-20,9.2902
2012-08-20,9.3075
2012-09-20,8.8065
2012-10-20,8.79
2012-11-20,8.8052
2012-12-20,8.8687
2013-01-20,8.8721
2013-02-20,8.8704
2013-03-20,8.8643
2013-04-20,9.2586
2013-05-20,9.2384
2013-06-20,9.3813
2013-07-20,9.3798
2013-08-20,9.4122
2013-09-20,8.9214
2013-10-20,8.898
2013-11-20,8.9336
2013-12-20,8.844
2014-01-20,8.8462
2014-02-20,8.8948
2014-03-20,8.8954
2014-04-20,9.1676
2014-05-20,9.1362
2014-06-20,8.502
2014-07-20,8.5084
2014-08-20,8.5454
2014-09-20,8.5995
2014-10-20,8.5872
2014-11-20,8.6121
2014-12-20,8.7097
2015-01-20,8.711
2015-02-20,8.7277
2015-03-20,8.7319
2015-04-20,8.8897
2015-05-20,8.8753
2015-06-20,8.9913
2015-07-20,9.0888
2015-08-20,9.1268
2015-09-20,9.1401
2015-10-20,9.1268
2015-11-20,9.156
2015-12-20,8.1618
2016-01-20,8.1626
2016-02-20,8.1914
2016-03-20,8.1994
2016-04-20,8.549
2016-05-20,8.5279
2016-06-20,7.9857
2016-07-20,7.7819
2016-08-20,7.8091
2016-09-20,7.836
2016-10-20,7.821
2016-11-20,7.8588
2016-12-20,8.3322
2017-01-20,8.3304
2017-02-20,8.3656
2017-03-20,8.3634
2017-04-20,8.4538
2017-05-20,8.4793
2017-06-20,8.3491
2017-07-20,8.114
2017-08-20,8.1253
2017-09-20,8.5612
2017-10-20,8.5498
2017-11-20,8.5752
2017-12-20,8.573
2018-01-20,8.575
2018-02-20,8.583
2018-03-20,8.5828
2018-04-20,8.1118
2018-05-20,8.1111
2018-06-20,8.197
2018-07-20,7.5483
2018-08-20,7.5622
2018-09-20,7.4874
2018-10-20,7.4725
2018-11-20,7.4884
2018-12-20,7.5956
2019-01-20,7.5966
2019-02-20,7.6062
2019-03-20,7.6092
2019-04-20,7.5652
2019-05-20,7.5496
2019-06-20,7.3064
2019-07-20,7.3536
2019-08-20,7.3682
2019-09-20,7.7022
2019-10-20,7.6852
2019-11-20,7.7058
2019-12-20,7.9227
2020-01-20,7.9074
2020-02-20,7.9253
2020-03-20,7.9232
2020-04-20,8.582
2020-05-20,8.6493
2020-06-20,7.7439
2020-07-20,7.8026
2020-08-20,7.7961
2020-09-20,9.4431
2020-10-20,9.45
2020-11-20,9.4674
2020-12-20,10.0681
2021-01-20,10.0578
2021-02-20,10.102
2021-03-20,10.1032
2021-04-20,10.8112
2021-05-20,10.944
2021-06-20,10.6121
2021-07-20,10.7044
2021-08-20,10.7387
2021-09-20,10.2341
2021-10-20,10.2543
2021-11-20,10.1414
2021-12-20,9.7412
2022-01-20,9.7383
2022-02-20,9.6041
2022-03-20,9.6113
2022-04-20,8.9088
2022-05-20,8.9396
2022-06-20,8.3135
2022-07-20,8.4556
2022-08-20,8.4592
2022-09-20,8.248
2022-10-20,8.2359
2022-11-20,8.2175
2022-12-20,7.6891
2023-01-20,7.6898
2023-02-20,7.69
2023-03-20,7.6861
2023-04-20,7.7979
2023-05-20,7.6296
2023-06-20,7.7245
2023-07-20,7.8366
2023-08-20,7.8202
2023-09-20,8.4974
2023-10-20,8.5011
2023-11-20,8.5044
2023-12-20,8.7039
2024-01-20,8.7035
2024-02-20,8.7122
2024-03-20,8.7296
2024-04-20,8.6431
2024-05-20,8.6387
2024-06-20,9.1925
2024-07-20,9.3153
2024-08-20,9.3113
2024-09-20,9.4626
2024-10-20,9.4577
2024-11-20,9.446
2024-12-20,9.3768
2025-01-20,9.3741
2025-02-20,9.3919
2025-03-20,9.4222
2025-04-20,9.1343
2025-05-20,9.1063
2025-06-20,8.5654
2025-07-20,8.6835
2025-08-20,8.6706
2025-09-20,9.0945
2025-10-20,9.0785
2025-11-20,9.0674
2025-12-20,10.3393
2026-01-20,10.3127
2026-02-20,10.3542
2026-03-20,10.3821
2026-04-20,10.9396
