date,gross_margin
2004-01-20,31.3217
2004-02-20,31.2675
2004-03-20,31.0329
2004-04-20,31.1641
2004-05-20,30.1739
2004-06-20,32.0803
2004-07-20,31.6003
2004-08-20,34.0853
2004-09-20,31.2105
2004-10-20,31.8687
2004-11-20,31.9282
2004-12-20,34.2777
2005-01-20,34.9157
2005-02-20,33.8628
2005-03-20,33.658
2005-04-20,31.0343
2005-05-20,29.2974
2005-06-20,32.0118
2005-07-20,32.5137
2005-08-20,33.022
2005-09-20,29.9168
2005-10-20,30.6903
2005-11-20,30.9571
2005-12-20,33.2866
2006-01-20,33.3126
2006-02-20,32.8699
2006-03-20,32.7729
2006-04-20,28.2448
2006-05-20,26.6992
2006-06-20,30.7148
2006-07-20,32.3829
2006-08-20,32.4304
2006-09-20,29.7921
2006-10-20,29.4299
2006-11-20,29.6045
2006-12-20,30.2566
2007-01-20,30.9909
2007-02-20,29.0426
2007-03-20,31.9274
2007-04-20,30.9676
2007-05-20,28.833
2007-06-20,29.2302
2007-07-20,29.9147
2007-08-20,31.299
2007-09-20,30.0446
2007-10-20,29.0357
2007-11-20,28.5834
2007-12-20,28.7085
2008-01-20,29.7835
2008-02-20,29.9633
2008-03-20,29.9557
2008-04-20,31.1865
2008-05-20,28.5888
2008-06-20,31.5699
2008-07-20,32.0692
2008-08-20,32.6445
2008-09-20,29.9936
2008-10-20,28.8001
2008-11-20,28.8392
2008-12-20,32.1052
2009-01-20,32.1842
2009-02-20,32.1566
2009-03-20,31.962
2009-04-20,28.3202
2009-05-20,27.346
2009-06-20,26.914
2009-07-20,27.6029
2009-08-20,27.9408
2009-09-20,29.0395
2009-10-20,27.5564
2009-11-20,27.6037
2009-12-20,27.8785
2010-01-20,27.8596
2010-02-20,27.789
2010-03-20,27.4759
2010-04-20,27.6937
2010-05-20,26.6867
2010-06-20,27.8849
2010-07-20,29.311
2010-08-20,29.3589
2010-09-20,30.0852
2010-10-20,29.3581
2010-11-20,30.0286
2010-12-20,30.94
2011-01-20,30.9388
2011-02-20,30.8565
2011-03-20,30.6471
2011-04-20,29.4597
2011-05-20,29.1578
2011-06-20,28.3546
2011-07-20,29.6663
2011-08-20,29.6701
2011-09-20,27.7349
2011-10-20,27.2631
2011-11-20,27.5962
2011-12-20,28.5383
2012-01-20,28.53
2012-02-20,28.6434
2012-03-20,28.5638
2012-04-20,26.0112
2012-05-20,25.7598
2012-06-20,25.798
2012-07-20,26.8429
2012-08-20,26.8949
2012-09-20,25.3466
2012-10-20,25.2921
2012-11-20,25.8875
2012-12-20,27.0846
2013-01-20,27.0395
2013-02-20,27.161
2013-03-20,26.9622
2013-04-20,25.4918
2013-05-20,25.8568
2013-06-20,25.9645
2013-07-20,26.8084
2013-08-20,26.976
2013-09-20,25.7098
2013-10-20,25.7499
2013-11-20,26.0657
2013-12-20,26.7145
2014-01-20,26.7387
2014-02-20,26.9642
2014-03-20,26.8825
2014-04-20,25.9123
2014-05-20,26.0024
2014-06-20,25.7637
2014-07-20,26.7844
2014-08-20,26.9505
2014-09-20,26.1447
2014-10-20,26.1368
2014-11-20,26.4296
2014-12-20,26.6615
2015-01-20,26.6827
2015-02-20,26.7902
2015-03-20,26.7025
2015-04-20,25.982
2015-05-20,26.0194
2015-06-20,25.8765
2015-07-20,26.6929
2015-08-20,26.8461
2015-09-20,26.5379
2015-10-20,26.4856
2015-11-20,26.9878
2015-12-20,27.7665
2016-01-20,27.7559
2016-02-20,27.8992
2016-03-20,27.8383
2016-04-20,27.1084
2016-05-20,27.1209
2016-06-20,26.9113
2016-07-20,28.017
2016-08-20,28.0205
2016-09-20,27.249
2016-10-20,27.1589
2016-11-20,27.3548
2016-12-20,28.2871
2017-01-20,28.283
2017-02-20,28.385
2017-03-20,28.3435
2017-04-20,28.0286
2017-05-20,27.9742
2017-06-20,28.419
2017-07-20,29.6167
2017-08-20,29.5402
2017-09-20,28.5216
2017-10-20,28.3803
2017-11-20,28.5892
2017-12-20,28.7984
2018-01-20,28.785
2018-02-20,28.8853
2018-03-20,28.8511
2018-04-20,28.6885
2018-05-20,28.5546
2018-06-20,27.7129
2018-07-20,28.6092
2018-08-20,28.641
2018-09-20,27.8855
2018-10-20,27.8893
2018-11-20,27.9131
2018-12-20,28.2366
2019-01-20,28.2512
2019-02-20,28.4044
2019-03-20,28.3446
2019-04-20,28.1295
2019-05-20,28.1643
2019-06-20,27.0963
2019-07-20,27.7754
2019-08-20,27.837
2019-09-20,26.6247
2019-10-20,26.4525
2019-11-20,26.5688
2019-12-20,26.5264
2020-01-20,26.4739
2020-02-20,26.5549
2020-03-20,26.504
2020-04-20,26.0047
2020-05-20,25.7622
2020-06-20,24.9485
2020-07-20,25.5725
2020-08-20,25.5592
2020-09-20,24.3131
2020-10-20,24.3696
2020-11-20,24.6616
2020-12-20,24.3856
2021-01-20,24.4383
2021-02-20,24.4088
2021-03-20,24.4096
2021-04-20,24.4604
2021-05-20,24.5958
2021-06-20,24.4579
2021-07-20,24.917
2021-08-20,24.9136
2021-09-20,24.9549
2021-10-20,24.9624
2021-11-20,25.069
2021-12-20,26.0401
2022-01-20,26.0696
2022-02-20,25.9727
2022-03-20,25.9544
2022-04-20,25.5085
2022-05-20,25.2225
2022-06-20,26.1089
2022-07-20,26.4385
2022-08-20,26.425
2022-09-20,25.9839
2022-10-20,25.9679
2022-11-20,25.9757
2022-12-20,26.3805
2023-01-20,26.4647
2023-02-20,26.4659
2023-03-20,26.4783
2023-04-20,25.7658
2023-05-20,25.8775
2023-06-20,24.6617
2023-07-20,24.9178
2023-08-20,24.9517
2023-09-20,24.2925
2023-10-20,24.2594
2023-11-20,24.2511
2023-12-20,24.962
2024-01-20,24.9403
2024-02-20,24.933
2024-03-20,24.9322
2024-04-20,24.8299
2024-05-20,24.7341
2024-06-20,25.1155
2024-07-20,25.269
2024-08-20,25.2859
2024-09-20,25.9786
2024-10-20,25.9846
2024-11-20,25.9796
2024-12-20,26.8518
2025-01-20,26.8784
2025-02-20,26.8748
2025-03-20,26.8742
2025-04-20,26.9971
2025-05-20,26.8283
2025-06-20,27.57
2025-07-20,27.9319
2025-08-20,28.011
2025-09-20,27.5709
2025-10-20,27.5836
2025-11-20,27.5938
2025-12-20,26.6882
2026-01-20,26.6799
2026-02-20,26.7018
2026-03-20,26.7529
2026-04-20,27.2131
