date,oper_margin
2004-01-20,5.8467
2004-02-20,5.8175
2004-03-20,5.8279
2004-04-20,5.9116
2004-05-20,7.1387
2004-06-20,6.936
2004-07-20,7.1033
2004-08-20,7.6483
2004-09-20,6.9831
2004-10-20,8.0113
2004-11-20,8.0325
2004-12-20,8.2237
2005-01-20,8.129
2005-02-20,8.3665
2005-03-20,8.344
2005-04-20,8.5062
2005-05-20,8.7417
2005-06-20,8.1583
2005-07-20,8.1426
2005-08-20,8.2663
2005-09-20,8.4951
2005-10-20,8.5331
2005-11-20,8.6195
2005-12-20,8.5892
2006-01-20,8.5778
2006-02-20,8.6965
2006-03-20,8.7087
2006-04-20,9.1137
2006-05-20,9.1109
2006-06-20,9.0489
2006-07-20,9.0911
2006-08-20,9.1664
2006-09-20,9.2806
2006-10-20,9.1667
2006-11-20,9.1805
2006-12-20,9.1679
2007-01-20,9.1522
2007-02-20,8.2732
2007-03-20,9.1466
2007-04-20,9.3418
2007-05-20,9.2442
2007-06-20,9.0223
2007-07-20,9.017
2007-08-20,9.1612
2007-09-20,9.317
2007-10-20,9.3803
2007-11-20,9.3795
2007-12-20,9.2379
2008-01-20,9.2371
2008-02-20,10.7723
2008-03-20,10.7637
2008-04-20,9.0653
2008-05-20,8.8479
2008-06-20,9.075
2008-07-20,9.0718
2008-08-20,9.0461
2008-09-20,8.8722
2008-10-20,8.7923
2008-11-20,8.7516
2008-12-20,8.0606
2009-01-20,8.0614
2009-02-20,8.0243
2009-03-20,8.0185
2009-04-20,6.4704
2009-05-20,6.3996
2009-06-20,4.681
2009-07-20,4.6734
2009-08-20,4.6804
2009-09-20,4.0346
2009-10-20,3.9994
2009-11-20,3.9642
2009-12-20,3.7732
2010-01-20,3.7779
2010-02-20,3.8656
2010-03-20,3.8659
2010-04-20,5.369
2010-05-20,5.362
2010-06-20,7.1267
2010-07-20,7.1469
2010-08-20,7.1303
2010-09-20,7.7836
2010-10-20,7.8005
2010-11-20,7.9013
2010-12-20,8.489
2011-01-20,8.4817
2011-02-20,8.4336
2011-03-20,8.4015
2011-04-20,8.7299
2011-05-20,8.6379
2011-06-20,8.5322
2011-07-20,8.5519
2011-08-20,8.541
2011-09-20,8.3442
2011-10-20,8.3703
2011-11-20,8.3332
2011-12-20,8.0425
2012-01-20,8.0426
2012-02-20,7.9852
2012-03-20,7.9843
2012-04-20,7.6193
2012-05-20,7.5086
2012-06-20,7.6854
2012-07-20,7.705
2012-08-20,7.6539
2012-09-20,7.3858
2012-10-20,7.4088
2012-11-20,7.364
2012-12-20,7.3423
2013-01-20,7.3415
2013-02-20,7.2865
2013-03-20,7.2947
2013-04-20,7.8022
2013-05-20,7.8078
2013-06-20,8.0885
2013-07-20,8.1321
2013-08-20,8.1114
2013-09-20,8.393
2013-10-20,8.45
2013-11-20,8.4709
