date,pe
2004-01-20,37.2001
2004-02-20,38.2318
2004-03-20,37.2714
2004-04-20,38.8007
2004-05-20,21.8868
2004-06-20,23.7795
2004-07-20,23.1403
2004-08-20,21.7832
2004-09-20,23.5002
2004-10-20,17.7782
2004-11-20,18.7387
2004-12-20,21.2766
2005-01-20,22.1932
2005-02-20,20.9082
2005-03-20,21.5511
2005-04-20,17.2253
2005-05-20,15.591
2005-06-20,18.9668
2005-07-20,19.0455
2005-08-20,19.5159
2005-09-20,19.1529
2005-10-20,20.4434
2005-11-20,20.0864
2005-12-20,21.0812
2006-01-20,22.6777
2006-02-20,23.0707
2006-03-20,22.9701
2006-04-20,22.5235
2006-05-20,22.0222
2006-06-20,18.6481
2006-07-20,18.2497
2006-08-20,18.1171
2006-09-20,17.7002
2006-10-20,17.6044
2006-11-20,18.0546
2006-12-20,13.4771
2007-01-20,13.8967
2007-02-20,10.8738
2007-03-20,11.2301
2007-04-20,16.8479
2007-05-20,16.8061
2007-06-20,19.3286
2007-07-20,20.1476
2007-08-20,20.7403
2007-09-20,18.9607
2007-10-20,20.3127
2007-11-20,21.2649
2007-12-20,14.3397
2008-01-20,14.0572
2008-02-20,16.4909
2008-03-20,17.0587
2008-04-20,15.5866
2008-05-20,17.186
2008-06-20,15.8311
2008-07-20,14.5604
2008-08-20,14.1702
2008-09-20,13.8868
2008-10-20,12.048
2008-11-20,10.0189
2008-12-20,10.7504
2009-01-20,12.0279
2009-02-20,11.7763
2009-03-20,11.4693
2009-04-20,15.9033
2009-05-20,19.2659
2009-06-20,34.471
2009-07-20,33.1047
2009-08-20,35.6681
2009-09-20,51.2452
2009-10-20,51.7427
2009-11-20,51.1704
2009-12-20,54.491
2010-01-20,55.366
2010-02-20,56.1328
2010-03-20,56.0732
2010-04-20,32.0533
2010-05-20,32.6279
2010-06-20,19.3221
2010-07-20,19.2367
2010-08-20,20.0751
2010-09-20,15.8459
2010-10-20,17.0733
2010-11-20,17.5295
2010-12-20,15.1074
2011-01-20,16.0912
2011-02-20,16.0251
2011-03-20,16.0549
2011-04-20,13.9404
2011-05-20,14.3642
2011-06-20,15.1344
2011-07-20,14.9357
2011-08-20,15.2367
2011-09-20,13.3934
2011-10-20,12.3566
2011-11-20,13.1979
2011-12-20,13.0359
2012-01-20,13.145
2012-02-20,14.3347
2012-03-20,15.0792
2012-04-20,17.0246
2012-05-20,16.9297
2012-06-20,23.5849
2012-07-20,15.3602
2012-08-20,15.2315
2012-09-20,15.7264
2012-10-20,16.4374
2012-11-20,16.3026
2012-12-20,16.4057
2013-01-20,17.0758
2013-02-20,17.259
2013-03-20,17.4233
2013-04-20,15.6583
2013-05-20,16.4597
2013-06-20,16.1051
2013-07-20,15.5839
2013-08-20,15.6782
