date,roa
2004-01-20,0.7801
2004-02-20,0.7834
2004-03-20,0.8065
2004-04-20,0.7751
2004-05-20,1.3424
2004-06-20,1.1245
2004-07-20,1.2283
2004-08-20,1.2159
2004-09-20,1.175
2004-10-20,1.5666
2004-11-20,1.511
2004-12-20,1.3727
2005-01-20,1.3803
2005-02-20,1.4387
2005-03-20,1.4408
2005-04-20,1.6354
2005-05-20,1.8189
2005-06-20,1.5003
2005-07-20,1.5032
2005-08-20,1.4992
2005-09-20,1.6081
2005-10-20,1.6358
2005-11-20,1.6401
2005-12-20,1.6378
2006-01-20,1.6333
2006-02-20,1.7642
2006-03-20,1.7655
2006-04-20,1.7367
2006-05-20,1.9073
2006-06-20,1.9072
2006-07-20,1.9987
2006-08-20,1.9829
2006-09-20,2.1205
2006-10-20,2.1299
2006-11-20,2.1487
2006-12-20,2.1344
2007-01-20,2.1302
2007-02-20,2.1376
2007-03-20,2.1385
2007-04-20,1.9775
2007-05-20,2.1036
2007-06-20,2.0756
2007-07-20,2.0754
2007-08-20,2.0636
2007-09-20,2.1636
2007-10-20,2.1712
2007-11-20,2.1698
2007-12-20,2.1522
2008-01-20,2.1708
2008-02-20,2.1953
2008-03-20,2.1965
2008-04-20,2.1715
2008-05-20,2.2417
2008-06-20,2.2315
2008-07-20,2.2237
2008-08-20,2.2196
2008-09-20,2.0176
2008-10-20,2.0387
2008-11-20,2.0329
2008-12-20,1.867
2009-01-20,1.8643
2009-02-20,1.8535
2009-03-20,1.8508
2009-04-20,1.0653
2009-05-20,1.0534
2009-06-20,0.4495
2009-07-20,0.451
2009-08-20,0.4468
2009-09-20,0.1792
2009-10-20,0.1812
2009-11-20,0.1817
2009-12-20,0.1358
2010-01-20,0.1364
2010-02-20,0.1271
2010-03-20,0.1286
2010-04-20,0.6833
2010-05-20,0.7384
2010-06-20,1.2275
2010-07-20,1.2317
2010-08-20,1.2295
2010-09-20,1.4271
2010-10-20,1.4387
2010-11-20,1.4395
2010-12-20,1.5845
2011-01-20,1.5824
2011-02-20,1.5817
2011-03-20,1.5798
2011-04-20,1.6922
2011-05-20,1.6939
2011-06-20,1.5732
2011-07-20,1.5792
2011-08-20,1.5753
2011-09-20,1.5354
2011-10-20,1.5528
2011-11-20,1.537
2011-12-20,1.4096
2012-01-20,1.4067
2012-02-20,1.3876
2012-03-20,1.3918
2012-04-20,1.1938
2012-05-20,1.1887
2012-06-20,1.3286
2012-07-20,1.3302
2012-08-20,1.3159
2012-09-20,1.2233
2012-10-20,1.2363
2012-11-20,1.2265
2012-12-20,1.2301
2013-01-20,1.2286
2013-02-20,1.2205
2013-03-20,1.2217
2013-04-20,1.4418
2013-05-20,1.4435
2013-06-20,1.4517
2013-07-20,1.4655
2013-08-20,1.4587
2013-09-20,1.5991
2013-10-20,1.607
2013-11-20,1.6032
2013-12-20,1.7162
2014-01-20,1.7165
2014-02-20,1.7113
2014-03-20,1.7116
2014-04-20,1.7179
2014-05-20,1.7243
2014-06-20,1.7437
2014-07-20,1.737
2014-08-20,1.7294
2014-09-20,1.7259
2014-10-20,1.7317
2014-11-20,1.7268
2014-12-20,1.7507
2015-01-20,1.7504
2015-02-20,1.7476
2015-03-20,1.7445
2015-04-20,1.7259
2015-05-20,1.7226
2015-06-20,1.7104
