date,roc
2004-01-20,1.6608
2004-02-20,1.6687
2004-03-20,1.7176
2004-04-20,1.6527
2004-05-20,2.8612
2004-06-20,2.4185
2004-07-20,2.602
2004-08-20,2.5918
2004-09-20,2.4926
2004-10-20,3.3181
2004-11-20,3.2001
2004-12-20,2.9317
2005-01-20,2.9473
2005-02-20,3.0862
2005-03-20,3.0906
2005-04-20,3.4983
2005-05-20,3.8836
2005-06-20,3.1524
2005-07-20,3.1889
2005-08-20,3.2025
2005-09-20,3.4099
2005-10-20,3.4604
2005-11-20,3.4677
2005-12-20,3.4618
2006-01-20,3.4523
2006-02-20,3.6707
2006-03-20,3.6732
2006-04-20,3.7319
2006-05-20,4.0334
2006-06-20,4.1101
2006-07-20,4.2257
2006-08-20,4.2476
2006-09-20,4.5834
2006-10-20,4.5989
2006-11-20,4.6333
2006-12-20,4.6022
2007-01-20,4.5933
2007-02-20,4.5678
2007-03-20,4.571
2007-04-20,4.2658
2007-05-20,4.504
2007-06-20,4.5489
2007-07-20,4.5332
2007-08-20,4.4921
2007-09-20,4.677
2007-10-20,4.6848
2007-11-20,4.6732
2007-12-20,4.6353
2008-01-20,4.6754
2008-02-20,4.7089
2008-03-20,4.7116
2008-04-20,4.6324
2008-05-20,4.8027
2008-06-20,4.9161
2008-07-20,4.9044
2008-08-20,4.8884
2008-09-20,4.6177
2008-10-20,4.6566
2008-11-20,4.6455
2008-12-20,4.2768
2009-01-20,4.2702
2009-02-20,4.2435
2009-03-20,4.2372
2009-04-20,2.453
2009-05-20,2.4094
2009-06-20,1.0494
2009-07-20,1.0501
2009-08-20,1.0446
2009-09-20,0.4127
2009-10-20,0.4192
2009-11-20,0.4241
2009-12-20,0.3098
2010-01-20,0.3111
2010-02-20,0.2932
2010-03-20,0.2966
2010-04-20,1.5823
2010-05-20,1.7071
2010-06-20,2.8082
2010-07-20,2.8483
2010-08-20,2.8484
2010-09-20,3.4138
2010-10-20,3.4376
2010-11-20,3.4475
2010-12-20,3.7621
2011-01-20,3.7571
2011-02-20,3.7635
2011-03-20,3.7594
2011-04-20,4.0827
2011-05-20,3.9825
2011-06-20,3.6973
2011-07-20,3.749
2011-08-20,3.7388
2011-09-20,3.6837
2011-10-20,3.7179
2011-11-20,3.68
2011-12-20,3.3559
2012-01-20,3.3492
2012-02-20,3.335
2012-03-20,3.3451
2012-04-20,2.8924
2012-05-20,2.8845
2012-06-20,3.1712
2012-07-20,3.203
2012-08-20,3.1695
2012-09-20,2.9635
2012-10-20,2.9887
2012-11-20,2.9654
2012-12-20,2.9643
2013-01-20,2.9604
2013-02-20,2.9524
2013-03-20,2.9555
2013-04-20,3.4607
2013-05-20,3.4619
2013-06-20,3.4928
2013-07-20,3.5468
2013-08-20,3.53
2013-09-20,3.9152
2013-10-20,3.9349
2013-11-20,3.9253
2013-12-20,4.1714
2014-01-20,4.1715
2014-02-20,4.1589
2014-03-20,4.1594
2014-04-20,4.1403
2014-05-20,4.1514
2014-06-20,4.203
2014-07-20,4.2024
2014-08-20,4.1842
2014-09-20,4.1886
2014-10-20,4.195
2014-11-20,4.1857
2014-12-20,4.2349
2015-01-20,4.2334
2015-02-20,4.232
2015-03-20,4.2244
2015-04-20,4.1747
2015-05-20,4.1627
2015-06-20,4.157
2015-07-20,4.1797
2015-08-20,4.1511
2015-09-20,4.3198
2015-10-20,4.3154
2015-11-20,4.2467
2015-12-20,4.2759
2016-01-20,4.2768
2016-02-20,4.1706
2016-03-20,4.1685
2016-04-20,4.1255
2016-05-20,4.0369
2016-06-20,4.0657
2016-07-20,4.095
2016-08-20,4.0101
2016-09-20,3.7314
2016-10-20,3.7374
2016-11-20,3.7056
2016-12-20,3.6942
2017-01-20,3.6963
2017-02-20,3.6682
2017-03-20,3.6683
2017-04-20,3.8363
2017-05-20,3.8159
2017-06-20,4.1354
