date,roce
2004-01-20,4.9526
2004-02-20,4.9791
2004-03-20,5.1205
2004-04-20,5.0153
2004-05-20,8.3414
2004-06-20,6.9802
2004-07-20,7.4138
2004-08-20,7.3538
2004-09-20,7.282
2004-10-20,9.7373
2004-11-20,9.3777
2004-12-20,8.4845
2005-01-20,8.5239
2005-02-20,8.9221
2005-03-20,8.9344
2005-04-20,10.508
2005-05-20,11.4242
2005-06-20,8.8013
2005-07-20,8.9347
2005-08-20,8.9244
2005-09-20,9.4927
2005-10-20,9.6399
2005-11-20,9.6086
2005-12-20,9.5883
2006-01-20,9.562
2006-02-20,9.931
2006-03-20,9.9373
2006-04-20,10.2569
2006-05-20,10.6685
2006-06-20,10.7004
2006-07-20,10.8917
2006-08-20,10.9019
2006-09-20,11.5764
2006-10-20,11.5736
2006-11-20,11.6306
2006-12-20,11.5581
2007-01-20,11.5343
2007-02-20,11.386
2007-03-20,11.388
2007-04-20,11.0449
2007-05-20,11.2407
2007-06-20,10.9265
2007-07-20,10.907
2007-08-20,10.9083
2007-09-20,11.5534
2007-10-20,11.5101
2007-11-20,11.4862
2007-12-20,11.4215
2008-01-20,11.5016
2008-02-20,11.712
2008-03-20,11.7188
2008-04-20,11.9824
2008-05-20,11.9489
2008-06-20,12.0918
2008-07-20,12.081
2008-08-20,12.0883
2008-09-20,11.5811
2008-10-20,11.6667
2008-11-20,11.6124
2008-12-20,10.7008
2009-01-20,10.6828
2009-02-20,10.6388
2009-03-20,10.6237
2009-04-20,6.7084
2009-05-20,6.5252
2009-06-20,2.8567
2009-07-20,2.8427
2009-08-20,2.8291
2009-09-20,1.1265
2009-10-20,1.1357
2009-11-20,1.1452
2009-12-20,0.844
2010-01-20,0.8471
2010-02-20,0.7837
2010-03-20,0.7816
2010-04-20,4.4028
2010-05-20,4.4587
2010-06-20,7.3272
2010-07-20,7.3549
2010-08-20,7.3654
2010-09-20,8.9304
2010-10-20,8.9497
2010-11-20,9.0116
2010-12-20,9.8891
2011-01-20,9.8746
2011-02-20,9.8883
2011-03-20,9.8757
2011-04-20,10.3343
2011-05-20,10.3181
2011-06-20,9.6448
2011-07-20,9.6672
2011-08-20,9.6559
2011-09-20,9.3925
2011-10-20,9.4319
2011-11-20,9.41
2011-12-20,8.7455
2012-01-20,8.7281
2012-02-20,8.7016
2012-03-20,8.7318
2012-04-20,7.511
2012-05-20,7.4749
2012-06-20,8.2118
2012-07-20,8.2191
2012-08-20,8.2067
2012-09-20,7.6828
2012-10-20,7.7355
2012-11-20,7.7389
2012-12-20,7.6398
2013-01-20,7.6284
2013-02-20,7.6505
2013-03-20,7.6583
2013-04-20,8.7902
2013-05-20,8.9021
2013-06-20,8.7257
2013-07-20,8.7517
2013-08-20,8.7905
2013-09-20,9.5962
2013-10-20,9.6157
2013-11-20,9.6188
2013-12-20,10.1364
2014-01-20,10.1341
2014-02-20,10.1531
2014-03-20,10.1539
2014-04-20,10.168
2014-05-20,10.1695
2014-06-20,10.2053
2014-07-20,10.1569
2014-08-20,10.153
2014-09-20,10.1805
2014-10-20,10.1909
2014-11-20,10.1843
2014-12-20,10.1934
2015-01-20,10.1883
2015-02-20,10.2001
2015-03-20,10.1809
2015-04-20,9.911
2015-05-20,9.9101
2015-06-20,9.7421
2015-07-20,9.7516
2015-08-20,9.7302
2015-09-20,10.1612
2015-10-20,10.1588
2015-11-20,10.0355
2015-12-20,10.0644
2016-01-20,10.064
2016-02-20,9.918
2016-03-20,9.9125
2016-04-20,9.6664
2016-05-20,9.5408
2016-06-20,9.4033
2016-07-20,9.4154
2016-08-20,9.317
2016-09-20,8.7951
2016-10-20,8.8151
2016-11-20,8.8149
2016-12-20,8.6954
2017-01-20,8.6964
2017-02-20,8.702
2017-03-20,8.7013
2017-04-20,8.9144
2017-05-20,8.9757
2017-06-20,9.5506
2017-07-20,9.5482
2017-08-20,9.5298
2017-09-20,9.9653
2017-10-20,10.005
2017-11-20,10.035
2017-12-20,10.1028
2018-01-20,10.1042
2018-02-20,10.1096
2018-03-20,10.1125
2018-04-20,10.7821
2018-05-20,10.7866
2018-06-20,11.1073
2018-07-20,11.1548
2018-08-20,11.1546
2018-09-20,11.5805
2018-10-20,11.633
2018-11-20,11.6502
2018-12-20,11.5167
2019-01-20,11.515
2019-02-20,11.5129
2019-03-20,11.5307
2019-04-20,10.6006
2019-05-20,10.6117
2019-06-20,10.0506
2019-07-20,10.0845
2019-08-20,10.108
2019-09-20,9.731
2019-10-20,9.7292
2019-11-20,9.7337
2019-12-20,9.2902
2020-01-20,9.2935
2020-02-20,9.2869
2020-03-20,9.2967
2020-04-20,8.9522
2020-05-20,8.9199
2020-06-20,8.0892
2020-07-20,8.0616
2020-08-20,8.0586
2020-09-20,7.0115
2020-10-20,6.9845
2020-11-20,7.0044
2020-12-20,6.8455
2021-01-20,6.8418
2021-02-20,6.8744
2021-03-20,6.8745
2021-04-20,7.5087
2021-05-20,7.529
2021-06-20,9.0501
2021-07-20,9.0184
2021-08-20,9.0064
2021-09-20,10.3783
2021-10-20,10.3674
2021-11-20,10.3358
2021-12-20,10.7081
2022-01-20,10.6857
2022-02-20,10.6698
2022-03-20,10.6579
2022-04-20,10.7828
2022-05-20,10.7765
2022-06-20,10.3944
2022-07-20,10.398
2022-08-20,10.3822
2022-09-20,10.1101
2022-10-20,10.1099
2022-11-20,10.1042
2022-12-20,10.089
2023-01-20,10.0914
2023-02-20,10.087
2023-03-20,10.0881
2023-04-20,9.7048
2023-05-20,9.6807
2023-06-20,9.6475
2023-07-20,9.6411
2023-08-20,9.6193
2023-09-20,9.4569
2023-10-20,9.448
2023-11-20,9.4499
2023-12-20,9.1607
2024-01-20,9.1715
2024-02-20,9.165
2024-03-20,9.1691
2024-04-20,9.1869
2024-05-20,9.2009
2024-06-20,9.2537
2024-07-20,9.2606
2024-08-20,9.2676
2024-09-20,9.7006
2024-10-20,9.6899
2024-11-20,9.6964
2024-12-20,10.389
2025-01-20,10.3933
2025-02-20,10.361
2025-03-20,10.3516
2025-04-20,10.7745
2025-05-20,10.7582
2025-06-20,10.8975
2025-07-20,10.8668
2025-08-20,10.8554
2025-09-20,11.0349
2025-10-20,11.0559
2025-11-20,11.0397
2025-12-20,11.2227
2026-01-20,11.2824
2026-02-20,11.2376
2026-03-20,11.2382
2026-04-20,10.8942
