date,div_yield
2004-01-20,23.8617
2004-02-20,19.7806
2004-03-20,20.2098
2004-04-20,30.2665
2004-05-20,32.024
2004-06-20,31.298
2004-07-20,32.7918
2004-08-20,31.2539
2004-09-20,29.676
2004-10-20,27.8805
2004-11-20,25.7413
2004-12-20,20.9268
2005-01-20,20.9581
2005-02-20,21.599
2005-03-20,21.4948
2005-04-20,24.3765
2005-05-20,22.067
2005-06-20,19.9544
2005-07-20,17.8836
2005-08-20,17.2404
2005-09-20,16.2167
2005-10-20,17.0598
2005-11-20,11.8474
2005-12-20,11.0819
2006-01-20,10.3204
2006-02-20,8.0379
2006-03-20,8.0003
2006-04-20,14.8304
2006-05-20,19.4156
2006-06-20,4.6533
2006-07-20,4.4454
2006-08-20,4.2972
2006-09-20,4.2045
2006-10-20,4.0994
2006-11-20,2.2544
2006-12-20,2.1789
2007-01-20,2.2331
2007-02-20,2.1369
2007-03-20,2.2203
2007-04-20,2.1012
2007-05-20,2.138
2007-06-20,2.0295
2007-07-20,1.9667
2007-08-20,2.2723
2007-09-20,2.1465
2007-10-20,1.9973
2007-11-20,2.115
2007-12-20,2.075
2008-01-20,2.2487
2008-02-20,2.2289
2008-03-20,2.4691
2008-04-20,2.2681
2008-05-20,2.1975
2008-06-20,2.4567
2008-07-20,2.7619
2008-08-20,2.8401
2008-09-20,3.1
2008-10-20,4.0237
2008-11-20,4.8723
2008-12-20,4.0723
2009-01-20,4.328
2009-02-20,4.3465
2009-03-20,4.0242
2009-04-20,3.5093
2009-05-20,2.979
2009-06-20,3.0161
2009-07-20,2.6892
2009-08-20,2.4605
2009-09-20,2.2263
2009-10-20,2.1108
2009-11-20,2.1003
2009-12-20,2.1015
2010-01-20,1.988
2010-02-20,2.1578
2010-03-20,2.0702
2010-04-20,2.1026
2010-05-20,2.39
2010-06-20,2.2437
2010-07-20,2.3404
2010-08-20,2.3621
2010-09-20,2.3219
2010-10-20,2.2849
2010-11-20,2.2844
2010-12-20,2.2666
2011-01-20,2.2913
2011-02-20,2.2959
2011-03-20,2.333
2011-04-20,2.288
2011-05-20,2.4319
2011-06-20,2.5774
2011-07-20,2.5595
2011-08-20,3.0625
2011-09-20,2.9947
2011-10-20,3.1472
2011-11-20,3.0702
2011-12-20,3.1106
2012-01-20,2.8445
2012-02-20,2.7084
2012-03-20,2.7388
2012-04-20,2.8848
2012-05-20,3.2329
2012-06-20,3.1237
2012-07-20,3.0825
2012-08-20,2.9173
2012-09-20,2.8384
2012-10-20,2.8098
2012-11-20,2.8809
2012-12-20,2.6647
2013-01-20,2.6278
2013-02-20,2.662
2013-03-20,2.7287
2013-04-20,2.7486
2013-05-20,2.6675
2013-06-20,2.9446
2013-07-20,2.8586
2013-08-20,2.824
2013-09-20,2.6767
2013-10-20,2.6216
2013-11-20,2.6605
2013-12-20,2.6959
2014-01-20,2.7314
2014-02-20,2.7936
2014-03-20,2.823
2014-04-20,2.7338
2014-05-20,2.6539
2014-06-20,2.6441
2014-07-20,2.7136
2014-08-20,2.6782
2014-09-20,2.6832
2014-10-20,2.8325
2014-11-20,2.7204
2014-12-20,2.7828
2015-01-20,2.7897
2015-02-20,2.6816
2015-03-20,2.6541
2015-04-20,2.506
2015-05-20,2.5347
2015-06-20,2.6299
2015-07-20,2.7579
2015-08-20,3.007
2015-09-20,3.0638
2015-10-20,2.9216
2015-11-20,2.9588
2015-12-20,2.9727
2016-01-20,3.3116
2016-02-20,3.1543
2016-03-20,2.9117
2016-04-20,2.8939
2016-05-20,3.0462
2016-06-20,2.7885
2016-07-20,2.6884
2016-08-20,2.5929
2016-09-20,2.5255
2016-10-20,2.4802
2016-11-20,2.6136
2016-12-20,2.5335
2017-01-20,2.535
2017-02-20,2.4277
2017-03-20,2.4084
2017-04-20,2.4199
2017-05-20,2.3809
2017-06-20,2.3686
2017-07-20,2.3634
2017-08-20,2.3601
2017-09-20,2.339
2017-10-20,2.2907
2017-11-20,2.2521
2017-12-20,2.3132
2018-01-20,2.2353
2018-02-20,2.3559
2018-03-20,2.3395
2018-04-20,2.4398
2018-05-20,2.4303
2018-06-20,2.5747
2018-07-20,2.6917
2018-08-20,2.7717
2018-09-20,2.7423
2018-10-20,3.0212
2018-11-20,3.021
2018-12-20,3.0474
2019-01-20,2.9055
2019-02-20,2.7793
2019-03-20,2.7202
2019-04-20,2.664
2019-05-20,2.8976
2019-06-20,2.7737
2019-07-20,2.8225
2019-08-20,2.9957
2019-09-20,2.8943
2019-10-20,2.9199
2019-11-20,2.8278
2019-12-20,2.6767
2020-01-20,2.611
2020-02-20,2.677
2020-03-20,3.4411
2020-04-20,3.0884
2020-05-20,2.9553
2020-06-20,2.6886
2020-07-20,2.4731
2020-08-20,2.363
2020-09-20,2.2473
2020-10-20,2.2135
2020-11-20,2.0993
2020-12-20,1.9567
2021-01-20,1.8321
2021-02-20,1.7691
2021-03-20,1.9129
2021-04-20,1.8965
2021-05-20,1.9547
2021-06-20,1.9528
2021-07-20,2.0915
2021-08-20,2.323
2021-09-20,2.3163
2021-10-20,2.3455
2021-11-20,2.4025
2021-12-20,2.6176
2022-01-20,2.4799
2022-02-20,2.5377
2022-03-20,2.5363
2022-04-20,2.7879
2022-05-20,2.9087
2022-06-20,2.933
2022-07-20,3.0465
2022-08-20,3.1706
2022-09-20,3.2998
2022-10-20,3.4542
2022-11-20,3.2205
2022-12-20,3.2398
2023-01-20,3.0123
2023-02-20,3.0603
2023-03-20,3.2303
2023-04-20,3.167
2023-05-20,3.0844
2023-06-20,2.9521
2023-07-20,2.913
2023-08-20,2.9782
2023-09-20,2.9132
2023-10-20,2.9699
2023-11-20,2.8638
2023-12-20,2.8653
2024-01-20,2.8299
2024-02-20,2.6461
2024-03-20,2.7753
2024-04-20,2.8326
2024-05-20,2.7023
2024-06-20,2.6955
2024-07-20,2.6812
2024-08-20,2.7231
2024-09-20,2.7044
2024-10-20,2.5704
2024-11-20,2.7014
2024-12-20,2.7458
2025-01-20,2.7678
2025-02-20,2.6846
2025-03-20,2.6796
2025-04-20,2.8863
2025-05-20,2.6862
2025-06-20,2.6798
2025-07-20,2.5799
2025-08-20,2.5702
2025-09-20,2.3977
2025-10-20,2.3167
2025-11-20,2.3348
2025-12-20,2.3933
2026-01-20,2.2408
2026-02-20,2.1161
2026-03-20,2.2497
2026-04-20,2.1106
