date,ebitda_margin
2004-03-16,22.9747
2004-04-16,24.052
2004-05-16,23.1562
2004-06-16,22.7205
2004-07-16,22.718
2004-08-16,22.6428
2004-09-16,16.6498
2004-10-16,17.0907
2004-11-16,17.0907
2004-12-16,17.0907
2005-01-16,17.0907
2005-02-16,17.0907
2005-03-16,17.0907
2005-04-16,25.1533
2005-05-16,25.4074
2005-06-16,23.7405
2005-07-16,23.7632
2005-08-16,23.6905
2005-09-16,28.3752
2005-10-16,28.0479
2005-11-16,28.0479
2005-12-16,28.0479
2006-01-16,28.0479
2006-02-16,28.0479
2006-03-16,28.0479
2006-04-16,26.2837
2006-05-16,22.3113
2006-06-16,21.3503
2006-07-16,21.3507
2006-08-16,22.3445
2006-09-16,22.4107
2006-10-16,22.2218
2006-11-16,21.5454
2006-12-16,21.5043
2007-01-16,21.4702
2007-02-16,22.1798
2007-03-16,21.9357
2007-04-16,21.7436
2007-05-16,20.6735
2007-06-16,20.4019
2007-07-16,20.1072
2007-08-16,21.6303
2007-09-16,21.3195
2007-10-16,21.7252
2007-11-16,21.6798
2007-12-16,21.3533
2008-01-16,21.3053
2008-02-16,16.9152
2008-03-16,16.9932
2008-04-16,21.7607
2008-05-16,21.4551
2008-06-16,20.3634
2008-07-16,20.4074
2008-08-16,21.2186
2008-09-16,20.6181
2008-10-16,20.5448
2008-11-16,20.6117
2008-12-16,20.6021
2009-01-16,20.479
2009-02-16,21.2317
2009-03-16,21.0558
2009-04-16,19.3556
2009-05-16,18.925
2009-06-16,19.5691
2009-07-16,19.4782
2009-08-16,19.5437
2009-09-16,19.2208
2009-10-16,19.0669
2009-11-16,19.1112
2009-12-16,19.0635
2010-01-16,19.8156
2010-02-16,19.1526
2010-03-16,19.0236
2010-04-16,19.0401
2010-05-16,18.8759
2010-06-16,18.9589
2010-07-16,19.2114
2010-08-16,19.1342
2010-09-16,19.7893
2010-10-16,19.7739
2010-11-16,19.7183
2010-12-16,19.6196
2011-01-16,19.6972
2011-02-16,19.7057
2011-03-16,19.4627
2011-04-16,20.3765
2011-05-16,20.0085
2011-06-16,19.8562
2011-07-16,19.8377
2011-08-16,19.8288
2011-09-16,19.6359
2011-10-16,19.7102
2011-11-16,19.7732
2011-12-16,19.4792
2012-01-16,19.4276
2012-02-16,19.4299
2012-03-16,19.1191
2012-04-16,19.2346
2012-05-16,18.996
2012-06-16,18.2527
2012-07-16,18.2856
2012-08-16,18.2655
2012-09-16,17.9328
2012-10-16,17.8896
2012-11-16,17.8016
2012-12-16,17.6647
2013-01-16,17.5767
2013-02-16,17.4602
2013-03-16,17.3961
2013-04-16,17.2058
2013-05-16,17.0359
2013-06-16,17.1729
2013-07-16,17.1631
2013-08-16,17.0458
2013-09-16,17.0869
2013-10-16,17.0963
2013-11-16,17.1031
2013-12-16,17.007
2014-01-16,16.9854
2014-02-16,17.147
2014-03-16,17.1533
2014-04-16,17.0067
2014-05-16,17.1038
2014-06-16,16.8817
2014-07-16,16.8559
2014-08-16,16.8804
2014-09-16,16.8523
2014-10-16,16.8096
2014-11-16,16.7552
2014-12-16,16.2169
2015-01-16,16.2505
2015-02-16,15.6095
2015-03-16,15.6523
2015-04-16,17.5344
2015-05-16,16.7701
2015-06-16,16.293
2015-07-16,16.6563
2015-08-16,16.8222
2015-09-16,17.002
2015-10-16,16.9668
2015-11-16,17.0223
2015-12-16,16.697
2016-01-16,16.6943
2016-02-16,16.8729
2016-03-16,16.8953
2016-04-16,16.7309
2016-05-16,16.8865
2016-06-16,16.5735
2016-07-16,16.6188
2016-08-16,16.7323
2016-09-16,15.9697
2016-10-16,15.9464
2016-11-16,16.0443
2016-12-16,15.8583
2017-01-16,15.8032
2017-02-16,15.8295
2017-03-16,15.7503
2017-04-16,17.6709
2017-05-16,17.8862
2017-06-16,17.7988
2017-07-16,17.7781
2017-08-16,17.7137
2017-09-16,17.7147
2017-10-16,17.6935
2017-11-16,17.7072
2017-12-16,17.6711
2018-01-16,17.8021
2018-02-16,17.8874
2018-03-16,17.874
2018-04-16,18.4889
2018-05-16,18.7219
2018-06-16,18.6
2018-07-16,18.62
2018-08-16,18.6791
2018-09-16,18.4657
2018-10-16,18.4542
2018-11-16,18.6515
2018-12-16,18.3874
2019-01-16,18.3777
2019-02-16,18.3255
2019-03-16,18.1099
2019-04-16,18.8189
2019-05-16,18.859
2019-06-16,18.2283
2019-07-16,18.2313
2019-08-16,18.3192
2019-09-16,18.6098
2019-10-16,18.5597
2019-11-16,18.5414
2019-12-16,17.6516
2020-01-16,17.652
2020-02-16,17.6779
2020-03-16,17.641
2020-04-16,18.05
2020-05-16,18.0884
2020-06-16,16.8831
2020-07-16,16.8981
2020-08-16,16.8721
2020-09-16,16.0821
2020-10-16,16.0412
2020-11-16,16.014
2020-12-16,15.8817
2021-01-16,15.8619
2021-02-16,15.8602
2021-03-16,15.8232
2021-04-16,16.845
2021-05-16,16.9939
2021-06-16,17.7521
2021-07-16,17.7824
2021-08-16,17.8027
2021-09-16,18.7634
2021-10-16,18.751
2021-11-16,18.7954
2021-12-16,19.1458
2022-01-16,19.165
2022-02-16,19.2083
2022-03-16,19.0111
2022-04-16,19.3423
2022-05-16,19.2672
2022-06-16,18.9033
2022-07-16,18.8779
2022-08-16,18.8922
2022-09-16,18.6745
2022-10-16,18.6566
2022-11-16,18.5888
2022-12-16,19.2448
2023-01-16,19.2372
2023-02-16,19.1521
2023-03-16,19.0107
2023-04-16,18.3931
2023-05-16,18.3366
2023-06-16,17.5336
2023-07-16,17.5235
2023-08-16,17.5004
2023-09-16,17.2332
2023-10-16,17.1831
2023-11-16,17.1647
2023-12-16,17.069
2024-01-16,17.0653
2024-02-16,16.9274
2024-03-16,16.8659
2024-04-16,16.9742
2024-05-16,17.064
2024-06-16,17.6724
2024-07-16,17.6277
2024-08-16,17.545
2024-09-16,17.6892
2024-10-16,17.6182
2024-11-16,17.561
2024-12-16,18.163
2025-01-16,18.1688
2025-02-16,18.1239
2025-03-16,18.0305
2025-04-16,18.5918
2025-05-16,18.6142
2025-06-16,19.115
2025-07-16,19.1048
2025-08-16,19.1307
2025-09-16,19.1068
2025-10-16,19.2509
2025-11-16,19.1599
2025-12-16,18.5537
2026-01-16,18.5621
2026-02-16,18.6141
2026-03-16,18.5652
2026-04-16,18.946
