date,ev_ebit
2004-01-20,5.8496
2004-02-20,6.1454
2004-03-20,5.9541
2004-04-20,6.5023
2004-05-20,9.9234
2004-06-20,10.0604
2004-07-20,10.0204
2004-08-20,10.2421
2004-09-20,6.7587
2004-10-20,6.9646
2004-11-20,6.764
2004-12-20,6.835
2005-01-20,6.8726
2005-02-20,7.0778
2005-03-20,7.078
2005-04-20,6.9639
2005-05-20,8.2349
2005-06-20,8.2202
2005-07-20,8.2651
2005-08-20,9.1128
2005-09-20,9.1219
2005-10-20,9.1884
2005-11-20,7.7966
2005-12-20,7.845
2006-01-20,7.8854
2006-02-20,9.5869
2006-03-20,9.6699
2006-04-20,9.4119
2006-05-20,9.9383
2006-06-20,10.0211
2006-07-20,10.0201
2006-08-20,10.5672
2006-09-20,10.7596
2006-10-20,10.8111
2006-11-20,11.0605
2006-12-20,11.0412
2007-01-20,11.1225
2007-02-20,11.8879
2007-03-20,11.9089
2007-04-20,11.7917
2007-05-20,12.5062
2007-06-20,13.1333
2007-07-20,13.1689
2007-08-20,14.1701
2007-09-20,14.2828
2007-10-20,14.3462
2007-11-20,14.3835
2007-12-20,14.2075
2008-01-20,14.2271
2008-02-20,9.6442
2008-03-20,9.7104
2008-04-20,12.8197
2008-05-20,13.9304
2008-06-20,14.7322
2008-07-20,14.6233
2008-08-20,9.8699
2008-09-20,12.8333
2008-10-20,12.8759
2008-11-20,13.0187
2008-12-20,13.1086
2009-01-20,13.1397
2009-02-20,10.6427
2009-03-20,10.9168
2009-04-20,9.0615
2009-05-20,9.454
2009-06-20,9.1369
2009-07-20,9.3379
2009-08-20,9.5056
2009-09-20,12.1659
2009-10-20,11.9832
2009-11-20,12.1545
2009-12-20,12.1419
2010-01-20,13.8923
2010-02-20,13.5553
2010-03-20,14.0822
2010-04-20,13.2332
2010-05-20,13.2355
2010-06-20,12.0878
2010-07-20,12.1698
2010-08-20,12.2803
2010-09-20,10.3577
2010-10-20,10.3322
2010-11-20,10.3852
2010-12-20,11.0582
2011-01-20,11.1702
2011-02-20,11.2058
2011-03-20,11.2697
2011-04-20,10.726
2011-05-20,10.8046
2011-06-20,10.3251
2011-07-20,10.3628
2011-08-20,10.4008
2011-09-20,9.6819
2011-10-20,9.6091
2011-11-20,9.6153
2011-12-20,8.327
2012-01-20,8.3284
2012-02-20,8.3539
2012-03-20,8.5116
2012-04-20,8.7613
2012-05-20,8.8401
2012-06-20,9.5981
2012-07-20,9.6197
2012-08-20,9.6698
2012-09-20,9.3532
2012-10-20,9.379
2012-11-20,9.4235
2012-12-20,9.901
2013-01-20,9.9075
2013-02-20,10.3037
2013-03-20,10.3481
2013-04-20,10.4302
2013-05-20,10.2892
2013-06-20,10.4292
2013-07-20,10.4582
2013-08-20,10.5191
2013-09-20,9.6706
2013-10-20,9.6434
2013-11-20,9.6619
2013-12-20,9.7412
2014-01-20,9.7282
2014-02-20,9.6725
2014-03-20,9.6886
2014-04-20,10.0253
2014-05-20,9.8255
2014-06-20,10.1054
2014-07-20,10.1063
2014-08-20,10.1644
2014-09-20,10.3434
2014-10-20,10.357
2014-11-20,10.4385
2014-12-20,10.825
2015-01-20,10.8043
2015-02-20,11.2559
2015-03-20,11.1978
2015-04-20,11.0126
2015-05-20,11.3902
2015-06-20,11.9017
2015-07-20,11.9252
2015-08-20,12.0032
2015-09-20,11.9552
2015-10-20,11.934
2015-11-20,12.1218
2015-12-20,11.2012
2016-01-20,11.1831
2016-02-20,11.276
2016-03-20,11.3048
2016-04-20,12.2602
