date,ev_ebitda
2004-03-16,3.5874
2004-04-16,3.6993
2004-05-16,5.5504
2004-06-16,5.64
2004-07-16,5.6404
2004-08-16,5.7701
2004-09-16,5.8029
2004-10-16,5.8129
2004-11-16,5.8129
2004-12-16,5.8129
2005-01-16,5.8129
2005-02-16,5.8129
2005-03-16,5.8129
2005-04-16,4.3614
2005-05-16,5.1158
2005-06-16,5.167
2005-07-16,5.2126
2005-08-16,5.7424
2005-09-16,5.7727
2005-10-16,5.8294
2005-11-16,5.8294
2005-12-16,5.8294
2006-01-16,5.8294
2006-02-16,5.8294
2006-03-16,5.8294
2006-04-16,6.1938
2006-05-16,6.3268
2006-06-16,6.3636
2006-07-16,6.3726
2006-08-16,6.805
2006-09-16,6.8562
2006-10-16,6.8555
2006-11-16,7.1194
2006-12-16,7.1154
2007-01-16,7.124
2007-02-16,7.6932
2007-03-16,7.745
2007-04-16,7.6051
2007-05-16,7.8745
2007-06-16,8.2312
2007-07-16,8.3485
2007-08-16,9.1347
2007-09-16,9.1458
2007-10-16,9.5486
2007-11-16,9.5412
2007-12-16,9.6864
2008-01-16,9.5777
2008-02-16,10.1471
2008-03-16,10.1044
2008-04-16,9.0176
2008-05-16,9.1942
2008-06-16,9.6526
2008-07-16,9.5434
2008-08-16,8.8077
2008-09-16,8.7068
2008-10-16,8.5891
2008-11-16,8.6317
2008-12-16,8.6581
2009-01-16,8.7651
2009-02-16,6.7889
2009-03-16,6.856
2009-04-16,5.3533
2009-05-16,5.5332
2009-06-16,5.7067
2009-07-16,5.7947
2009-08-16,5.8713
2009-09-16,7.3699
2009-10-16,7.2617
2009-11-16,7.3256
2009-12-16,7.3301
2010-01-16,8.3211
2010-02-16,8.3752
2010-03-16,8.3567
2010-04-16,7.8617
2010-05-16,7.8337
2010-06-16,8.0559
2010-07-16,8.0764
2010-08-16,8.1357
2010-09-16,7.1574
2010-10-16,7.1266
2010-11-16,7.1943
2010-12-16,7.6494
2011-01-16,7.6676
2011-02-16,7.6805
2011-03-16,7.7055
2011-04-16,7.2178
2011-05-16,7.2051
2011-06-16,7.271
2011-07-16,7.2859
2011-08-16,7.3088
2011-09-16,6.9339
2011-10-16,6.8807
2011-11-16,6.8843
2011-12-16,6.0809
2012-01-16,6.0904
2012-02-16,6.1189
2012-03-16,6.2055
2012-04-16,6.1443
2012-05-16,6.1856
2012-06-16,6.6704
2012-07-16,6.6782
2012-08-16,6.7287
2012-09-16,6.446
2012-10-16,6.4636
2012-11-16,6.5117
2012-12-16,6.7742
2013-01-16,6.799
