date,gross_margin
2004-05-16,42.2634
2004-06-16,42.0468
2004-07-16,41.9422
2004-08-16,41.9422
2004-09-16,24.9229
2004-10-16,25.5466
2004-11-16,25.5466
2004-12-16,25.5466
2005-01-16,25.5466
2005-02-16,25.5466
2005-03-16,25.5466
2005-04-16,25.5466
2005-05-16,34.3509
2005-06-16,33.4854
2005-07-16,33.549
2005-08-16,33.4725
2005-09-16,40.1093
2005-10-16,40.0783
2005-11-16,40.0783
2005-12-16,40.0783
2006-01-16,40.0783
2006-02-16,40.0783
2006-03-16,40.0783
2006-04-16,40.0783
2006-05-16,40.0783
2006-06-16,33.0504
2006-07-16,33.118
2006-08-16,35.1457
2006-09-16,35.0953
2006-10-16,34.5906
2006-11-16,34.5906
2006-12-16,34.5906
2007-01-16,34.5906
2007-02-16,34.5906
2007-03-16,34.5906
2007-04-16,34.5906
2007-05-16,27.7785
2007-06-16,27.2765
2007-07-16,27.2907
2007-08-16,30.9723
2007-09-16,30.4178
2007-10-16,30.4178
2007-11-16,30.4178
2007-12-16,30.4178
2008-01-16,30.4178
2008-02-16,30.4178
2008-03-16,30.4178
2008-04-16,30.4178
2008-05-16,29.4622
2008-06-16,29.4746
2008-07-16,29.1708
2008-08-16,30.7308
2008-09-16,30.7308
2008-10-16,30.7308
2008-11-16,30.7308
2008-12-16,30.7308
2009-01-16,30.7308
2009-02-16,30.7308
2009-03-16,28.083
2009-04-16,27.8587
2009-05-16,26.7203
2009-06-16,29.7367
2009-07-16,29.7621
2009-08-16,30.34
2009-09-16,30.34
2009-10-16,30.34
2009-11-16,30.34
2009-12-16,30.34
2010-01-16,30.34
2010-02-16,30.34
2010-03-16,30.34
2010-04-16,28.0611
2010-05-16,27.7138
2010-06-16,2238615.2816
2010-07-16,2259473.0077
2010-08-16,2269093.0468
2010-09-16,947.5612
2010-10-16,942.1897
2010-11-16,950.8649
2010-12-16,30.0578
2011-01-16,30.2291
2011-02-16,30.3123
2011-03-16,30.0662
2011-04-16,28.8199
2011-05-16,27.638
2011-06-16,26.8572
2011-07-16,26.8045
2011-08-16,26.9183
2011-09-16,26.8563
2011-10-16,26.7915
2011-11-16,26.9253
2011-12-16,65.0627
2012-01-16,64.9703
2012-02-16,65.3587
2012-03-16,65.1636
2012-04-16,26.0409
2012-05-16,24.727
2012-06-16,24.4478
2012-07-16,24.5009
2012-08-16,24.3998
2012-09-16,24.4408
2012-10-16,24.4266
2012-11-16,24.3776
2012-12-16,24.7896
2013-01-16,24.6774
2013-02-16,23.5429
2013-03-16,23.2718
2013-04-16,24.2661
2013-05-16,23.1912
2013-06-16,25.2425
2013-07-16,25.5155
2013-08-16,25.2735
2013-09-16,24.623
2013-10-16,24.7195
2013-11-16,24.6625
2013-12-16,25.0783
2014-01-16,25.1362
2014-02-16,24.3278
2014-03-16,24.3784
2014-04-16,24.2127
2014-05-16,23.4879
2014-06-16,23.7447
2014-07-16,23.8859
2014-08-16,23.8143
2014-09-16,23.8858
2014-10-16,23.8443
2014-11-16,23.1002
2014-12-16,24.0388
2015-01-16,24.1521
2015-02-16,23.3219
2015-03-16,23.3868
2015-04-16,24.6496
2015-05-16,24.5703
2015-06-16,24.4987
2015-07-16,24.4173
2015-08-16,24.3991
2015-09-16,24.3426
2015-10-16,24.3359
2015-11-16,24.3816
2015-12-16,25.1072
2016-01-16,25.1231
2016-02-16,24.6787
2016-03-16,24.7794
2016-04-16,25.4363
2016-05-16,25.7966
2016-06-16,24.9882
2016-07-16,24.9846
2016-08-16,24.9316
2016-09-16,25.0709
2016-10-16,25.0765
2016-11-16,25.1124
2016-12-16,24.81
2017-01-16,24.7761
2017-02-16,24.7666
2017-03-16,25.2853
2017-04-16,26.2321
2017-05-16,26.465
2017-06-16,24.918
2017-07-16,24.8235
2017-08-16,24.8902
2017-09-16,25.8219
2017-10-16,25.8327
2017-11-16,25.8544
2017-12-16,24.1729
2018-01-16,24.2222
2018-02-16,24.3302
2018-03-16,24.6345
2018-04-16,27.266
2018-05-16,27.0415
2018-06-16,25.7806
2018-07-16,25.0057
2018-08-16,24.7328
2018-09-16,26.1654
2018-10-16,26.1579
2018-11-16,26.3173
2018-12-16,24.8064
2019-01-16,24.7976
2019-02-16,24.7878
2019-03-16,24.9197
2019-04-16,27.1652
2019-05-16,27.065
2019-06-16,23.8059
2019-07-16,23.7545
2019-08-16,23.8132
2019-09-16,25.0736
2019-10-16,25.082
2019-11-16,25.1645
2019-12-16,22.9406
2020-01-16,22.9333
2020-02-16,22.9606
2020-03-16,23.2722
2020-04-16,24.8757
2020-05-16,24.0985
2020-06-16,21.4578
2020-07-16,21.111
2020-08-16,21.1381
2020-09-16,22.6099
2020-10-16,22.4753
2020-11-16,22.4132
2020-12-16,20.1915
2021-01-16,20.2067
2021-02-16,20.2897
2021-03-16,20.7425
2021-04-16,23.9523
2021-05-16,23.8484
2021-06-16,22.3665
2021-07-16,22.2945
2021-08-16,22.2683
2021-09-16,24.7254
2021-10-16,24.4939
2021-11-16,24.5448
2021-12-16,24.8021
2022-01-16,24.815
2022-02-16,24.8178
2022-03-16,25.0438
2022-04-16,25.506
2022-05-16,25.4645
2022-06-16,25.8986
2022-07-16,25.9507
2022-08-16,25.9069
2022-09-16,26.4105
2022-10-16,25.8833
2022-11-16,25.9371
2022-12-16,26.5712
2023-01-16,26.67
2023-02-16,26.7014
2023-03-16,26.8407
2023-04-16,26.2055
2023-05-16,26.0024
2023-06-16,24.2358
2023-07-16,24.0731
2023-08-16,24.0796
2023-09-16,24.444
2023-10-16,24.3982
2023-11-16,24.3678
2023-12-16,23.7864
2024-01-16,23.7955
2024-02-16,23.7965
2024-03-16,23.9792
2024-04-16,24.8832
2024-05-16,24.5208
2024-06-16,24.3155
2024-07-16,24.3878
2024-08-16,24.3987
2024-09-16,25.7101
2024-10-16,25.6264
2024-11-16,25.5963
2024-12-16,25.6646
2025-01-16,25.6749
2025-02-16,25.6776
2025-03-16,25.8718
2025-04-16,27.0853
2025-05-16,26.8515
2025-06-16,26.7178
2025-07-16,26.7323
2025-08-16,26.7384
2025-09-16,27.4675
2025-10-16,27.4747
2025-11-16,27.5075
2025-12-16,25.545
2026-01-16,25.5377
2026-02-16,25.5931
2026-03-16,25.6427
2026-04-16,27.0592
