date,oper_margin
2004-01-16,14.5679
2004-02-16,14.4147
2004-03-16,13.8738
2004-04-16,13.7002
2004-05-16,12.9316
2004-06-16,12.717
2004-07-16,12.7616
2004-08-16,12.7469
2004-09-16,14.3106
2004-10-16,14.2774
2004-11-16,14.5828
2004-12-16,14.5525
2005-01-16,14.3539
2005-02-16,14.8348
2005-03-16,14.9164
2005-04-16,15.7688
2005-05-16,15.7837
2005-06-16,14.9235
2005-07-16,14.985
2005-08-16,14.9282
2005-09-16,17.9576
2005-10-16,17.7955
2005-11-16,17.4859
2005-12-16,17.4525
2006-01-16,17.2884
2006-02-16,17.0945
2006-03-16,17.2056
2006-04-16,17.3051
2006-05-16,14.2195
2006-06-16,13.5726
2006-07-16,13.5931
2006-08-16,14.4098
2006-09-16,14.286
2006-10-16,14.0966
2006-11-16,13.8682
2006-12-16,13.8584
2007-01-16,13.7515
2007-02-16,14.353
2007-03-16,14.2658
2007-04-16,14.0306
2007-05-16,13.0222
2007-06-16,12.7914
2007-07-16,12.7516
2007-08-16,13.956
2007-09-16,13.6696
2007-10-16,14.4756
2007-11-16,14.3978
2007-12-16,14.573
2008-01-16,14.3623
2008-02-16,17.81
2008-03-16,17.6987
2008-04-16,15.307
2008-05-16,14.1605
2008-06-16,13.3423
2008-07-16,13.3182
2008-08-16,18.945
2008-09-16,13.9658
2008-10-16,13.683
2008-11-16,13.6448
2008-12-16,13.5925
2009-01-16,13.6457
2009-02-16,13.5098
2009-03-16,13.1895
2009-04-16,11.4349
2009-05-16,11.0764
2009-06-16,12.1823
2009-07-16,12.0472
2009-08-16,12.0595
2009-09-16,11.6436
2009-10-16,11.5544
2009-11-16,11.5185
2009-12-16,11.5086
2010-01-16,11.8703
2010-02-16,11.8348
2010-03-16,11.2882
2010-04-16,11.3138
2010-05-16,11.1741
2010-06-16,12.6361
2010-07-16,12.7505
2010-08-16,12.6769
2010-09-16,13.6624
2010-10-16,13.6009
2010-11-16,13.6201
2010-12-16,13.5751
2011-01-16,13.5246
2011-02-16,13.5107
2011-03-16,13.3099
2011-04-16,13.779
2011-05-16,13.3541
2011-06-16,13.9879
2011-07-16,13.9572
2011-08-16,13.9438
2011-09-16,14.0719
2011-10-16,14.1233
2011-11-16,14.1668
2011-12-16,14.2331
2012-01-16,14.2152
2012-02-16,14.2397
2012-03-16,13.9467
2012-04-16,13.4963
2012-05-16,13.3001
2012-06-16,12.7052
2012-07-16,12.7011
2012-08-16,12.7146
2012-09-16,12.3788
2012-10-16,12.3505
2012-11-16,12.3238
2012-12-16,12.0913
2013-01-16,12.0671
2013-02-16,11.6392
2013-03-16,11.6028
2013-04-16,11.773
2013-05-16,11.7127
2013-06-16,11.4679
2013-07-16,11.4397
2013-08-16,11.4393
2013-09-16,11.6285
2013-10-16,11.6541
2013-11-16,11.7048
2013-12-16,11.6864
2014-01-16,11.7012
