date,pb
2004-01-20,0.9147
2004-02-20,0.9328
2004-03-20,0.9742
2004-04-20,0.9823
2004-05-20,1.3118
2004-06-20,1.283
2004-07-20,1.2811
2004-08-20,1.0435
2004-09-20,1.0879
2004-10-20,1.1488
2004-11-20,1.1875
2004-12-20,1.2987
2005-01-20,1.3606
2005-02-20,1.3531
2005-03-20,1.4691
2005-04-20,1.3626
2005-05-20,1.7491
2005-06-20,1.7758
2005-07-20,1.8353
2005-08-20,1.9164
2005-09-20,1.9303
2005-10-20,2.1053
2005-11-20,1.9576
2005-12-20,2.1227
2006-01-20,2.2454
2006-02-20,2.4444
2006-03-20,2.4434
2006-04-20,2.4609
2006-05-20,2.5388
2006-06-20,2.2304
2006-07-20,2.22
2006-08-20,2.4265
2006-09-20,2.4797
2006-10-20,2.4951
2006-11-20,2.6048
2006-12-20,2.8022
2007-01-20,2.9225
2007-02-20,2.9086
2007-03-20,2.8924
2007-04-20,2.9846
2007-05-20,2.8265
2007-06-20,2.9399
2007-07-20,3.0685
2007-08-20,3.148
2007-09-20,3.061
2007-10-20,3.1956
2007-11-20,3.5737
2007-12-20,3.3155
2008-01-20,3.325
2008-02-20,2.7686
2008-03-20,2.9682
2008-04-20,2.7391
2008-05-20,2.9215
2008-06-20,2.9667
2008-07-20,2.56
2008-08-20,2.4081
2008-09-20,2.2524
2008-10-20,1.8521
2008-11-20,1.3483
2008-12-20,1.244
2009-01-20,1.3388
2009-02-20,1.3131
2009-03-20,1.2394
2009-04-20,1.5259
2009-05-20,1.8127
2009-06-20,1.9936
2009-07-20,1.9572
2009-08-20,2.1983
2009-09-20,2.0532
2009-10-20,2.2218
2009-11-20,2.2252
2009-12-20,2.318
2010-01-20,2.2472
2010-02-20,2.1319
2010-03-20,2.1332
2010-04-20,2.0889
2010-05-20,2.1184
2010-06-20,1.8333
2010-07-20,1.81
2010-08-20,1.9657
2010-09-20,1.9418
2010-10-20,2.1497
2010-11-20,2.2336
2010-12-20,2.0153
2011-01-20,2.1531
2011-02-20,2.1029
2011-03-20,2.0799
2011-04-20,2.0279
2011-05-20,2.094
2011-06-20,1.9124
2011-07-20,1.8639
2011-08-20,1.8571
2011-09-20,1.6171
2011-10-20,1.3762
2011-11-20,1.5621
2011-12-20,1.543
2012-01-20,1.5226
2012-02-20,1.7004
2012-03-20,1.7974
2012-04-20,1.7117
2012-05-20,1.7076
2012-06-20,1.4009
2012-07-20,1.4511
2012-08-20,1.4834
2012-09-20,1.5175
2012-10-20,1.6078
2012-11-20,1.6033
2012-12-20,1.5677
2013-01-20,1.6336
2013-02-20,1.6656
2013-03-20,1.6432
2013-04-20,1.5749
2013-05-20,1.592
2013-06-20,1.5059
2013-07-20,1.4029
2013-08-20,1.4212
2013-09-20,1.4269
2013-10-20,1.5135
2013-11-20,1.594
2013-12-20,1.4694
2014-01-20,1.4446
2014-02-20,1.3594
2014-03-20,1.4028
2014-04-20,1.4818
2014-05-20,1.4478
2014-06-20,1.4502
2014-07-20,1.4818
