date,pe
2004-01-20,8.3081
2004-02-20,8.3324
2004-03-20,8.1336
2004-04-20,8.66
2004-05-20,11.7798
2004-06-20,11.6508
2004-07-20,9.4303
2004-08-20,9.4067
2004-09-20,8.4287
2004-10-20,9.1041
2004-11-20,9.7094
2004-12-20,10.6952
2005-01-20,11.246
2005-02-20,11.4981
2005-03-20,12.5543
2005-04-20,10.1717
2005-05-20,9.6856
2005-06-20,9.8868
2005-07-20,10.2555
2005-08-20,10.9986
2005-09-20,10.3588
2005-10-20,11.4835
2005-11-20,9.4371
2005-12-20,10.256
2006-01-20,10.8945
2006-02-20,13.1023
2006-03-20,13.2671
2006-04-20,13.1057
2006-05-20,9.3893
2006-06-20,8.5725
2006-07-20,8.5412
2006-08-20,11.6585
2006-09-20,12.0084
2006-10-20,12.0989
2006-11-20,13.7016
2006-12-20,14.7533
2007-01-20,15.4518
2007-02-20,16.1404
2007-03-20,16.129
2007-04-20,16.3695
2007-05-20,13.7587
2007-06-20,18.354
2007-07-20,19.1833
2007-08-20,16.8682
2007-09-20,16.3223
2007-10-20,18.0435
2007-11-20,20.2124
2007-12-20,18.466
2008-01-20,18.3801
2008-02-20,13.9661
2008-03-20,14.9717
2008-04-20,14.5541
2008-05-20,15.9919
2008-06-20,16.181
2008-07-20,14.2054
2008-08-20,12.7101
2008-09-20,11.4521
2008-10-20,9.3991
2008-11-20,6.8789
2008-12-20,6.36
2009-01-20,6.8468
2009-02-20,7.2093
2009-03-20,6.797
2009-04-20,12.028
2009-05-20,14.4608
2009-06-20,17.7481
2009-07-20,17.4962
2009-08-20,19.7303
2009-09-20,19.142
2009-10-20,20.9552
2009-11-20,21.3829
2009-12-20,22.3476
2010-01-20,21.3702
2010-02-20,19.9851
2010-03-20,19.6985
2010-04-20,16.9937
2010-05-20,17.287
2010-06-20,13.5183
2010-07-20,13.5061
2010-08-20,14.6905
2010-09-20,13.4449
2010-10-20,14.8984
2010-11-20,15.441
2010-12-20,13.5233
2011-01-20,14.4797
2011-02-20,14.2074
2011-03-20,14.2423
2011-04-20,13.2835
2011-05-20,13.9008
2011-06-20,19.5764
2011-07-20,19.2595
2011-08-20,18.9103
2011-09-20,26.0334
2011-10-20,21.5624
2011-11-20,23.6454
2011-12-20,10.3684
2012-01-20,10.2388
2012-02-20,11.5082
2012-03-20,12.3119
2012-04-20,12.2277
2012-05-20,12.127
2012-06-20,10.2606
2012-07-20,10.6343
2012-08-20,10.9282
2012-09-20,11.8927
2012-10-20,12.6537
2012-11-20,12.6295
2012-12-20,11.957
2013-01-20,12.5439
2013-02-20,13.3826
2013-03-20,13.2568
2013-04-20,12.0925
2013-05-20,12.2586
2013-06-20,12.1266
2013-07-20,11.3159
2013-08-20,11.4469
2013-09-20,11.1887
2013-10-20,11.893
2013-11-20,12.5158
2013-12-20,11.7913
2014-01-20,11.6399
2014-02-20,10.9468
2014-03-20,11.3048
2014-04-20,11.9524
2014-05-20,11.8938
2014-06-20,12.5731
2014-07-20,12.873
2014-08-20,13.1476
2014-09-20,12.4754
2014-10-20,11.5101
2014-11-20,11.7477
2014-12-20,12.6963
2015-01-20,12.1285
2015-02-20,12.3313
2015-03-20,12.7043
2015-04-20,13.7349
2015-05-20,14.1659
2015-06-20,14.722
2015-07-20,14.219
2015-08-20,13.2775
2015-09-20,11.4735
2015-10-20,11.1094
2015-11-20,12.0726
2015-12-20,13.2972
2016-01-20,12.8288
2016-02-20,12.2868
2016-03-20,12.3137
2016-04-20,14.1687
2016-05-20,13.8216
2016-06-20,14.9752
2016-07-20,15.4816
2016-08-20,16.3336
2016-09-20,14.657
2016-10-20,14.7902
2016-11-20,14.8847
2016-12-20,13.8603
2017-01-20,13.863
2017-02-20,14.6829
2017-03-20,15.1869
2017-04-20,15.4693
2017-05-20,15.811
2017-06-20,14.451
2017-07-20,14.5701
2017-08-20,15.4627
2017-09-20,15.1494
2017-10-20,15.0782
2017-11-20,15.6785
2017-12-20,14.7099
2018-01-20,15.2569
2018-02-20,16.5626
2018-03-20,15.7944
2018-04-20,14.6293
2018-05-20,14.4942
2018-06-20,13.7033
2018-07-20,13.1211
2018-08-20,13.4132
2018-09-20,12.6216
2018-10-20,12.4964
2018-11-20,11.4871
2018-12-20,12.114
2019-01-20,11.7602
2019-02-20,12.9037
2019-03-20,12.9249
2019-04-20,12.9087
2019-05-20,12.7924
2019-06-20,12.5854
2019-07-20,13.2956
2019-08-20,13.1464
2019-09-20,12.6466
2019-10-20,12.9857
2019-11-20,13.5904
2019-12-20,14.0802
2020-01-20,15.0871
2020-02-20,14.4598
2020-03-20,13.7364
2020-04-20,11.6862
2020-05-20,12.7446
2020-06-20,14.7901
2020-07-20,15.9276
2020-08-20,17.524
2020-09-20,19.4763
2020-10-20,19.1472
2020-11-20,19.5918
2020-12-20,20.6168
2021-01-20,22.1324
2021-02-20,22.8807
2021-03-20,23.1358
2021-04-20,20.9267
2021-05-20,21.0775
2021-06-20,19.2833
2021-07-20,19.2029
2021-08-20,17.9041
2021-09-20,15.6784
2021-10-20,14.993
2021-11-20,15.1974
2021-12-20,13.8537
2022-01-20,14.0547
2022-02-20,13.7843
2022-03-20,13.5624
2022-04-20,12.9305
2022-05-20,12.3267
2022-06-20,12.8214
2022-07-20,11.9849
2022-08-20,12.276
2022-09-20,12.4748
2022-10-20,10.9807
2022-11-20,10.638
2022-12-20,12.4414
2023-01-20,12.2353
2023-02-20,13.3149
2023-03-20,12.4693
2023-04-20,12.6337
2023-05-20,12.5123
2023-06-20,12.4453
2023-07-20,13.0315
2023-08-20,13.9536
2023-09-20,14.1105
2023-10-20,13.7869
2023-11-20,13.2535
2023-12-20,14.5805
2024-01-20,15.1337
2024-02-20,14.6067
2024-03-20,15.2962
2024-04-20,15.0181
2024-05-20,15.1141
2024-06-20,14.6666
2024-07-20,15.2977
2024-08-20,15.2872
2024-09-20,15.0281
2024-10-20,16.0487
2024-11-20,15.3858
2024-12-20,13.6731
2025-01-20,13.6839
2025-02-20,13.9816
2025-03-20,14.1057
2025-04-20,14.8949
2025-05-20,15.1317
2025-06-20,14.8233
2025-07-20,15.7117
2025-08-20,16.0081
2025-09-20,15.2152
2025-10-20,16.3297
2025-11-20,17.0675
2025-12-20,16.4724
2026-01-20,16.9302
2026-02-20,18.5525
2026-03-20,19.5454
2026-04-20,18.8033
