date,roa
2004-01-20,3.8144
2004-02-20,3.8077
2004-03-20,4.0672
2004-04-20,3.7625
2004-05-20,2.9719
2004-06-20,2.9292
2004-07-20,2.9415
2004-08-20,2.7143
2004-09-20,3.9417
2004-10-20,3.8529
2004-11-20,3.6689
2004-12-20,3.6427
2005-01-20,3.6317
2005-02-20,3.5201
2005-03-20,3.4982
2005-04-20,3.9512
2005-05-20,4.14
2005-06-20,4.1914
2005-07-20,4.1694
2005-08-20,3.9693
2005-09-20,4.1019
2005-10-20,4.0375
2005-11-20,4.8477
2005-12-20,4.7868
2006-01-20,4.7463
2006-02-20,4.4929
2006-03-20,4.4504
2006-04-20,4.482
2006-05-20,4.2656
2006-06-20,4.3119
2006-07-20,4.3113
2006-08-20,5.0958
2006-09-20,5.0121
2006-10-20,5.0064
2006-11-20,4.2275
2006-12-20,4.219
2007-01-20,4.1797
2007-02-20,4.133
2007-03-20,4.1276
2007-04-20,4.2545
2007-05-20,460193.3688
2007-06-20,444405.1595
2007-07-20,443230.3
2007-08-20,3.4872
2007-09-20,3.5387
2007-10-20,3.7721
2007-11-20,3.744
2007-12-20,3.8004
2008-01-20,3.8373
2008-02-20,3.9369
2008-03-20,3.913
2008-04-20,4.5893
2008-05-20,4.23
2008-06-20,4.0522
2008-07-20,4.1123
2008-08-20,4.2052
2008-09-20,4.0532
2008-10-20,3.9977
2008-11-20,4.0142
2008-12-20,4.0064
2009-01-20,4.0024
2009-02-20,3.8456
2009-03-20,3.8186
2009-04-20,2.5158
2009-05-20,2.4096
2009-06-20,2.2432
2009-07-20,2.2245
2009-08-20,2.179
2009-09-20,2.1019
2009-10-20,2.0709
2009-11-20,2.0081
2009-12-20,2.0156
2010-01-20,2.1705
2010-02-20,2.147
2010-03-20,2.13
2010-04-20,2.484
2010-05-20,2.6011
2010-06-20,2.799
2010-07-20,2.8131
2010-08-20,2.8084
2010-09-20,3.0302
2010-10-20,3.0455
2010-11-20,3.0354
2010-12-20,3.1709
2011-01-20,3.1674
2011-02-20,3.1401
2011-03-20,3.1164
2011-04-20,3.4632
2011-05-20,3.2998
2011-06-20,3.3859
2011-07-20,3.3914
2011-08-20,3.4102
2011-09-20,3.4981
2011-10-20,3.5541
2011-11-20,3.5366
2011-12-20,3.3046
2012-01-20,3.301
2012-02-20,3.2698
2012-03-20,3.2388
2012-04-20,3.3058
2012-05-20,3.2353
2012-06-20,2.9773
2012-07-20,2.9819
2012-08-20,2.9506
2012-09-20,2.6359
2012-10-20,2.6408
2012-11-20,2.6293
2012-12-20,2.7375
2013-01-20,2.7141
2013-02-20,2.5879
2013-03-20,2.5832
2013-04-20,2.6607
2013-05-20,2.613
2013-06-20,2.4896
2013-07-20,2.4978
2013-08-20,2.4854
2013-09-20,2.4944
2013-10-20,2.5091
2013-11-20,2.4905
2013-12-20,2.5454
2014-01-20,2.5359
2014-02-20,2.5228
2014-03-20,2.515
2014-04-20,2.4791
2014-05-20,2.4699
2014-06-20,2.3109
2014-07-20,2.3351
2014-08-20,2.3245
2014-09-20,2.3823
2014-10-20,2.4139
2014-11-20,2.3891
2014-12-20,2.2199
2015-01-20,2.2259
2015-02-20,2.2034
2015-03-20,2.201
2015-04-20,2.092
2015-05-20,2.1119
2015-06-20,1.9286
2015-07-20,1.9792
2015-08-20,1.9641
2015-09-20,2.0687
2015-10-20,2.0959
2015-11-20,2.0641
2015-12-20,1.9468
2016-01-20,1.973
2016-02-20,1.9201
2016-03-20,1.9176
2016-04-20,1.905
2016-05-20,1.9515
2016-06-20,1.8034
2016-07-20,1.8375
2016-08-20,1.8275
2016-09-20,1.8984
2016-10-20,1.9096
2016-11-20,1.894
2016-12-20,1.8542
2017-01-20,1.8564
2017-02-20,1.845
2017-03-20,1.8452
2017-04-20,1.9907
2017-05-20,1.986
2017-06-20,2.0366
2017-07-20,2.0857
2017-08-20,2.0784
2017-09-20,2.1456
2017-10-20,2.1511
2017-11-20,2.1394
2017-12-20,2.219
2018-01-20,2.2101
2018-02-20,2.2046
2018-03-20,2.1983
2018-04-20,2.2939
2018-05-20,2.3064
2018-06-20,2.2409
2018-07-20,2.3317
2018-08-20,2.3149
2018-09-20,2.4792
2018-10-20,2.4873
2018-11-20,2.4712
2018-12-20,2.4298
2019-01-20,2.4283
2019-02-20,2.4073
2019-03-20,2.4007
2019-04-20,2.3736
2019-05-20,2.4107
2019-06-20,2.139
2019-07-20,2.1917
2019-08-20,2.1798
2019-09-20,2.1735
2019-10-20,2.1786
2019-11-20,2.165
2019-12-20,2.0905
2020-01-20,2.0897
2020-02-20,2.0786
2020-03-20,2.0665
2020-04-20,1.9925
2020-05-20,1.9813
2020-06-20,1.6966
2020-07-20,1.7046
2020-08-20,1.6795
2020-09-20,1.5524
2020-10-20,1.5381
2020-11-20,1.5378
2020-12-20,1.562
2021-01-20,1.5636
2021-02-20,1.5565
2021-03-20,1.5497
2021-04-20,1.6632
2021-05-20,1.7609
2021-06-20,2.0358
2021-07-20,2.0742
2021-08-20,2.066
2021-09-20,2.3907
2021-10-20,2.3908
2021-11-20,2.3761
2021-12-20,2.4946
2022-01-20,2.4954
2022-02-20,2.4966
2022-03-20,2.4704
2022-04-20,2.5408
2022-05-20,2.5696
2022-06-20,2.3553
2022-07-20,2.3609
2022-08-20,2.3547
2022-09-20,2.3115
2022-10-20,2.3152
2022-11-20,2.3116
2022-12-20,2.3489
2023-01-20,2.3499
2023-02-20,2.3387
2023-03-20,2.3311
2023-04-20,2.2565
2023-05-20,2.2902
2023-06-20,2.179
2023-07-20,2.1993
2023-08-20,2.1799
2023-09-20,2.0044
2023-10-20,2.0004
2023-11-20,1.9998
2023-12-20,1.9855
2024-01-20,1.985
2024-02-20,1.9964
