date,roc
2004-01-16,6.1905
2004-02-16,6.2709
2004-03-16,6.6937
2004-04-16,6.1832
2004-05-16,5.6
2004-06-16,5.5415
2004-07-16,5.5619
2004-08-16,4.9976
2004-09-16,7.2643
2004-10-16,7.0991
2004-11-16,6.7896
2004-12-16,6.7396
2005-01-16,6.7165
2005-02-16,6.6012
2005-03-16,6.5751
2005-04-16,7.4315
2005-05-16,9.6985
2005-06-16,9.5617
2005-07-16,9.5192
2005-08-16,8.3521
2005-09-16,8.62
2005-10-16,8.4895
2005-11-16,10.4822
2005-12-16,10.4139
2006-01-16,10.3291
2006-02-16,9.7833
2006-03-16,9.7121
2006-04-16,9.7756
2006-05-16,9.4733
2006-06-16,9.2757
2006-07-16,9.2715
2006-08-16,11.1656
2006-09-16,11.002
2006-10-16,10.9842
2006-11-16,9.1073
2006-12-16,9.1562
2007-01-16,9.0672
2007-02-16,8.7907
2007-03-16,8.7879
2007-04-16,9.0316
2007-05-16,8.539
2007-06-16,8.1634
2007-07-16,8.1697
2007-08-16,7.7607
2007-09-16,7.8216
2007-10-16,8.3404
2007-11-16,8.3655
2007-12-16,8.4688
2008-01-16,8.5499
2008-02-16,8.6689
2008-03-16,8.6151
2008-04-16,9.5376
2008-05-16,9.0856
2008-06-16,8.9734
2008-07-16,8.9742
2008-08-16,9.3392
2008-09-16,9.1673
2008-10-16,9.202
2008-11-16,9.1954
2008-12-16,9.1701
2009-01-16,9.1596
2009-02-16,8.7618
2009-03-16,8.701
2009-04-16,5.9477
2009-05-16,5.5255
2009-06-16,5.2768
2009-07-16,5.202
2009-08-16,5.0858
2009-09-16,4.8588
2009-10-16,4.8663
2009-11-16,4.7203
2009-12-16,4.7328
2010-01-16,5.0245
2010-02-16,5.0034
2010-03-16,4.9603
2010-04-16,5.9259
2010-05-16,6.1108
2010-06-16,6.6282
2010-07-16,6.6081
2010-08-16,6.594
2010-09-16,7.1285
2010-10-16,7.1851
2010-11-16,7.2068
2010-12-16,7.4883
2011-01-16,7.5072
2011-02-16,7.4402
2011-03-16,7.4129
2011-04-16,8.096
2011-05-16,7.781
2011-06-16,7.7626
2011-07-16,7.7582
2011-08-16,7.782
2011-09-16,7.9678
2011-10-16,8.0737
2011-11-16,8.0441
2011-12-16,7.5498
2012-01-16,7.5399
2012-02-16,7.4807
2012-03-16,7.4074
2012-04-16,7.8078
2012-05-16,7.4566
2012-06-16,6.8698
2012-07-16,6.8933
2012-08-16,6.8123
2012-09-16,6.1984
2012-10-16,6.2134
2012-11-16,6.1972
2012-12-16,6.471
2013-01-16,6.4172
2013-02-16,6.1134
2013-03-16,6.1023
2013-04-16,6.4083
2013-05-16,6.1424
2013-06-16,5.9097
2013-07-16,5.9298
2013-08-16,5.8919
2013-09-16,5.9691
2013-10-16,6.0262
2013-11-16,5.9809
2013-12-16,6.027
2014-01-16,6.0012
2014-02-16,5.9634
2014-03-16,5.9451
2014-04-16,6.1267
2014-05-16,5.8679
2014-06-16,5.4227
2014-07-16,5.4736
2014-08-16,5.4469
2014-09-16,5.6352
2014-10-16,5.7121
2014-11-16,5.6503
2014-12-16,5.237
2015-01-16,5.2493
2015-02-16,5.1936
2015-03-16,5.1886
2015-04-16,5.1251
2015-05-16,4.9959
2015-06-16,4.6272
2015-07-16,4.7373
2015-08-16,4.7078
2015-09-16,4.9253
2015-10-16,4.9893
2015-11-16,4.9047
2015-12-16,4.6681
2016-01-16,4.733
2016-02-16,4.6017
2016-03-16,4.593
2016-04-16,4.6653
2016-05-16,4.6967
2016-06-16,4.3739
2016-07-16,4.4528
2016-08-16,4.4265
2016-09-16,4.5781
2016-10-16,4.5995
