date,roce
2004-01-16,11.0885
2004-02-16,11.2674
2004-03-16,12.0222
2004-04-16,11.1006
2004-05-16,10.9049
2004-06-16,10.7905
2004-07-16,10.8325
2004-08-16,8.8635
2004-09-16,12.9599
2004-10-16,12.6638
2004-11-16,12.2753
2004-12-16,12.1844
2005-01-16,12.1393
2005-02-16,11.8048
2005-03-16,11.7291
2005-04-16,13.1824
2005-05-16,17.9508
2005-06-16,17.8175
2005-07-16,17.7545
2005-08-16,17.2846
2005-09-16,18.0012
2005-10-16,17.7258
2005-11-16,20.8265
2005-12-16,20.7361
2006-01-16,20.565
2006-02-16,19.2056
2006-03-16,19.0492
2006-04-16,19.1489
2006-05-16,18.0321
2006-06-16,17.7908
2006-07-16,17.7848
2006-08-16,21.2481
2006-09-16,20.9803
2006-10-16,20.9056
2006-11-16,17.7325
2006-12-16,17.7065
2007-01-16,17.5352
2007-02-16,16.9778
2007-03-16,16.9624
2007-04-16,17.3863
2007-05-16,16.3222
2007-06-16,16.058
2007-07-16,16.0343
2007-08-16,15.5522
2007-09-16,15.5889
2007-10-16,16.6653
2007-11-16,16.6884
2007-12-16,16.8815
2008-01-16,16.9989
2008-02-16,17.2437
2008-03-16,17.1388
2008-04-16,18.9294
2008-05-16,18.4819
2008-06-16,18.4734
2008-07-16,18.3035
2008-08-16,19.196
2008-09-16,19.6884
2008-10-16,19.6733
2008-11-16,19.5828
2008-12-16,19.4975
2009-01-16,19.4795
2009-02-16,18.4825
2009-03-16,18.3586
2009-04-16,12.4871
2009-05-16,12.1217
2009-06-16,11.2748
2009-07-16,11.0967
2009-08-16,11.0074
2009-09-16,10.3326
2009-10-16,10.1713
2009-11-16,9.8693
2009-12-16,9.8948
2010-01-16,10.356
2010-02-16,10.3156
2010-03-16,10.1928
2010-04-16,12.11
2010-05-16,12.221
2010-06-16,13.3785
2010-07-16,13.3597
2010-08-16,13.3788
2010-09-16,14.5625
2010-10-16,14.6057
2010-11-16,14.6353
2010-12-16,14.9204
2011-01-16,14.9235
2011-02-16,14.9053
2011-03-16,14.8191
2011-04-16,15.2693
2011-05-16,15.1543
2011-06-16,15.2401
2011-07-16,15.1766
2011-08-16,15.239
2011-09-16,15.6544
2011-10-16,15.8294
2011-11-16,15.817
2011-12-16,15.1236
2012-01-16,15.0994
2012-02-16,15.0187
2012-03-16,14.8622
2012-04-16,14.4393
2012-05-16,14.5362
2012-06-16,13.9805
2012-07-16,13.9583
2012-08-16,13.8876
2012-09-16,12.9002
2012-10-16,12.8358
2012-11-16,12.8321
2012-12-16,13.1793
2013-01-16,13.099
2013-02-16,12.5563
2013-03-16,12.5304
2013-04-16,13.0484
2013-05-16,12.9568
2013-06-16,12.303
2013-07-16,12.2874
2013-08-16,12.2973
2013-09-16,12.6108
2013-10-16,12.5898
2013-11-16,12.5676
2013-12-16,12.3343
2014-01-16,12.2744
2014-02-16,12.3011
2014-03-16,12.2635
2014-04-16,12.4564
2014-05-16,12.177
2014-06-16,11.4987
2014-07-16,11.4855
2014-08-16,11.5086
2014-09-16,12.1048
2014-10-16,12.0813
2014-11-16,11.9791
2014-12-16,11.1212
2015-01-16,11.1521
2015-02-16,11.0862
2015-03-16,11.077
2015-04-16,10.5794
2015-05-16,10.7978
2015-06-16,10.1005
2015-07-16,10.1344
2015-08-16,10.1386
2015-09-16,10.7544
2015-10-16,10.7648
2015-11-16,10.6893
2015-12-16,10.1055
2016-01-16,10.2503
2016-02-16,10.053
2016-03-16,10.039
2016-04-16,9.8961
2016-05-16,10.1642
2016-06-16,9.52
2016-07-16,9.5182
2016-08-16,9.542
2016-09-16,9.9589
2016-10-16,9.9568
2016-11-16,9.9271
2016-12-16,9.6557
2017-01-16,9.638
2017-02-16,9.6191
2017-03-16,9.6202
2017-04-16,10.3666
2017-05-16,10.3708
2017-06-16,10.669
2017-07-16,10.7203
2017-08-16,10.7714
2017-09-16,11.1714
2017-10-16,11.1914
2017-11-16,11.2415
2017-12-16,11.4979
2018-01-16,11.4575
2018-02-16,11.5151
2018-03-16,11.4819
2018-04-16,12.0045
2018-05-16,11.9795
2018-06-16,11.8004
2018-07-16,12.0645
2018-08-16,12.0484
2018-09-16,13.3221
2018-10-16,13.3288
2018-11-16,13.353
2018-12-16,12.8225
2019-01-16,12.7897
2019-02-16,12.7729
2019-03-16,12.6909
2019-04-16,12.4141
2019-05-16,12.7796
2019-06-16,11.4898
2019-07-16,11.5343
2019-08-16,11.5204
2019-09-16,11.5971
2019-10-16,11.5994
2019-11-16,11.5817
2019-12-16,11.0313
2020-01-16,11.0277
2020-02-16,11.0277
2020-03-16,10.9644
2020-04-16,10.7318
2020-05-16,10.5445
2020-06-16,9.4967
2020-07-16,9.4154
2020-08-16,9.3157
2020-09-16,8.5759
2020-10-16,8.5099
2020-11-16,8.5267
2020-12-16,8.5883
2021-01-16,8.5891
