date,div_yield
2004-01-20,3.0634
2004-02-20,3.0186
2004-03-20,3.2005
2004-04-20,3.323
2004-05-20,3.8096
2004-06-20,3.6178
2004-07-20,3.4848
2004-08-20,3.3743
2004-09-20,3.2451
2004-10-20,3.3996
2004-11-20,3.2083
2004-12-20,3.1304
2005-01-20,3.2686
2005-02-20,3.165
2005-03-20,3.2923
2005-04-20,3.421
2005-05-20,3.6007
2005-06-20,3.5588
2005-07-20,3.3267
2005-08-20,3.3081
2005-09-20,3.3165
2005-10-20,3.4886
2005-11-20,3.4637
2005-12-20,3.4926
2006-01-20,3.3675
2006-02-20,3.3559
2006-03-20,3.3071
2006-04-20,3.1537
2006-05-20,3.4077
2006-06-20,3.4771
2006-07-20,3.3441
2006-08-20,3.2231
2006-09-20,3.2235
2006-10-20,3.2352
2006-11-20,3.1274
2006-12-20,3.0659
2007-01-20,2.8535
2007-02-20,2.8334
2007-03-20,3.0304
2007-04-20,3.0118
2007-05-20,2.9922
2007-06-20,3.483
2007-07-20,3.2512
2007-08-20,3.5625
2007-09-20,3.1109
2007-10-20,2.9155
2007-11-20,2.959
2007-12-20,2.8975
2008-01-20,3.0166
2008-02-20,3.2531
2008-03-20,3.7692
2008-04-20,3.5505
2008-05-20,3.4955
2008-06-20,3.3012
2008-07-20,3.5902
2008-08-20,3.7647
2008-09-20,4.087
2008-10-20,5.3335
2008-11-20,6.913
2008-12-20,6.9879
2009-01-20,7.3886
2009-02-20,7.6723
2009-03-20,7.3189
2009-04-20,5.8305
2009-05-20,4.1693
2009-06-20,4.3089
2009-07-20,3.9508
2009-08-20,3.8212
2009-09-20,3.6002
2009-10-20,3.358
2009-11-20,3.3808
2009-12-20,2.9463
2010-01-20,2.891
2010-02-20,3.0452
2010-03-20,2.7331
2010-04-20,2.8719
2010-05-20,3.0999
2010-06-20,2.9625
2010-07-20,2.9122
2010-08-20,2.7789
2010-09-20,2.7022
2010-10-20,2.4997
2010-11-20,2.3246
2010-12-20,2.3865
2011-01-20,2.2343
2011-02-20,2.356
2011-03-20,2.5003
2011-04-20,2.3518
2011-05-20,2.6523
2011-06-20,2.8362
2011-07-20,2.7376
2011-08-20,3.0381
2011-09-20,3.2685
2011-10-20,3.4848
2011-11-20,3.3421
2011-12-20,3.5492
2012-01-20,3.2095
2012-02-20,3.03
2012-03-20,3.0625
2012-04-20,3.1047
2012-05-20,3.3699
2012-06-20,3.4202
2012-07-20,3.3105
2012-08-20,3.2281
2012-09-20,2.9415
2012-10-20,2.8837
2012-11-20,2.8746
2012-12-20,2.6792
2013-01-20,2.5612
2013-02-20,2.5486
2013-03-20,2.6367
2013-04-20,2.6131
2013-05-20,2.4375
2013-06-20,2.8915
2013-07-20,2.8368
2013-08-20,2.7972
2013-09-20,2.6893
2013-10-20,2.6441
2013-11-20,2.6708
2013-12-20,2.7284
2014-01-20,2.6538
2014-02-20,2.847
2014-03-20,2.9453
2014-04-20,2.7216
2014-05-20,3.7143
2014-06-20,3.7407
2014-07-20,3.6693
2014-08-20,3.4327
2014-09-20,3.6303
2014-10-20,3.7639
2014-11-20,3.6692
2014-12-20,3.8161
2015-01-20,3.6877
2015-02-20,3.5164
