date,ebitda_margin
2004-01-20,27.4884
2004-02-20,27.3647
2004-03-20,27.3647
2004-04-20,29.5126
2004-05-20,28.7224
2004-06-20,28.7224
2004-07-20,28.1743
2004-08-20,28.1754
2004-09-20,28.1754
2004-10-20,28.2706
2004-11-20,26.4977
2004-12-20,26.4977
2005-01-20,26.1952
2005-02-20,25.9729
2005-03-20,25.9729
2005-04-20,32.5717
2005-05-20,31.5591
2005-06-20,31.5591
2005-07-20,31.3787
2005-08-20,31.1725
2005-09-20,30.951
2005-10-20,30.4837
2005-11-20,23.2401
2005-12-20,23.2364
2006-01-20,23.2161
2006-02-20,22.9056
2006-03-20,22.6946
2006-04-20,22.6946
2006-05-20,21.7664
2006-06-20,22.0129
2006-07-20,22.3915
2006-08-20,21.981
2006-09-20,21.9754
2006-10-20,19.3736
2006-11-20,19.1838
2006-12-20,19.1975
2007-01-20,19.2016
2007-02-20,19.2123
2007-03-20,19.2097
2007-04-20,25.0777
2007-05-20,24.0892
2007-06-20,24.0142
2007-07-20,24.0621
2007-08-20,24.228
2007-09-20,24.2506
2007-10-20,23.6916
2007-11-20,23.0735
2007-12-20,23.0713
2008-01-20,23.0755
2008-02-20,23.0457
2008-03-20,23.047
2008-04-20,27.3776
2008-05-20,25.1347
2008-06-20,25.1308
2008-07-20,25.127
2008-08-20,25.4113
2008-09-20,25.4064
2008-10-20,27.4458
2008-11-20,26.9148
2008-12-20,26.8736
2009-01-20,26.7006
2009-02-20,26.4134
2009-03-20,26.4134
2009-04-20,25.7491
2009-05-20,25.35
2009-06-20,25.4243
2009-07-20,25.1556
2009-08-20,24.0913
2009-09-20,24.9947
2009-10-20,25.0068
2009-11-20,24.8667
2009-12-20,25.2753
2010-01-20,25.2482
2010-02-20,25.1884
2010-03-20,25.2028
2010-04-20,38.2095
2010-05-20,37.6597
2010-06-20,37.6446
2010-07-20,39.2287
2010-08-20,38.9464
2010-09-20,38.9274
2010-10-20,37.8733
2010-11-20,39.0047
2010-12-20,39.4188
2011-01-20,39.4204
2011-02-20,39.3574
2011-03-20,39.3576
2011-04-20,30.5597
2011-05-20,30.3654
2011-06-20,30.3406
2011-07-20,31.9111
2011-08-20,31.4442
2011-09-20,31.4265
2011-10-20,28.9287
2011-11-20,28.8733
2011-12-20,29.4056
2012-01-20,29.3531
2012-02-20,29.014
2012-03-20,29.014
2012-04-20,28.9541
2012-05-20,28.8512
2012-06-20,28.2042
2012-07-20,29.2621
2012-08-20,29.2951
2012-09-20,29.2928
2012-10-20,28.5398
2012-11-20,28.5391
2012-12-20,29.0854
2013-01-20,29.0854
2013-02-20,28.7172
2013-03-20,28.7172
2013-04-20,26.1844
2013-05-20,26.1479
2013-06-20,26.1476
2013-07-20,27.919
2013-08-20,28.3146
2013-09-20,28.3146
2013-10-20,27.0703
2013-11-20,27.0684
2013-12-20,27.5746
2014-01-20,27.5746
2014-02-20,27.7768
2014-03-20,27.7768
2014-04-20,26.307
2014-05-20,26.2799
2014-06-20,26.2806
2014-07-20,27.7501
2014-08-20,27.565
2014-09-20,27.565
2014-10-20,27.565
2014-11-20,30.4511
2014-12-20,31.5044
2015-01-20,31.5029
2015-02-20,32.21
2015-03-20,32.2105
2015-04-20,31.9619
2015-05-20,31.963
2015-06-20,31.963
2015-07-20,34.5298
2015-08-20,33.6324
2015-09-20,33.6324
2015-10-20,28.8135
2015-11-20,28.2175
2015-12-20,28.3835
2016-01-20,28.3789
2016-02-20,28.0695
2016-03-20,28.0688
2016-04-20,28.6936
2016-05-20,28.7246
2016-06-20,28.7249
2016-07-20,29.588
2016-08-20,27.7236
2016-09-20,27.7236
2016-10-20,28.0652
2016-11-20,28.1217
2016-12-20,28.2824
2017-01-20,28.281
2017-02-20,28.1466
2017-03-20,28.1466
2017-04-20,27.2205
2017-05-20,27.1898
2017-06-20,27.1913
2017-07-20,27.9189
2017-08-20,27.7603
2017-09-20,27.7603
2017-10-20,29.6894
2017-11-20,29.6837
2017-12-20,30.2777
2018-01-20,30.2765
2018-02-20,30.2387
2018-03-20,30.2307
2018-04-20,31.6465
2018-05-20,31.5007
2018-06-20,31.4986
2018-07-20,33.6662
2018-08-20,33.6712
2018-09-20,32.4498
2018-10-20,34.1405
2018-11-20,34.1293
2018-12-20,34.8486
2019-01-20,34.8486
2019-02-20,35.5259
2019-03-20,35.5259
2019-04-20,31.1404
2019-05-20,30.8132
2019-06-20,30.8129
2019-07-20,32.1563
2019-08-20,32.3574
2019-09-20,28.3372
2019-10-20,29.7355
2019-11-20,29.7722
2019-12-20,29.9139
2020-01-20,29.9139
2020-02-20,29.8317
2020-03-20,29.8317
2020-04-20,28.8103
2020-05-20,28.631
2020-06-20,28.6256
2020-07-20,27.6583
2020-08-20,28.0571
2020-09-20,23.9255
2020-10-20,23.686
2020-11-20,23.7455
2020-12-20,22.5191
2021-01-20,22.5191
2021-02-20,22.7486
2021-03-20,22.7486
2021-04-20,21.4974
2021-05-20,20.5905
2021-06-20,20.588
2021-07-20,18.994
2021-08-20,23.1879
2021-09-20,20.7551
2021-10-20,20.8253
2021-11-20,21.0305
2021-12-20,21.4734
2022-01-20,21.4734
2022-02-20,26.4848
2022-03-20,26.7517
2022-04-20,23.392
2022-05-20,23.8061
2022-06-20,23.8072
2022-07-20,24.2139
2022-08-20,25.6426
2022-09-20,28.6148
2022-10-20,28.1175
2022-11-20,28.1298
2022-12-20,28.6477
2023-01-20,28.6486
2023-02-20,30.4628
2023-03-20,29.1578
2023-04-20,27.0088
2023-05-20,27.095
2023-06-20,28.2535
2023-07-20,28.2535
2023-08-20,27.4582
2023-09-20,26.8495
2023-10-20,26.5417
2023-11-20,26.1715
2023-12-20,25.3935
2024-01-20,25.3935
2024-02-20,26.425
2024-03-20,26.3292
2024-04-20,25.2722
2024-05-20,25.293
2024-06-20,24.1079
2024-07-20,24.1079
2024-08-20,30.3789
2024-09-20,23.5663
2024-10-20,23.4516
2024-11-20,23.5753
2024-12-20,23.3239
2025-01-20,23.3239
2025-02-20,36.0907
2025-03-20,28.3911
2025-04-20,21.9079
2025-05-20,21.8909
2025-06-20,20.7513
2025-07-20,20.7509
2025-08-20,21.9612
2025-09-20,21.5342
2025-10-20,21.4051
2025-11-20,21.4773
2025-12-20,21.1258
2026-01-20,21.1258
2026-02-20,25.5383
2026-03-20,25.403
