date,ev_ebit
2004-01-20,13.585
2004-02-20,16.3162
2004-03-20,16.275
2004-04-20,17.9719
2004-05-20,17.9362
2004-06-20,17.9362
2004-07-20,18.0189
2004-08-20,18.3728
2004-09-20,18.3728
2004-10-20,17.1905
2004-11-20,17.8859
2004-12-20,17.8859
2005-01-20,17.9362
2005-02-20,19.4319
2005-03-20,19.4319
2005-04-20,23.2723
2005-05-20,23.4709
2005-06-20,23.4709
2005-07-20,23.4503
2005-08-20,22.675
2005-09-20,22.675
2005-10-20,22.675
2005-11-20,28.282
2005-12-20,28.2824
2006-01-20,28.3405
2006-02-20,29.8841
2006-03-20,29.6188
2006-04-20,29.6188
2006-05-20,23.5656
2006-06-20,23.6216
2006-07-20,23.6428
2006-08-20,25.4616
2006-09-20,25.4616
2006-10-20,27.5814
2006-11-20,28.0902
2006-12-20,28.0881
2007-01-20,28.0984
2007-02-20,29.5511
2007-03-20,29.5511
2007-04-20,18.8389
2007-05-20,21.384
2007-06-20,21.5002
2007-07-20,21.6281
2007-08-20,21.4244
2007-09-20,21.4244
2007-10-20,20.141
2007-11-20,20.7602
2007-12-20,20.8037
2008-01-20,20.7626
2008-02-20,24.667
2008-03-20,24.6777
2008-04-20,20.325
2008-05-20,21.6524
2008-06-20,21.6518
2008-07-20,21.7407
2008-08-20,17.6792
2008-09-20,17.6847
2008-10-20,15.3976
2008-11-20,15.5669
2008-12-20,15.5959
2009-01-20,16.0334
2009-02-20,12.3918
2009-03-20,12.3918
2009-04-20,12.3959
2009-05-20,12.6149
2009-06-20,12.5763
2009-07-20,12.7306
2009-08-20,12.8155
2009-09-20,16.7898
2009-10-20,16.4822
2009-11-20,16.6463
2009-12-20,16.2929
2010-01-20,16.372
2010-02-20,18.362
2010-03-20,18.3215
2010-04-20,12.338
2010-05-20,12.6076
2010-06-20,12.6126
2010-07-20,12.0618
2010-08-20,12.46
2010-09-20,12.4647
2010-10-20,10.6865
2010-11-20,10.4963
2010-12-20,10.4254
2011-01-20,10.4249
2011-02-20,12.3494
2011-03-20,12.3494
2011-04-20,14.1766
2011-05-20,14.0338
2011-06-20,14.0334
2011-07-20,13.4231
2011-08-20,13.351
2011-09-20,13.3568
2011-10-20,12.8969
2011-11-20,12.936
2011-12-20,12.7591
2012-01-20,12.7606
2012-02-20,10.2965
2012-03-20,10.2965
2012-04-20,11.5244
2012-05-20,11.5319
2012-06-20,11.5302
2012-07-20,11.1401
2012-08-20,12.5892
2012-09-20,12.5995
2012-10-20,12.5429
2012-11-20,12.5453
2012-12-20,12.313
2013-01-20,12.313
2013-02-20,13.6046
2013-03-20,13.6046
2013-04-20,14.1256
2013-05-20,14.1696
2013-06-20,14.1695
2013-07-20,13.3356
2013-08-20,13.7704
2013-09-20,13.7704
2013-10-20,13.049
2013-11-20,13.0498
2013-12-20,12.8321
2014-01-20,12.8321
2014-02-20,13.7424
2014-03-20,13.7424
2014-04-20,15.1065
2014-05-20,15.1184
2014-06-20,15.1197
2014-07-20,14.3762
2014-08-20,13.7017
2014-09-20,13.7017
2014-10-20,13.7017
2014-11-20,12.611
2014-12-20,12.2497
2015-01-20,12.2497
2015-02-20,11.1666
2015-03-20,11.1666
2015-04-20,11.3807
2015-05-20,11.3922
2015-06-20,11.3923
2015-07-20,10.6111
2015-08-20,10.9677
2015-09-20,10.9677
2015-10-20,13.9955
2015-11-20,14.3847
2015-12-20,14.3141
2016-01-20,14.3141
2016-02-20,11.5453
2016-03-20,11.5454
2016-04-20,12.9906
2016-05-20,13.6405
2016-06-20,13.6407
2016-07-20,13.2567
2016-08-20,12.8237
2016-09-20,12.8237
2016-10-20,12.1686
2016-11-20,13.0154
2016-12-20,12.9402
2017-01-20,12.9403
2017-02-20,13.8924
2017-03-20,13.8924
2017-04-20,11.3444
2017-05-20,11.8166
2017-06-20,11.8167
2017-07-20,11.5214
2017-08-20,12.4094
2017-09-20,12.4094
2017-10-20,12.2163
2017-11-20,12.2208
2017-12-20,11.9993
2018-01-20,11.9993
2018-02-20,11.9774
2018-03-20,11.9774
2018-04-20,11.8767
2018-05-20,11.9367
2018-06-20,11.9369
2018-07-20,11.2834
2018-08-20,10.7929
2018-09-20,11.9822
2018-10-20,11.5122
2018-11-20,11.5247
2018-12-20,11.3044
2019-01-20,11.3044
2019-02-20,10.8615
2019-03-20,10.8615
2019-04-20,13.2185
2019-05-20,13.433
2019-06-20,13.4332
2019-07-20,12.8843
2019-08-20,14.208
2019-09-20,15.34
2019-10-20,14.7819
2019-11-20,14.7888
