date,ev_ebitda
2004-01-20,10.1863
2004-02-20,12.176
2004-03-20,12.1452
2004-04-20,11.9878
2004-05-20,12.001
2004-06-20,12.001
2004-07-20,12.1267
2004-08-20,12.5203
2004-09-20,12.5203
2004-10-20,11.1505
2004-11-20,11.4928
2004-12-20,11.4928
2005-01-20,11.5637
2005-02-20,12.6606
2005-03-20,12.6606
2005-04-20,10.7456
2005-05-20,10.8314
2005-06-20,10.8314
2005-07-20,10.8807
2005-08-20,10.409
2005-09-20,10.4835
2005-10-20,10.6442
2005-11-20,12.8511
2005-12-20,12.8514
2006-01-20,12.8664
2006-02-20,13.7819
2006-03-20,13.7412
2006-04-20,13.7412
2006-05-20,13.529
2006-06-20,13.7464
2006-07-20,13.5087
2006-08-20,14.5962
2006-09-20,14.5999
2006-10-20,16.2052
2006-11-20,16.4167
2006-12-20,16.4079
2007-01-20,16.4028
2007-02-20,17.2742
2007-03-20,17.2766
2007-04-20,14.1784
2007-05-20,14.8229
2007-06-20,14.9206
2007-07-20,14.8859
2007-08-20,14.8719
2007-09-20,14.8581
2007-10-20,13.9818
2007-11-20,14.3643
2007-12-20,14.3656
2008-01-20,14.3608
2008-02-20,17.317
2008-03-20,17.3172
2008-04-20,15.0195
2008-05-20,16.0571
2008-06-20,16.0583
2008-07-20,16.054
2008-08-20,12.9911
2008-09-20,12.9945
2008-10-20,10.8483
2008-11-20,11.0123
2008-12-20,11.0279
2009-01-20,11.3986
2009-02-20,8.8537
2009-03-20,8.8537
2009-04-20,8.0704
2009-05-20,8.2139
2009-06-20,8.1913
2009-07-20,8.2719
2009-08-20,8.5937
2009-09-20,11.5358
2009-10-20,11.5068
2009-11-20,11.602
2009-12-20,11.4045
2010-01-20,11.4592
2010-02-20,12.9031
2010-03-20,12.8963
2010-04-20,9.9709
2010-05-20,10.1891
2010-06-20,10.1939
2010-07-20,9.779
2010-08-20,10.163
2010-09-20,10.168
2010-10-20,8.7786
2010-11-20,8.6292
2010-12-20,8.582
2011-01-20,8.5816
2011-02-20,10.1556
2011-03-20,10.1556
2011-04-20,11.7115
2011-05-20,11.8814
2011-06-20,11.8823
2011-07-20,11.2978
2011-08-20,11.1794
2011-09-20,11.1858
2011-10-20,10.923
2011-11-20,10.9563
2011-12-20,10.7576
2012-01-20,10.7607
2012-02-20,8.7277
2012-03-20,8.7277
2012-04-20,9.1759
2012-05-20,9.1973
2012-06-20,9.1969
2012-07-20,8.8639
2012-08-20,9.9814
2012-09-20,9.9814
2012-10-20,9.7352
2012-11-20,9.7368
2012-12-20,9.553
2013-01-20,9.553
2013-02-20,10.646
2013-03-20,10.646
2013-04-20,11.6979
2013-05-20,11.7303
2013-06-20,11.7304
2013-07-20,10.9881
2013-08-20,11.1465
2013-09-20,11.1465
2013-10-20,10.8472
2013-11-20,10.8479
2013-12-20,10.6481
2014-01-20,10.6481
2014-02-20,11.3167
2014-03-20,11.3167
2014-04-20,12.181
2014-05-20,12.1915
2014-06-20,12.1914
2014-07-20,11.5453
2014-08-20,11.0731
2014-09-20,11.0731
2014-10-20,11.0731
2014-11-20,10.0609
2014-12-20,9.7232
2015-01-20,9.7232
2015-02-20,8.6809
2015-03-20,8.6809
2015-04-20,9.0895
2015-05-20,9.103
2015-06-20,9.1031
2015-07-20,8.4262
2015-08-20,8.7
2015-09-20,8.7
2015-10-20,11.6688
2015-11-20,12.133
2015-12-20,12.0627
2016-01-20,12.0656
2016-02-20,9.8849
2016-03-20,9.8855
2016-04-20,9.7297
2016-05-20,10.42
2016-06-20,10.4202
2016-07-20,10.1158
2016-08-20,9.9579
2016-09-20,9.9579
2016-10-20,8.7151
2016-11-20,9.575
2016-12-20,9.5205
2017-01-20,9.521
2017-02-20,10.2355
2017-03-20,10.2355
2017-04-20,8.6429
2017-05-20,9.2447
2017-06-20,9.2442
2017-07-20,9.0034
2017-08-20,9.7102
2017-09-20,9.7102
2017-10-20,9.7089
2017-11-20,9.7128
2017-12-20,9.5222
2018-01-20,9.5226
2018-02-20,9.5284
2018-03-20,9.5309
2018-04-20,9.5267
2018-05-20,9.5734
2018-06-20,9.5741
2018-07-20,9.0176
2018-08-20,8.6427
2018-09-20,9.2691
2018-10-20,8.8761
2018-11-20,8.8873
2018-12-20,8.7047
2019-01-20,8.7047
2019-02-20,8.2159
2019-03-20,8.2159
2019-04-20,9.8538
2019-05-20,9.9629
2019-06-20,9.963
2019-07-20,9.5471
2019-08-20,10.5159
2019-09-20,11.467
2019-10-20,11.0018
2019-11-20,10.9914
2019-12-20,10.9378
2020-01-20,10.9378
2020-02-20,9.4858
2020-03-20,9.4858
2020-04-20,10.3811
2020-05-20,10.4396
2020-06-20,10.4417
2020-07-20,10.8056
2020-08-20,8.5761
2020-09-20,12.1031
2020-10-20,12.3046
2020-11-20,12.271
2020-12-20,12.9384
2021-01-20,12.9384
2021-02-20,12.6103
2021-03-20,12.6103
2021-04-20,15.6765
2021-05-20,16.2429
2021-06-20,16.2449
2021-07-20,17.6055
2021-08-20,14.8716
2021-09-20,17.4856
2021-10-20,17.1683
2021-11-20,16.963
2021-12-20,16.5972
2022-01-20,16.5972
2022-02-20,11.328
2022-03-20,11.4762
2022-04-20,13.6926
2022-05-20,13.4564
2022-06-20,13.4558
2022-07-20,13.2205
2022-08-20,11.182
2022-09-20,10.3935
2022-10-20,10.4034
2022-11-20,10.3936
2022-12-20,10.216
2023-01-20,10.2156
2023-02-20,8.5261
2023-03-20,8.8577
2023-04-20,12.576
2023-05-20,12.5253
2023-06-20,12.011
2023-07-20,12.011
2023-08-20,10.8206
2023-09-20,10.7311
2023-10-20,10.6242
2023-11-20,10.7833
2023-12-20,11.1152
2024-01-20,11.1152
2024-02-20,9.2574
2024-03-20,9.3319
2024-04-20,10.0419
2024-05-20,10.0289
2024-06-20,10.5221
2024-07-20,10.5221
2024-08-20,7.2439
2024-09-20,9.1846
2024-10-20,9.2336
2024-11-20,9.1797
2024-12-20,9.2772
2025-01-20,9.2772
2025-02-20,6.9165
2025-03-20,8.6638
2025-04-20,9.9809
2025-05-20,9.9778
2025-06-20,10.5258
2025-07-20,10.526
2025-08-20,9.9955
2025-09-20,11.4965
2025-10-20,11.5458
2025-11-20,11.5267
2025-12-20,11.7186
2026-01-20,11.7186
2026-02-20,10.5054
2026-03-20,10.5374
2026-04-20,10.2364
