date,gross_margin
2010-04-20,43.4778
2010-05-20,43.5092
2010-06-20,43.5121
2010-07-20,43.4976
2010-08-20,44.0406
2010-09-20,44.0406
2010-10-20,43.9262
2010-11-20,44.4918
2010-12-20,44.718
2011-01-20,44.7181
2011-02-20,44.3048
2011-03-20,44.305
2011-04-20,32.1652
2011-05-20,32.3059
2011-06-20,32.2819
2011-07-20,32.2827
2011-08-20,31.6974
2011-09-20,31.6974
2011-10-20,31.832
2011-11-20,31.8677
2011-12-20,31.8668
2012-01-20,31.819
2012-02-20,31.6812
2012-03-20,31.6812
2012-04-20,34.0081
2012-05-20,34.013
2012-06-20,33.2489
2012-07-20,33.247
2012-08-20,33.4261
2012-09-20,33.4235
2012-10-20,31.5973
2012-11-20,31.6015
2012-12-20,31.5986
2013-01-20,31.5986
2013-02-20,31.3603
2013-03-20,31.3603
2013-04-20,33.6718
2013-05-20,33.6996
2013-06-20,33.6996
2013-07-20,33.7056
2013-08-20,33.669
2013-09-20,33.669
2013-10-20,33.246
2013-11-20,33.2457
2013-12-20,33.2438
2014-01-20,33.2438
2014-02-20,33.2056
2014-03-20,33.2056
2014-04-20,30.5947
2014-05-20,30.6122
2014-06-20,30.6127
2014-07-20,30.6113
2014-08-20,30.4692
2014-09-20,30.4692
2014-10-20,30.4692
2014-11-20,34.7164
2014-12-20,34.7116
2015-01-20,34.7099
2015-02-20,34.7871
2015-03-20,34.7876
2015-04-20,43.245
2015-05-20,43.3107
2015-06-20,43.3107
2015-07-20,43.31
2015-08-20,43.4634
2015-09-20,43.4634
2015-10-20,43.7141
2015-11-20,44.5132
2015-12-20,44.5157
2016-01-20,44.5191
2016-02-20,44.544
2016-03-20,44.5455
2016-04-20,40.1949
2016-05-20,43.0832
2016-06-20,43.0843
2016-07-20,43.0826
2016-08-20,40.6938
2016-09-20,40.6938
2016-10-20,33.42
2016-11-20,36.7916
2016-12-20,36.7912
2017-01-20,36.7912
2017-02-20,37.6027
2017-03-20,37.6027
2017-04-20,49.7888
2017-05-20,54.2548
2017-06-20,54.2548
2017-07-20,54.2554
2017-08-20,54.3249
2017-09-20,54.3249
2017-10-20,49.1174
2017-11-20,49.1278
2017-12-20,49.1275
2018-01-20,49.1275
2018-02-20,48.9814
2018-03-20,48.9814
2018-04-20,33.4426
2018-05-20,33.4478
2018-06-20,33.4478
2018-07-20,33.6718
2018-08-20,34.3575
2018-09-20,37.2041
2018-10-20,37.3377
2018-11-20,37.3726
2018-12-20,37.3761
2019-01-20,37.3761
2019-02-20,37.3785
2019-03-20,37.3785
2019-04-20,50.697
2019-05-20,50.6975
2019-06-20,50.6975
2019-07-20,50.6992
2019-08-20,46.4486
2019-09-20,42.6815
2019-10-20,42.8861
2019-11-20,42.8989
2019-12-20,42.8925
2020-01-20,42.8925
2020-02-20,42.8207
2020-03-20,42.8207
2020-04-20,41.52
2020-05-20,41.546
2020-06-20,41.5465
2020-07-20,41.542
2020-08-20,41.6901
2020-09-20,53.317
2020-10-20,53.7765
2020-11-20,53.7544
2020-12-20,53.7508
2021-01-20,53.7508
2021-02-20,53.7801
2021-03-20,53.7801
2021-04-20,46.4655
2021-05-20,46.1016
2021-06-20,46.1016
2021-07-20,46.0945
2021-08-20,49.6603
2021-09-20,53.4123
2021-10-20,52.5655
2021-11-20,52.4398
2021-12-20,52.3892
2022-01-20,52.3892
2022-02-20,51.4125
2022-03-20,52.61
2022-04-20,56.5498
2022-05-20,56.5546
2022-06-20,56.5545
2022-07-20,56.5152
2022-08-20,57.0058
2022-09-20,60.9989
2022-10-20,59.9658
2022-11-20,59.9208
2022-12-20,59.9812
2023-01-20,59.9812
2023-02-20,62.2769
2023-03-20,61.9267
2023-04-20,52.1815
2023-05-20,52.1287
2023-06-20,52.1255
2023-07-20,52.1255
2023-08-20,49.0151
2023-09-20,48.2868
2023-10-20,47.3772
2023-11-20,47.3965
2023-12-20,47.4029
2024-01-20,47.4029
2024-02-20,49.133
2024-03-20,49.349
2024-04-20,47.5217
2024-05-20,47.4922
2024-06-20,47.493
2024-07-20,47.493
2024-08-20,48.9813
2024-09-20,48.9813
2024-10-20,48.9813
2024-11-20,48.9813
2024-12-20,48.9813
2025-01-20,48.9813
2025-02-20,48.9813
2025-03-20,48.9813
2025-04-20,48.9813
2025-05-20,48.9813
2025-06-20,48.9813
2025-07-20,48.9813
2025-08-20,28.7129
2025-09-20,27.9597
2025-10-20,27.9798
2025-11-20,28.0174
2025-12-20,28.0178
2026-01-20,28.0178
2026-02-20,30.6875
2026-03-20,30.618
2026-04-20,32.9139
