date,oper_margin
2004-01-20,20.6113
2004-02-20,20.4208
2004-03-20,20.4208
2004-04-20,19.6858
2004-05-20,19.2179
2004-06-20,19.2179
2004-07-20,18.9613
2004-08-20,19.2003
2004-09-20,19.2003
2004-10-20,18.3376
2004-11-20,17.0265
2004-12-20,17.0265
2005-01-20,16.8884
2005-02-20,16.9223
2005-03-20,16.9223
2005-04-20,15.0395
2005-05-20,14.5639
2005-06-20,14.5639
2005-07-20,14.5593
2005-08-20,14.3098
2005-09-20,14.3098
2005-10-20,14.3098
2005-11-20,10.5601
2005-12-20,10.5585
2006-01-20,10.54
2006-02-20,10.5636
2006-03-20,10.5288
2006-04-20,10.5288
2006-05-20,12.4961
2006-06-20,12.8102
2006-07-20,12.7938
2006-08-20,12.6009
2006-09-20,12.6009
2006-10-20,11.3827
2006-11-20,11.2115
2006-12-20,11.2143
2007-01-20,11.2092
2007-02-20,11.2306
2007-03-20,11.2306
2007-04-20,18.8738
2007-05-20,16.6981
2007-06-20,16.6653
2007-07-20,16.5611
2007-08-20,16.8181
2007-09-20,16.8181
2007-10-20,16.4466
2007-11-20,15.965
2007-12-20,15.9314
2008-01-20,15.9605
2008-02-20,16.1788
2008-03-20,16.1729
2008-04-20,20.2311
2008-05-20,18.6395
2008-06-20,18.6386
2008-07-20,18.5545
2008-08-20,18.673
2008-09-20,18.6683
2008-10-20,19.3369
2008-11-20,19.0401
2008-12-20,19.0025
2009-01-20,18.9821
2009-02-20,18.872
2009-03-20,18.872
2009-04-20,16.764
2009-05-20,16.5062
2009-06-20,16.5597
2009-07-20,16.3452
2009-08-20,16.1549
2009-09-20,17.1731
2009-10-20,17.4581
2009-11-20,17.3314
2009-12-20,17.6919
2010-01-20,17.6718
2010-02-20,17.7
2010-03-20,17.7399
2010-04-20,30.8789
2010-05-20,30.4355
2010-06-20,30.4256
2010-07-20,31.8042
2010-08-20,31.7667
2010-09-20,31.7548
2010-10-20,31.1116
2010-11-20,32.0667
2010-12-20,32.4487
2011-01-20,32.4504
2011-02-20,32.3655
2011-03-20,32.3657
2011-04-20,25.2458
2011-05-20,25.7082
2011-06-20,25.69
2011-07-20,26.8585
2011-08-20,26.3299
2011-09-20,26.3184
2011-10-20,24.501
2011-11-20,24.4545
2011-12-20,24.7928
2012-01-20,24.7527
2012-02-20,24.5934
2012-03-20,24.5934
2012-04-20,23.0537
2012-05-20,23.0103
2012-06-20,22.4967
2012-07-20,23.2831
2012-08-20,23.2268
2012-09-20,23.2058
2012-10-20,22.1513
2012-11-20,22.1499
2012-12-20,22.5657
2013-01-20,22.5657
2013-02-20,22.4721
2013-03-20,22.4721
2013-04-20,21.6842
2013-05-20,21.6464
2013-06-20,21.6466
2013-07-20,23.0043
2013-08-20,22.9194
2013-09-20,22.9194
2013-10-20,22.5027
2013-11-20,22.5011
2013-12-20,22.8815
2014-01-20,22.8815
2014-02-20,22.8738
2014-03-20,22.8738
2014-04-20,21.2124
2014-05-20,21.1922
2014-06-20,21.1907
2014-07-20,22.2856
2014-08-20,22.2769
2014-09-20,22.2769
2014-10-20,22.2769
2014-11-20,24.2935
2014-12-20,25.0065
2015-01-20,25.0053
2015-02-20,25.0401
2015-03-20,25.0405
2015-04-20,25.5273
2015-05-20,25.5402
2015-06-20,25.5402
2015-07-20,27.4199
2015-08-20,26.6788
2015-09-20,26.6788
2015-10-20,24.0233
2015-11-20,23.8006
2015-12-20,23.9192
2016-01-20,23.9211
2016-02-20,24.0326
2016-03-20,24.0334
2016-04-20,21.491
2016-05-20,21.9428
2016-06-20,21.9429
2016-07-20,22.5777
2016-08-20,21.528
2016-09-20,21.528
2016-10-20,20.1001
2016-11-20,20.6883
2016-12-20,20.8081
2017-01-20,20.808
2017-02-20,20.7376
2017-03-20,20.7376
2017-04-20,20.7383
2017-05-20,21.2719
2017-06-20,21.2717
2017-07-20,21.8172
2017-08-20,21.722
2017-09-20,21.722
2017-10-20,23.5956
2017-11-20,23.592
2017-12-20,24.0272
2018-01-20,24.0272
2018-02-20,24.0558
2018-03-20,24.0558
2018-04-20,25.3847
2018-05-20,25.264
2018-06-20,25.2637
2018-07-20,26.9058
2018-08-20,26.9632
2018-09-20,25.1022
2018-10-20,26.3227
2018-11-20,26.3189
2018-12-20,26.8344
2019-01-20,26.8344
2019-02-20,26.8728
2019-03-20,26.8728
2019-04-20,23.2138
2019-05-20,22.8534
2019-06-20,22.853
2019-07-20,23.8274
2019-08-20,23.949
2019-09-20,21.1828
2019-10-20,22.1314
2019-11-20,22.1276
2019-12-20,22.2261
2020-01-20,22.2261
2020-02-20,22.159
2020-03-20,22.159
2020-04-20,21.5953
2020-05-20,21.333
2020-06-20,21.3271
2020-07-20,20.6475
2020-08-20,20.4587
2020-09-20,16.5344
2020-10-20,16.3381
2020-11-20,16.3145
2020-12-20,15.4696
2021-01-20,15.4696
2021-02-20,15.5654
2021-03-20,15.5654
2021-04-20,14.5334
2021-05-20,14.3875
2021-06-20,14.3851
2021-07-20,13.3342
2021-08-20,15.9773
2021-09-20,16.3988
2021-10-20,16.2516
2021-11-20,16.3035
2021-12-20,16.4214
2022-01-20,16.4214
2022-02-20,16.71
2022-03-20,17.5319
2022-04-20,18.3857
2022-05-20,18.3228
2022-06-20,18.3229
2022-07-20,18.209
2022-08-20,18.4249
2022-09-20,17.0205
2022-10-20,16.7169
2022-11-20,16.7064
2022-12-20,17.1318
2023-01-20,17.1318
2023-02-20,17.0133
2023-03-20,16.2397
2023-04-20,14.6842
2023-05-20,14.6084
2023-06-20,14.5352
2023-07-20,14.5352
2023-08-20,14.667
2023-09-20,15.8869
2023-10-20,15.6502
2023-11-20,15.4802
2023-12-20,15.2318
2024-01-20,15.2318
2024-02-20,16.1481
2024-03-20,16.0002
2024-04-20,15.5727
2024-05-20,15.5104
2024-06-20,15.4733
2024-07-20,15.4733
2024-08-20,16.8418
2024-09-20,15.8607
2024-10-20,15.8155
2024-11-20,15.879
2024-12-20,15.6053
2025-01-20,15.6053
2025-02-20,19.6525
2025-03-20,18.6516
2025-04-20,16.1514
2025-05-20,16.0956
2025-06-20,15.7508
2025-07-20,15.7505
2025-08-20,15.5803
2025-09-20,15.282
2025-10-20,15.2207
2025-11-20,15.2337
2025-12-20,15.0346
2026-01-20,15.0346
2026-02-20,15.8261
2026-03-20,15.777
2026-04-20,16.8143
