date,pb
2004-01-20,1.5234
2004-02-20,1.6766
2004-03-20,1.7332
2004-04-20,1.605
2004-05-20,1.5218
2004-06-20,1.5093
2004-07-20,1.5086
2004-08-20,1.5522
2004-09-20,1.6592
2004-10-20,1.6397
2004-11-20,1.6165
2004-12-20,1.7568
2005-01-20,1.7941
2005-02-20,1.7148
2005-03-20,1.7717
2005-04-20,1.572
2005-05-20,1.6535
2005-06-20,1.6344
2005-07-20,1.6894
2005-08-20,1.8032
2005-09-20,1.781
2005-10-20,1.8249
2005-11-20,1.7471
2005-12-20,1.7902
2006-01-20,1.8046
2006-02-20,1.9011
2006-03-20,1.9045
2006-04-20,1.9236
2006-05-20,1.7506
2006-06-20,1.6764
2006-07-20,1.6816
2006-08-20,1.7152
2006-09-20,1.7735
2006-10-20,1.7925
2006-11-20,1.8355
2006-12-20,1.9344
2007-01-20,2.0523
2007-02-20,2.1106
2007-03-20,2.0568
2007-04-20,1.877
2007-05-20,1.889
2007-06-20,1.9993
2007-07-20,2.0278
2007-08-20,2.1741
2007-09-20,2.1733
2007-10-20,2.3232
2007-11-20,2.5723
2007-12-20,2.4805
2008-01-20,2.4889
2008-02-20,2.196
2008-03-20,2.1423
2008-04-20,1.8424
2008-05-20,1.9836
2008-06-20,1.9613
2008-07-20,1.7497
2008-08-20,1.7317
2008-09-20,1.6348
2008-10-20,1.2452
2008-11-20,0.9612
2008-12-20,0.949
2009-01-20,0.9843
2009-02-20,0.9846
2009-03-20,0.9373
2009-04-20,0.9926
2009-05-20,1.1449
2009-06-20,1.3404
2009-07-20,1.3166
2009-08-20,1.4912
2009-09-20,1.4219
2009-10-20,1.5291
2009-11-20,1.5688
2009-12-20,1.5439
2010-01-20,1.5761
2010-02-20,1.4796
2010-03-20,1.536
2010-04-20,1.6239
2010-05-20,1.5972
2010-06-20,1.4881
2010-07-20,1.5308
2010-08-20,1.6199
2010-09-20,1.6347
2010-10-20,1.8035
2010-11-20,1.8414
2010-12-20,1.8743
2011-01-20,1.8867
2011-02-20,1.918
2011-03-20,1.8523
2011-04-20,1.6497
2011-05-20,1.7082
2011-06-20,1.707
2011-07-20,1.6393
2011-08-20,1.6897
2011-09-20,1.5802
2011-10-20,1.2211
2011-11-20,1.3692
2011-12-20,1.2671
2012-01-20,1.2877
2012-02-20,1.4329
2012-03-20,1.5554
2012-04-20,1.4207
2012-05-20,1.4299
2012-06-20,1.2785
2012-07-20,1.3311
2012-08-20,1.3841
2012-09-20,1.3905
2012-10-20,1.4308
2012-11-20,1.4504
2012-12-20,1.4924
2013-01-20,1.5053
2013-02-20,1.5897
2013-03-20,1.5788
2013-04-20,1.4422
2013-05-20,1.4807
2013-06-20,1.4427
2013-07-20,1.36
2013-08-20,1.4275
2013-09-20,1.4047
2013-10-20,1.4524
2013-11-20,1.4809
2013-12-20,1.4936
2014-01-20,1.4954
2014-02-20,1.4106
2014-03-20,1.474
2014-04-20,1.3785
2014-05-20,1.4134
2014-06-20,1.4678
2014-07-20,1.4724
2014-08-20,1.5582
2014-09-20,1.5389
2014-10-20,1.4233
2014-11-20,1.4492
2014-12-20,1.4554
2015-01-20,1.3949
2015-02-20,1.4713
2015-03-20,1.4636
2015-04-20,1.4133
2015-05-20,1.5396
2015-06-20,1.5238
2015-07-20,1.4765
2015-08-20,1.3906
2015-09-20,1.2072
2015-10-20,1.1425
2015-11-20,1.2396
2015-12-20,1.1976
2016-01-20,1.2064
2016-02-20,1.0977
2016-03-20,1.0941
2016-04-20,1.1786
2016-05-20,1.1873
2016-06-20,1.1673
2016-07-20,1.1714
2016-08-20,1.276
2016-09-20,1.2843
2016-10-20,1.2881
2016-11-20,1.2729
2016-12-20,1.2485
2017-01-20,1.1678
2017-02-20,1.2592
2017-03-20,1.2841
2017-04-20,1.2066
2017-05-20,1.3281
2017-06-20,1.3635
2017-07-20,1.3697
2017-08-20,1.4259
2017-09-20,1.4479
2017-10-20,1.3867
2017-11-20,1.3896
2017-12-20,1.4341
2018-01-20,1.474
2018-02-20,1.5367
2018-03-20,1.4872
2018-04-20,1.3844
2018-05-20,1.4268
2018-06-20,1.424
2018-07-20,1.3499
2018-08-20,1.3713
2018-09-20,1.3122
2018-10-20,1.2954
2018-11-20,1.1529
2018-12-20,1.2317
2019-01-20,1.2325
2019-02-20,1.3303
2019-03-20,1.4087
2019-04-20,1.4047
2019-05-20,1.4184
2019-06-20,1.3085
2019-07-20,1.3936
2019-08-20,1.35
2019-09-20,1.2038
2019-10-20,1.1903
2019-11-20,1.2454
2019-12-20,1.2222
2020-01-20,1.2648
2020-02-20,1.2051
2020-03-20,1.1917
2020-04-20,1.0278
2020-05-20,1.1017
2020-06-20,1.003
2020-07-20,1.1064
2020-08-20,1.0973
2020-09-20,1.2396
2020-10-20,1.1706
2020-11-20,1.1572
2020-12-20,1.2827
2021-01-20,1.3476
2021-02-20,1.389
2021-03-20,1.455
2021-04-20,1.4074
2021-05-20,1.4537
2021-06-20,1.4598
2021-07-20,1.4302
2021-08-20,1.3613
2021-09-20,1.3893
2021-10-20,1.2916
2021-11-20,1.3067
2021-12-20,1.2366
2022-01-20,1.2425
2022-02-20,1.2761
2022-03-20,1.243
2022-04-20,1.2275
2022-05-20,1.167
2022-06-20,1.1888
2022-07-20,1.2
2022-08-20,1.1609
2022-09-20,1.1184
2022-10-20,0.9946
2022-11-20,0.8728
2022-12-20,1.0764
2023-01-20,1.1634
2023-02-20,1.2319
2023-03-20,1.1462
2023-04-20,1.1693
2023-05-20,1.1743
