date,pe
2004-01-20,18.7889
2004-02-20,19.968
2004-03-20,20.4379
2004-04-20,23.1871
2004-05-20,22.0077
2004-06-20,21.8265
2004-07-20,21.7265
2004-08-20,21.7286
2004-09-20,23.2268
2004-10-20,17.2008
2004-11-20,17.1774
2004-12-20,18.6673
2005-01-20,19.207
2005-02-20,18.3846
2005-03-20,19.5015
2005-04-20,19.16
2005-05-20,20.1186
2005-06-20,19.8862
2005-07-20,20.5802
2005-08-20,22.4383
2005-09-20,21.5488
2005-10-20,21.1336
2005-11-20,12.6586
2005-12-20,12.9715
2006-01-20,13.0862
2006-02-20,13.7605
2006-03-20,13.7847
2006-04-20,14.0213
2006-05-20,13.4714
2006-06-20,12.9111
2006-07-20,12.9351
2006-08-20,13.157
2006-09-20,13.6244
2006-10-20,13.8552
2006-11-20,13.4701
2006-12-20,14.1939
2007-01-20,15.0521
2007-02-20,15.3797
2007-03-20,14.9771
2007-04-20,16.5599
2007-05-20,15.7937
2007-06-20,15.4346
2007-07-20,15.7191
2007-08-20,16.8893
2007-09-20,16.86
2007-10-20,16.947
2007-11-20,18.4463
2007-12-20,17.6484
2008-01-20,17.7004
2008-02-20,15.5078
2008-03-20,15.0832
2008-04-20,11.9114
2008-05-20,12.3693
2008-06-20,12.232
2008-07-20,10.8369
2008-08-20,10.7079
2008-09-20,10.0652
2008-10-20,9.3066
2008-11-20,7.1078
2008-12-20,7.1135
2009-01-20,7.5731
2009-02-20,7.6017
2009-03-20,7.2381
2009-04-20,10.1575
2009-05-20,11.5661
2009-06-20,13.5564
2009-07-20,13.2844
2009-08-20,15.2538
2009-09-20,20.7898
2009-10-20,22.2445
2009-11-20,23.0328
2009-12-20,22.7627
2010-01-20,23.3201
2010-02-20,21.8732
2010-03-20,22.6971
2010-04-20,20.4489
2010-05-20,21.108
2010-06-20,19.6811
2010-07-20,20.6742
2010-08-20,21.972
2010-09-20,22.1719
2010-10-20,24.1422
2010-11-20,24.8117
2010-12-20,25.545
2011-01-20,25.7134
2011-02-20,26.1092
2011-03-20,25.2143
2011-04-20,20.7001
2011-05-20,22.0359
2011-06-20,22.0339
2011-07-20,21.0709
2011-08-20,21.5217
2011-09-20,20.1263
2011-10-20,15.1513
2011-11-20,17.0212
2011-12-20,15.7471
2012-01-20,16.0281
2012-02-20,17.5464
2012-03-20,19.0462
2012-04-20,18.2593
2012-05-20,18.5507
2012-06-20,16.388
2012-07-20,17.2307
2012-08-20,17.949
2012-09-20,18.0321
2012-10-20,19.6332
2012-11-20,19.8981
2012-12-20,20.4722
2013-01-20,20.649
2013-02-20,21.8268
2013-03-20,21.6767
2013-04-20,18.7178
2013-05-20,19.1907
2013-06-20,18.6978
2013-07-20,17.6247
2013-08-20,18.3905
2013-09-20,18.0958
2013-10-20,18.035
2013-11-20,18.3992
2013-12-20,18.5524
2014-01-20,18.5753
2014-02-20,17.5103
2014-03-20,18.2969
2014-04-20,18.0267
2014-05-20,18.4531
