date,roa
2004-01-20,2.5053
2004-02-20,2.4085
2004-03-20,2.4117
2004-04-20,2.3299
2004-05-20,2.342
2004-06-20,2.342
2004-07-20,2.3487
2004-08-20,2.3217
2004-09-20,2.3217
2004-10-20,3.2412
2004-11-20,3.0741
2004-12-20,3.0741
2005-01-20,3.0531
2005-02-20,3.0526
2005-03-20,3.0526
2005-04-20,3.557
2005-05-20,3.5553
2005-06-20,3.5553
2005-07-20,3.5403
2005-08-20,3.5805
2005-09-20,3.5805
2005-10-20,3.5805
2005-11-20,4.224
2005-12-20,4.2237
2006-01-20,4.2205
2006-02-20,4.2099
2006-03-20,4.2104
2006-04-20,4.2104
2006-05-20,5.5661
2006-06-20,5.5385
2006-07-20,5.5261
2006-08-20,5.5327
2006-09-20,5.5327
2006-10-20,4.1306
2006-11-20,4.7782
2006-12-20,4.7786
2007-01-20,4.777
2007-02-20,4.7966
2007-03-20,4.7966
2007-04-20,4.2398
2007-05-20,4.2464
2007-06-20,4.5324
2007-07-20,4.6274
2007-08-20,4.622
2007-09-20,4.622
2007-10-20,5.6618
2007-11-20,5.9072
2007-12-20,5.9684
2008-01-20,5.9705
2008-02-20,5.9208
2008-03-20,5.921
2008-04-20,6.6013
2008-05-20,6.2942
2008-06-20,6.3172
2008-07-20,6.3641
2008-08-20,6.4176
2008-09-20,6.4175
2008-10-20,5.1127
2008-11-20,5.2423
2008-12-20,5.2366
2009-01-20,5.0989
2009-02-20,5.0744
2009-03-20,5.0745
2009-04-20,3.2536
2009-05-20,3.235
2009-06-20,3.2363
2009-07-20,3.2143
2009-08-20,3.2289
2009-09-20,2.1898
2009-10-20,2.2398
2009-11-20,2.231
2009-12-20,2.2813
2010-01-20,2.2712
2010-02-20,2.2817
2010-03-20,2.2763
2010-04-20,4.1623
2010-05-20,4.2193
2010-06-20,4.2011
2010-07-20,4.366
2010-08-20,4.38
2010-09-20,4.38
2010-10-20,4.8432
2010-11-20,4.9459
2010-12-20,4.971
2011-01-20,4.971
2011-02-20,4.9464
2011-03-20,4.9464
2011-04-20,4.1783
2011-05-20,4.4443
2011-06-20,4.4443
2011-07-20,4.6537
2011-08-20,4.6558
2011-09-20,4.6558
2011-10-20,5.1368
2011-11-20,5.1226
2011-12-20,5.1605
2012-01-20,5.1591
2012-02-20,5.104
2012-03-20,5.104
2012-04-20,4.5574
2012-05-20,4.5879
2012-06-20,4.5806
2012-07-20,4.5733
2012-08-20,4.5647
2012-09-20,4.5645
2012-10-20,3.9611
2012-11-20,3.9602
2012-12-20,4.0063
2013-01-20,4.0063
2013-02-20,3.9928
2013-03-20,3.9928
2013-04-20,4.2483
2013-05-20,4.2463
2013-06-20,4.2847
2013-07-20,4.445
2013-08-20,4.4039
2013-09-20,4.4039
2013-10-20,4.4107
2013-11-20,4.4113
2013-12-20,4.4795
2014-01-20,4.4795
2014-02-20,4.489
2014-03-20,4.489
2014-04-20,3.7861
2014-05-20,3.8117
2014-06-20,3.8442
2014-07-20,3.9058
2014-08-20,3.9063
2014-09-20,3.9063
2014-10-20,3.9063
2014-11-20,4.2366
2014-12-20,4.3482
2015-01-20,4.3482
2015-02-20,4.2442
2015-03-20,4.2442
2015-04-20,4.5794
2015-05-20,4.569
2015-06-20,4.6272
2015-07-20,4.7852
2015-08-20,4.8824
2015-09-20,4.8824
2015-10-20,5.4885
2015-11-20,4.5839
2015-12-20,4.6006
2016-01-20,4.5996
2016-02-20,4.6242
2016-03-20,4.6205
2016-04-20,4.8371
2016-05-20,4.0338
2016-06-20,4.0338
2016-07-20,4.1262
2016-08-20,4.0922
2016-09-20,4.0922
2016-10-20,3.3249
2016-11-20,3.1183
2016-12-20,3.1426
2017-01-20,3.1426
2017-02-20,3.1263
2017-03-20,3.1263
2017-04-20,3.4878
2017-05-20,3.2779
2017-06-20,3.2779
2017-07-20,3.3809
2017-08-20,3.4012
2017-09-20,3.4012
2017-10-20,3.5876
2017-11-20,3.5871
2017-12-20,3.6659
2018-01-20,3.6659
2018-02-20,3.6513
2018-03-20,3.6513
2018-04-20,4.0107
2018-05-20,4.0091
2018-06-20,4.0103
2018-07-20,4.2449
2018-08-20,4.2676
2018-09-20,4.0043
2018-10-20,4.2369
2018-11-20,4.2343
2018-12-20,4.3426
2019-01-20,4.3426
2019-02-20,4.368
2019-03-20,4.368
2019-04-20,3.2968
2019-05-20,3.2987
2019-06-20,3.2962
2019-07-20,3.4672
2019-08-20,3.4561
2019-09-20,2.9659
2019-10-20,3.0891
2019-11-20,3.0881
2019-12-20,3.1131
2020-01-20,3.1131
2020-02-20,3.0995
2020-03-20,3.0995
2020-04-20,2.7788
2020-05-20,2.7702
2020-06-20,2.77
2020-07-20,2.672
2020-08-20,2.631
2020-09-20,1.6234
2020-10-20,1.5343
2020-11-20,1.5322
2020-12-20,1.4077
2021-01-20,1.4077
2021-02-20,1.4026
2021-03-20,1.4026
2021-04-20,1.3041
2021-05-20,1.3108
2021-06-20,1.3104
2021-07-20,1.1684
2021-08-20,1.5638
2021-09-20,1.8262
2021-10-20,1.7979
2021-11-20,1.8082
2021-12-20,1.8516
2022-01-20,1.8516
2022-02-20,2.0991
2022-03-20,2.0606
2022-04-20,2.1924
2022-05-20,2.1911
2022-06-20,2.1911
2022-07-20,2.234
2022-08-20,2.1451
2022-09-20,1.9377
2022-10-20,1.9028
2022-11-20,1.9044
2022-12-20,1.946
2023-01-20,1.946
2023-02-20,1.8959
2023-03-20,1.789
2023-04-20,1.3825
2023-05-20,1.382
2023-06-20,1.4753
2023-07-20,1.4753
2023-08-20,1.6797
2023-09-20,1.8999
2023-10-20,1.877
2023-11-20,1.8475
2023-12-20,1.7735
2024-01-20,1.7735
2024-02-20,1.9729
2024-03-20,1.9405
2024-04-20,1.7547
2024-05-20,1.7547
2024-06-20,1.7416
2024-07-20,1.7416
2024-08-20,2.0104
2024-09-20,1.852
2024-10-20,1.8188
2024-11-20,1.8218
2024-12-20,1.7941
2025-01-20,1.7941
2025-02-20,2.084
2025-03-20,2.0599
2025-04-20,1.9553
2025-05-20,1.9592
2025-06-20,1.8408
2025-07-20,1.8408
2025-08-20,1.9149
2025-09-20,1.7741
2025-10-20,1.7577
2025-11-20,1.7576
2025-12-20,1.7246
2026-01-20,1.7246
2026-02-20,1.9678
2026-03-20,1.9627
2026-04-20,1.9194
