date,roc
2004-01-20,4.343
2004-02-20,4.1665
2004-03-20,4.1768
2004-04-20,4.1059
2004-05-20,4.106
2004-06-20,4.106
2004-07-20,4.1177
2004-08-20,4.2444
2004-09-20,4.2444
2004-10-20,5.8032
2004-11-20,5.4654
2004-12-20,5.4654
2005-01-20,5.4281
2005-02-20,5.4239
2005-03-20,5.4239
2005-04-20,6.0473
2005-05-20,6.0216
2005-06-20,6.0216
2005-07-20,5.9962
2005-08-20,6.0476
2005-09-20,6.0476
2005-10-20,6.0476
2005-11-20,7.9376
2005-12-20,7.937
2006-01-20,7.931
2006-02-20,7.9403
2006-03-20,7.9412
2006-04-20,7.9412
2006-05-20,8.8409
2006-06-20,8.8553
2006-07-20,8.8355
2006-08-20,8.8625
2006-09-20,8.8625
2006-10-20,7.6864
2006-11-20,8.4399
2006-12-20,8.4406
2007-01-20,8.4378
2007-02-20,8.4586
2007-03-20,8.4586
2007-04-20,7.954
2007-05-20,7.7216
2007-06-20,8.1374
2007-07-20,8.3079
2007-08-20,8.3172
2007-09-20,8.3172
2007-10-20,10.8201
2007-11-20,10.7796
2007-12-20,10.8913
2008-01-20,10.8951
2008-02-20,10.96
2008-03-20,10.9604
2008-04-20,11.1927
2008-05-20,11.5306
2008-06-20,11.5728
2008-07-20,11.6586
2008-08-20,11.7125
2008-09-20,11.7123
2008-10-20,8.907
2008-11-20,9.0743
2008-12-20,9.0645
2009-01-20,8.826
2009-02-20,8.809
2009-03-20,8.8091
2009-04-20,5.6795
2009-05-20,5.6434
2009-06-20,5.6455
2009-07-20,5.6072
2009-08-20,5.6146
2009-09-20,4.1427
2009-10-20,4.0372
2009-11-20,4.0118
2009-12-20,4.1023
2010-01-20,4.0843
2010-02-20,4.1004
2010-03-20,4.0907
2010-04-20,7.3816
2010-05-20,7.4116
2010-06-20,7.3796
2010-07-20,7.6693
2010-08-20,7.6422
2010-09-20,7.6422
2010-10-20,8.5779
2010-11-20,8.7406
2010-12-20,8.785
2011-01-20,8.785
2011-02-20,8.7773
2011-03-20,8.7773
2011-04-20,8.6422
2011-05-20,8.3196
2011-06-20,8.3195
2011-07-20,8.7115
2011-08-20,8.7513
2011-09-20,8.7513
2011-10-20,9.5253
2011-11-20,9.499
2011-12-20,9.5692
2012-01-20,9.5666
2012-02-20,9.5945
2012-03-20,9.5945
2012-04-20,8.5811
2012-05-20,8.5954
2012-06-20,8.5819
2012-07-20,8.5682
2012-08-20,8.5571
2012-09-20,8.5566
2012-10-20,7.4049
2012-11-20,7.4033
2012-12-20,7.4894
2013-01-20,7.4894
2013-02-20,7.4793
2013-03-20,7.4793
2013-04-20,7.92
2013-05-20,7.9157
2013-06-20,7.9872
2013-07-20,8.2859
2013-08-20,8.3044
2013-09-20,8.3044
2013-10-20,8.2965
2013-11-20,8.2976
2013-12-20,8.4259
2014-01-20,8.4259
2014-02-20,8.4238
2014-03-20,8.4238
2014-04-20,7.1492
2014-05-20,7.1966
2014-06-20,7.2581
2014-07-20,7.3743
2014-08-20,7.3766
2014-09-20,7.3766
2014-10-20,7.3766
2014-11-20,8.0471
2014-12-20,8.259
2015-01-20,8.259
2015-02-20,8.2616
2015-03-20,8.2616
2015-04-20,8.8636
2015-05-20,8.8434
2015-06-20,8.9561
2015-07-20,9.2619
2015-08-20,9.1014
2015-09-20,9.1014
2015-10-20,10.193
2015-11-20,8.5131
2015-12-20,8.544
2016-01-20,8.5422
2016-02-20,8.5668
2016-03-20,8.5599
2016-04-20,8.8558
2016-05-20,7.3855
2016-06-20,7.3855
2016-07-20,7.5546
2016-08-20,7.3753
2016-09-20,7.3753
2016-10-20,5.9089
2016-11-20,5.5417
2016-12-20,5.585
2017-01-20,5.585
2017-02-20,5.5635
2017-03-20,5.5635
2017-04-20,6.2842
2017-05-20,5.8879
2017-06-20,5.8879
2017-07-20,6.0729
2017-08-20,6.0556
2017-09-20,6.0556
2017-10-20,6.4188
2017-11-20,6.4179
2017-12-20,6.5588
2018-01-20,6.5588
2018-02-20,6.5724
2018-03-20,6.5724
2018-04-20,7.2497
2018-05-20,7.2466
2018-06-20,7.2488
2018-07-20,7.6727
2018-08-20,7.7071
2018-09-20,7.5697
2018-10-20,7.7455
2018-11-20,7.7408
2018-12-20,7.9387
2019-01-20,7.9387
2019-02-20,7.9436
2019-03-20,7.9436
2019-04-20,6.0709
2019-05-20,6.0733
2019-06-20,6.0686
2019-07-20,6.3834
2019-08-20,6.3727
2019-09-20,5.7077
2019-10-20,5.7414
2019-11-20,5.7396
2019-12-20,5.786
2020-01-20,5.786
2020-02-20,5.7743
2020-03-20,5.7743
2020-04-20,5.2355
2020-05-20,5.2232
2020-06-20,5.2229
2020-07-20,5.0382
2020-08-20,4.9866
2020-09-20,3.2926
2020-10-20,3.0132
2020-11-20,3.0084
2020-12-20,2.7641
2021-01-20,2.7641
2021-02-20,2.7551
2021-03-20,2.7551
2021-04-20,2.6309
2021-05-20,2.6448
2021-06-20,2.644
2021-07-20,2.3575
2021-08-20,3.1288
2021-09-20,3.9495
2021-10-20,3.7549
2021-11-20,3.7758
2021-12-20,3.8665
2022-01-20,3.8665
2022-02-20,4.2758
2022-03-20,4.1973
2022-04-20,4.4074
2022-05-20,4.4044
2022-06-20,4.4045
2022-07-20,4.4906
2022-08-20,4.4239
2022-09-20,4.0716
2022-10-20,3.8443
2022-11-20,3.8468
2022-12-20,3.9307
2023-01-20,3.9307
2023-02-20,3.8263
2023-03-20,3.6105
2023-04-20,2.8201
2023-05-20,2.8189
2023-06-20,3.0093
2023-07-20,3.0093
2023-08-20,3.4452
2023-09-20,3.9048
2023-10-20,3.7095
2023-11-20,3.65
2023-12-20,3.5038
2024-01-20,3.5038
2024-02-20,3.8973
2024-03-20,3.8333
2024-04-20,3.4539
2024-05-20,3.4535
2024-06-20,3.4277
2024-07-20,3.4277
2024-08-20,4.0677
2024-09-20,4.0872
2024-10-20,3.8299
2024-11-20,3.8349
2024-12-20,3.7765
2025-01-20,3.7765
2025-02-20,4.4907
2025-03-20,4.4389
2025-04-20,4.2432
2025-05-20,4.2514
2025-06-20,3.9944
2025-07-20,3.9944
2025-08-20,4.1604
2025-09-20,4.1752
2025-10-20,3.937
2025-11-20,3.9357
2025-12-20,3.8617
2026-01-20,3.8617
2026-02-20,4.4358
2026-03-20,4.4243
2026-04-20,4.3868
