date,ebitda_margin
2004-01-20,15.4335
2004-02-20,15.0931
2004-03-20,15.1427
2004-04-20,15.1427
2004-05-20,15.5296
2004-06-20,16.5555
2004-07-20,16.6104
2004-08-20,16.8175
2004-09-20,16.8175
2004-10-20,16.8175
2004-11-20,18.8183
2004-12-20,18.8183
2005-01-20,18.8183
2005-02-20,18.7897
2005-03-20,18.7897
2005-04-20,18.7897
2005-05-20,18.7897
2005-06-20,18.1218
2005-07-20,19.3721
2005-08-20,19.3721
2005-09-20,19.4965
2005-10-20,19.4965
2005-11-20,19.7955
2005-12-20,19.8662
2006-01-20,19.8305
2006-02-20,20.6048
2006-03-20,20.6037
2006-04-20,20.599
2006-05-20,17.4056
2006-06-20,18.5744
2006-07-20,18.3596
2006-08-20,18.2546
2006-09-20,18.2455
2006-10-20,18.108
2006-11-20,19.3181
2006-12-20,19.3164
2007-01-20,19.3198
2007-02-20,18.8483
2007-03-20,18.5897
2007-04-20,18.8501
2007-05-20,19.4686
2007-06-20,19.5003
2007-07-20,19.2371
2007-08-20,19.7512
2007-09-20,20.7464
2007-10-20,20.3622
2007-11-20,20.3204
2007-12-20,20.192
2008-01-20,20.194
2008-02-20,21.3596
2008-03-20,21.3724
2008-04-20,21.1491
2008-05-20,19.6824
2008-06-20,18.6952
2008-07-20,20.5303
2008-08-20,20.6247
2008-09-20,20.439
2008-10-20,20.1691
2008-11-20,19.0436
2008-12-20,19.9915
2009-01-20,20.0371
2009-02-20,20.8651
2009-03-20,20.6171
2009-04-20,20.5676
2009-05-20,21.2509
2009-06-20,20.0739
2009-07-20,17.2483
2009-08-20,17.5202
2009-09-20,17.5987
2009-10-20,17.5975
2009-11-20,18.1346
2009-12-20,17.6992
2010-01-20,17.7065
2010-02-20,18.8949
2010-03-20,18.8497
2010-04-20,18.8386
2010-05-20,19.1308
2010-06-20,19.888
2010-07-20,20.2607
2010-08-20,19.3375
2010-09-20,19.31
2010-10-20,18.9949
2010-11-20,20.1053
2010-12-20,20.0906
2011-01-20,20.0594
2011-02-20,21.9312
2011-03-20,21.856
2011-04-20,21.829
2011-05-20,21.7762
2011-06-20,21.2525
2011-07-20,21.2667
2011-08-20,21.0901
2011-09-20,20.9765
2011-10-20,20.8651
2011-11-20,22.8674
2011-12-20,22.7148
2012-01-20,22.6917
2012-02-20,22.2191
2012-03-20,22.1602
2012-04-20,22.1608
2012-05-20,20.3151
2012-06-20,19.3354
2012-07-20,19.3522
2012-08-20,19.3795
2012-09-20,19.4703
2012-10-20,19.4855
2012-11-20,21.1688
2012-12-20,20.137
2013-01-20,20.1162
2013-02-20,20.3339
2013-03-20,20.2063
2013-04-20,20.3353
2013-05-20,19.151
2013-06-20,20.5929
2013-07-20,20.5212
2013-08-20,20.3546
2013-09-20,20.4054
2013-10-20,20.3807
2013-11-20,20.0611
2013-12-20,20.066
2014-01-20,20.0443
2014-02-20,19.5241
2014-03-20,19.513
2014-04-20,19.4822
2014-05-20,19.2085
2014-06-20,20.988
2014-07-20,20.9836
2014-08-20,20.8904
2014-09-20,20.8868
2014-10-20,20.8479
2014-11-20,18.4991
2014-12-20,18.4529
2015-01-20,18.4475
2015-02-20,18.5391
2015-03-20,18.1991
2015-04-20,20.1208
2015-05-20,20.8011
2015-06-20,20.2175
2015-07-20,20.2674
2015-08-20,20.4916
2015-09-20,18.1759
2015-10-20,18.1477
2015-11-20,18.1272
2015-12-20,16.9588
2016-01-20,16.9385
2016-02-20,18.1371
2016-03-20,17.9753
2016-04-20,17.968
2016-05-20,20.9771
2016-06-20,22.1292
2016-07-20,22.32
2016-08-20,22.3612
2016-09-20,22.3756
2016-10-20,22.3771
2016-11-20,17.6722
2016-12-20,17.5642
2017-01-20,17.5781
2017-02-20,19.4779
2017-03-20,19.5679
2017-04-20,19.567
2017-05-20,20.7251
2017-06-20,20.7212
2017-07-20,20.5366
2017-08-20,20.1346
2017-09-20,20.2225
2017-10-20,20.2233
2017-11-20,16.5258
2017-12-20,16.5239
2018-01-20,17.8486
2018-02-20,18.679
2018-03-20,18.5613
2018-04-20,18.5533
2018-05-20,20.8101
2018-06-20,20.3221
2018-07-20,20.3519
2018-08-20,20.3087
2018-09-20,20.2956
2018-10-20,20.2988
2018-11-20,15.1812
2018-12-20,15.1516
2019-01-20,15.167
2019-02-20,13.996
2019-03-20,13.9884
2019-04-20,13.9659
2019-05-20,15.3801
2019-06-20,19.3938
