date,ev_ebit
2004-01-20,12.7794
2004-02-20,15.2897
2004-03-20,16.0423
2004-04-20,16.0423
2004-05-20,16.6876
2004-06-20,15.3784
2004-07-20,13.9228
2004-08-20,13.9128
2004-09-20,13.9128
2004-10-20,13.9128
2004-11-20,12.7689
2004-12-20,12.7689
2005-01-20,12.7689
2005-02-20,14.2675
2005-03-20,14.2675
2005-04-20,14.2675
2005-05-20,18.4352
2005-06-20,13.6987
2005-07-20,13.1648
2005-08-20,13.1648
2005-09-20,13.2965
2005-10-20,13.2965
2005-11-20,14.3971
2005-12-20,14.413
2006-01-20,14.4339
2006-02-20,16.1565
2006-03-20,16.1592
2006-04-20,16.1684
2006-05-20,16.0143
2006-06-20,15.7518
2006-07-20,15.5867
2006-08-20,16.6291
2006-09-20,16.7238
2006-10-20,16.9378
2006-11-20,16.8532
2006-12-20,16.9625
2007-01-20,16.9617
2007-02-20,16.7394
2007-03-20,16.7609
2007-04-20,17.2949
2007-05-20,17.8988
2007-06-20,18.0871
2007-07-20,19.0914
2007-08-20,16.1715
2007-09-20,16.9558
2007-10-20,16.3554
2007-11-20,14.5682
2007-12-20,14.5728
2008-01-20,14.5765
2008-02-20,14.1386
2008-03-20,14.0911
2008-04-20,14.6122
2008-05-20,22.0957
2008-06-20,13.6837
2008-07-20,14.1929
2008-08-20,14.1158
2008-09-20,14.4454
2008-10-20,14.7422
2008-11-20,12.5705
2008-12-20,13.0823
2009-01-20,13.2027
2009-02-20,12.2846
2009-03-20,12.3498
2009-04-20,12.2626
2009-05-20,9.3838
2009-06-20,9.9483
2009-07-20,12.6673
2009-08-20,12.6985
2009-09-20,12.6418
2009-10-20,12.6727
2009-11-20,16.6005
2009-12-20,16.2574
2010-01-20,16.32
2010-02-20,19.2617
2010-03-20,19.2633
2010-04-20,19.1633
2010-05-20,19.0945
2010-06-20,18.1569
2010-07-20,18.3307
2010-08-20,19.5796
2010-09-20,19.6762
2010-10-20,19.8369
2010-11-20,17.3805
2010-12-20,17.4321
2011-01-20,17.4338
2011-02-20,17.7329
2011-03-20,17.8419
2011-04-20,17.882
2011-05-20,17.3597
2011-06-20,16.7188
2011-07-20,17.3871
2011-08-20,17.6867
2011-09-20,17.8469
2011-10-20,17.8641
2011-11-20,15.8897
2011-12-20,16.1439
2012-01-20,16.0502
2012-02-20,13.697
2012-03-20,13.7431
2012-04-20,13.8843
2012-05-20,12.4372
2012-06-20,14.5116
2012-07-20,14.5805
2012-08-20,14.811
2012-09-20,14.7744
2012-10-20,14.7666
2012-11-20,13.0963
2012-12-20,13.1232
2013-01-20,13.1407
2013-02-20,12.818
2013-03-20,13.0659
2013-04-20,13.1725
2013-05-20,14.8874
2013-06-20,14.852
2013-07-20,14.8997
2013-08-20,15.4991
2013-09-20,15.6669
2013-10-20,15.6593
2013-11-20,14.2107
2013-12-20,14.261
2014-01-20,14.3292
2014-02-20,14.8941
2014-03-20,14.9658
2014-04-20,15.0516
2014-05-20,15.6441
2014-06-20,15.8849
2014-07-20,16.0387
2014-08-20,16.0467
2014-09-20,16.0728
2014-10-20,16.1909
2014-11-20,16.0097
2014-12-20,16.0429
2015-01-20,16.0622
2015-02-20,15.8471
2015-03-20,16.2144
2015-04-20,16.9714
2015-05-20,17.0302
2015-06-20,18.8
2015-07-20,18.6269
2015-08-20,18.5788
2015-09-20,18.3495
2015-10-20,18.3702
2015-11-20,18.53
2015-12-20,19.6511
2016-01-20,19.401
2016-02-20,19.7663
2016-03-20,20.0099
2016-04-20,20.0583
2016-05-20,18.2967
2016-06-20,18.6353
2016-07-20,18.6946
2016-08-20,18.5185
2016-09-20,18.5469
2016-10-20,18.5518
2016-11-20,20.2043
2016-12-20,20.3029
2017-01-20,20.3474
2017-02-20,19.1843
2017-03-20,19.3149
2017-04-20,19.3426
2017-05-20,17.936
2017-06-20,19.6993
2017-07-20,19.8079
2017-08-20,20.2208
2017-09-20,20.1302
2017-10-20,20.1507
2017-11-20,18.6541
2017-12-20,18.7457
2018-01-20,18.4975
2018-02-20,17.3508
2018-03-20,17.4313
2018-04-20,17.4288
2018-05-20,20.7658
2018-06-20,20.2951
2018-07-20,20.2688
2018-08-20,20.5057
2018-09-20,20.6392
2018-10-20,20.6441
2018-11-20,19.4888
2018-12-20,19.54
2019-01-20,19.9062
2019-02-20,19.9573
2019-03-20,20.0472
2019-04-20,19.8187
2019-05-20,19.0797
2019-06-20,20.9566
2019-07-20,20.9601
2019-08-20,21.0179
2019-09-20,18.6024
2019-10-20,18.797
2019-11-20,19.0157
2019-12-20,18.5607
2020-01-20,18.602
2020-02-20,19.0412
2020-03-20,19.3961
2020-04-20,19.6262
