date,ev_ebitda
2004-01-20,9.9075
2004-02-20,11.958
2004-03-20,12.756
2004-04-20,12.756
2004-05-20,15.3336
2004-06-20,11.7054
2004-07-20,10.7396
2004-08-20,10.7514
2004-09-20,10.7514
2004-10-20,10.7514
2004-11-20,9.3301
2004-12-20,9.3301
2005-01-20,9.3301
2005-02-20,10.4703
2005-03-20,10.4703
2005-04-20,10.4703
2005-05-20,13.5288
2005-06-20,10.7505
2005-07-20,10.1444
2005-08-20,10.1444
2005-09-20,10.2771
2005-10-20,10.2771
2005-11-20,11.3537
2005-12-20,11.3545
2006-01-20,11.3548
2006-02-20,12.6778
2006-03-20,12.6784
2006-04-20,12.6767
2006-05-20,13.7892
2006-06-20,12.3659
2006-07-20,12.6034
2006-08-20,14.1678
2006-09-20,14.206
2006-10-20,14.2988
2006-11-20,12.8709
2006-12-20,12.8864
2007-01-20,12.8793
2007-02-20,14.7246
2007-03-20,15.1333
2007-04-20,15.6518
2007-05-20,14.9626
2007-06-20,14.5858
2007-07-20,14.4041
2007-08-20,12.5151
2007-09-20,12.5449
2007-10-20,12.288
2007-11-20,11.3603
2007-12-20,11.3675
2008-01-20,11.3328
2008-02-20,10.6153
2008-03-20,10.5757
2008-04-20,10.5908
2008-05-20,16.8376
2008-06-20,12.4081
2008-07-20,12.0016
2008-08-20,12.009
2008-09-20,12.1013
2008-10-20,12.3316
2008-11-20,9.988
2008-12-20,10.1001
2009-01-20,10.1813
2009-02-20,9.0408
2009-03-20,9.1652
2009-04-20,9.18
2009-05-20,6.5461
2009-06-20,6.6521
2009-07-20,8.7197
2009-08-20,8.7995
2009-09-20,8.7613
2009-10-20,8.7766
2009-11-20,12.195
2009-12-20,12.2605
2010-01-20,12.2662
2010-02-20,14.2881
2010-03-20,14.333
2010-04-20,14.3593
2010-05-20,14.1697
2010-06-20,12.6251
2010-07-20,12.854
2010-08-20,13.5573
2010-09-20,13.6143
2010-10-20,13.9142
2010-11-20,13.3803
2010-12-20,13.3995
2011-01-20,13.4096
2011-02-20,14.0888
2011-03-20,14.1368
2011-04-20,14.1649
2011-05-20,13.2564
2011-06-20,11.7773
2011-07-20,11.9431
2011-08-20,12.118
2011-09-20,12.3357
2011-10-20,12.3578
2011-11-20,12.1947
2011-12-20,12.2962
2012-01-20,12.3048
2012-02-20,10.9226
2012-03-20,10.9313
2012-04-20,10.9303
2012-05-20,9.4295
2012-06-20,10.0575
2012-07-20,10.0168
2012-08-20,10.1411
2012-09-20,10.0722
2012-10-20,10.0685
2012-11-20,10.5953
2012-12-20,10.6139
2013-01-20,10.6227
2013-02-20,10.4793
2013-03-20,10.6318
2013-04-20,10.6432
2013-05-20,11.3823
2013-06-20,9.9369
2013-07-20,9.9704
2013-08-20,10.3138
2013-09-20,10.3475
2013-10-20,10.3408
2013-11-20,11.1947
2013-12-20,11.1891
2014-01-20,11.2013
2014-02-20,12.0116
2014-03-20,12.1181
2014-04-20,12.1417
2014-05-20,11.4842
2014-06-20,10.2467
2014-07-20,10.3502
2014-08-20,10.3733
2014-09-20,10.3899
2014-10-20,10.4489
2014-11-20,11.8937
2014-12-20,11.9307
2015-01-20,11.9383
2015-02-20,11.9266
2015-03-20,12.0942
2015-04-20,12.0966
2015-05-20,11.3505
2015-06-20,12.0838
2015-07-20,11.9438
2015-08-20,11.9729
2015-09-20,13.4581
2015-10-20,13.4854
2015-11-20,13.5644
2015-12-20,14.8003
2016-01-20,14.8177
2016-02-20,14.9126
