date,gross_margin
2012-05-20,32.0764
2012-06-20,30.0187
2012-07-20,29.9027
2012-08-20,29.9859
2012-09-20,30.0749
2012-10-20,30.0752
2012-11-20,35.5699
2012-12-20,33.8955
2013-01-20,33.8888
2013-02-20,32.6122
2013-03-20,32.8791
2013-04-20,33.1242
2013-05-20,34.8246
2013-06-20,32.7671
2013-07-20,32.7048
2013-08-20,32.7426
2013-09-20,32.8315
2013-10-20,32.8249
2013-11-20,35.6149
2013-12-20,35.6099
2014-01-20,35.6102
2014-02-20,41.2444
2014-03-20,41.5868
2014-04-20,41.6018
2014-05-20,32.017
2014-06-20,28.9657
2014-07-20,28.9712
2014-08-20,28.9668
2014-09-20,28.9617
2014-10-20,29.0331
2014-11-20,23.6397
2014-12-20,23.6539
2015-01-20,23.6621
2015-02-20,24.8363
2015-03-20,30.7537
2015-04-20,34.0076
2015-05-20,32.9888
2015-06-20,32.6468
2015-07-20,32.6459
2015-08-20,32.6773
2015-09-20,32.7268
2015-10-20,32.7422
2015-11-20,32.8885
2015-12-20,34.7253
2016-01-20,34.7271
2016-02-20,37.4249
2016-03-20,37.4917
2016-04-20,37.4801
2016-05-20,41.7509
2016-06-20,39.1038
2016-07-20,39.2762
2016-08-20,39.0499
2016-09-20,39.0235
2016-10-20,39.0235
2016-11-20,38.3849
2016-12-20,38.3857
2017-01-20,38.4094
2017-02-20,37.669
2017-03-20,37.826
2017-04-20,37.8393
2017-05-20,40.6046
2017-06-20,42.3073
2017-07-20,42.2623
2017-08-20,42.5432
2017-09-20,42.4359
2017-10-20,42.4376
2017-11-20,37.9775
2017-12-20,37.9601
2018-01-20,41.0203
2018-02-20,41.3268
2018-03-20,41.5437
2018-04-20,41.5419
2018-05-20,44.4195
2018-06-20,40.6257
2018-07-20,40.6379
2018-08-20,40.7547
2018-09-20,40.7776
2018-10-20,40.7846
2018-11-20,30.6573
2018-12-20,30.6945
2019-01-20,30.7277
2019-02-20,30.6145
2019-03-20,30.8896
2019-04-20,30.8652
2019-05-20,44.0393
2019-06-20,39.2582
2019-07-20,39.2386
2019-08-20,39.6049
2019-09-20,35.0652
2019-10-20,35.0796
2019-11-20,35.2543
2019-12-20,35.8013
2020-01-20,35.7939
2020-02-20,39.2862
2020-03-20,39.6609
2020-04-20,39.7794
2020-05-20,39.6946
2020-06-20,38.5799
2020-07-20,41.1419
2020-08-20,44.7503
2020-09-20,44.6312
2020-10-20,44.5494
2020-11-20,44.6145
2020-12-20,49.2805
2021-01-20,49.2392
2021-02-20,49.1696
2021-03-20,41.1683
2021-04-20,40.8592
2021-05-20,40.8044
2021-06-20,38.8397
2021-07-20,38.8149
2021-08-20,39.6266
2021-09-20,39.136
2021-10-20,39.1861
2021-11-20,40.193
2021-12-20,38.2344
2022-01-20,38.2127
2022-02-20,38.1351
2022-03-20,44.8974
2022-04-20,44.817
2022-05-20,44.714
2022-06-20,39.8027
2022-07-20,39.7964
2022-08-20,39.9476
2022-09-20,39.5913
2022-10-20,39.6075
2022-11-20,40.1567
2022-12-20,38.3627
2023-01-20,38.296
2023-02-20,38.1744
2023-03-20,42.0084
2023-04-20,41.8209
2023-05-20,42.1629
2023-06-20,37.1762
2023-07-20,37.1669
2023-08-20,37.1855
2023-09-20,37.1822
2023-10-20,37.1713
2023-11-20,37.0902
2023-12-20,35.0949
2024-01-20,35.0881
2024-02-20,35.0619
2024-03-20,39.4454
2024-04-20,39.3499
2024-05-20,39.949
2024-06-20,36.4093
2024-07-20,36.4208
2024-08-20,36.3623
2024-09-20,34.0468
2024-10-20,34.0482
2024-11-20,34.1101
2024-12-20,32.3446
2025-01-20,32.3389
2025-02-20,32.5936
2025-03-20,39.0841
2025-04-20,39.0721
2025-05-20,39.0461
2025-06-20,36.9987
2025-07-20,36.9329
2025-08-20,36.8818
2025-09-20,35.5855
2025-10-20,35.5858
2025-11-20,35.6044
2025-12-20,36.3019
2026-01-20,36.3016
2026-02-20,36.3625
2026-03-20,40.8889
2026-04-20,41.3495
