date,oper_margin
2004-01-20,11.9652
2004-02-20,11.8043
2004-03-20,12.0407
2004-04-20,12.0407
2004-05-20,14.2695
2004-06-20,12.6013
2004-07-20,12.8128
2004-08-20,12.996
2004-09-20,12.996
2004-10-20,12.996
2004-11-20,13.7504
2004-12-20,13.7504
2005-01-20,13.7504
2005-02-20,13.7889
2005-03-20,13.7889
2005-04-20,13.7889
2005-05-20,13.7889
2005-06-20,14.2216
2005-07-20,14.9276
2005-08-20,14.9276
2005-09-20,15.0693
2005-10-20,15.0693
2005-11-20,15.6109
2005-12-20,15.6506
2006-01-20,15.6002
2006-02-20,16.1684
2006-03-20,16.1655
2006-04-20,16.1504
2006-05-20,14.9872
2006-06-20,14.5817
2006-07-20,14.8456
2006-08-20,15.5527
2006-09-20,15.4985
2006-10-20,15.2866
2006-11-20,14.7533
2006-12-20,14.6746
2007-01-20,14.6698
2007-02-20,16.5796
2007-03-20,16.7844
2007-04-20,17.0593
2007-05-20,16.2749
2007-06-20,15.7255
2007-07-20,14.5141
2007-08-20,15.2854
2007-09-20,15.3494
2007-10-20,15.2983
2007-11-20,15.8459
2007-12-20,15.7508
2008-01-20,15.7003
2008-02-20,16.0368
2008-03-20,16.0405
2008-04-20,15.3287
2008-05-20,14.9986
2008-06-20,16.9525
2008-07-20,17.3606
2008-08-20,17.5464
2008-09-20,17.1224
2008-10-20,16.8711
2008-11-20,15.1312
2008-12-20,15.4343
2009-01-20,15.4517
2009-02-20,15.3556
2009-03-20,15.3006
2009-04-20,15.3973
2009-05-20,14.8245
2009-06-20,13.4228
2009-07-20,11.8731
2009-08-20,12.1407
2009-09-20,12.1967
2009-10-20,12.1873
2009-11-20,13.322
2009-12-20,13.3478
2010-01-20,13.3083
2010-02-20,14.016
2010-03-20,14.0252
2010-04-20,14.1159
2010-05-20,14.1966
2010-06-20,13.8288
2010-07-20,14.2073
2010-08-20,13.3896
2010-09-20,13.361
2010-10-20,13.3236
2010-11-20,15.4779
2010-12-20,15.443
2011-01-20,15.4291
2011-02-20,17.4244
2011-03-20,17.3174
2011-04-20,17.2914
2011-05-20,16.629
2011-06-20,14.971
2011-07-20,14.608
2011-08-20,14.4499
2011-09-20,14.4989
2011-10-20,14.4338
2011-11-20,17.5498
2011-12-20,17.301
2012-01-20,17.3965
2012-02-20,17.7185
2012-03-20,17.6264
2012-04-20,17.4458
2012-05-20,15.4022
2012-06-20,13.4008
2012-07-20,13.295
2012-08-20,13.2691
2012-09-20,13.2735
2012-10-20,13.286
2012-11-20,17.1262
2012-12-20,16.2865
2013-01-20,16.2616
2013-02-20,16.6238
2013-03-20,16.442
2013-04-20,16.4306
2013-05-20,14.642
2013-06-20,13.778
2013-07-20,13.7322
2013-08-20,13.5449
2013-09-20,13.4771
2013-10-20,13.4586
2013-11-20,15.8034
2013-12-20,15.7436
2014-01-20,15.6689
2014-02-20,15.7455
2014-03-20,15.8001
2014-04-20,15.7157
2014-05-20,14.1009
2014-06-20,13.5385
2014-07-20,13.5412
2014-08-20,13.5045
2014-09-20,13.5018
2014-10-20,13.4543
2014-11-20,13.7431
2014-12-20,13.723
2015-01-20,13.7112
2015-02-20,13.9526
2015-03-20,13.5746
2015-04-20,14.3414
2015-05-20,13.8637
2015-06-20,12.995
2015-07-20,12.9957
2015-08-20,13.2057
2015-09-20,13.3308
2015-10-20,13.3221
2015-11-20,13.2696
2015-12-20,12.7726
2016-01-20,12.9369
2016-02-20,13.6835
2016-03-20,13.541
2016-04-20,13.5042
2016-05-20,14.4534
2016-06-20,13.6984
2016-07-20,13.6413
2016-08-20,13.7613
2016-09-20,13.8867
2016-10-20,13.8881
2016-11-20,12.6971
2016-12-20,12.6357
2017-01-20,12.6158
2017-02-20,13.7992
2017-03-20,13.7631
2017-04-20,13.7482
2017-05-20,13.4968
2017-06-20,12.5583
2017-07-20,12.4098
2017-08-20,12.1798
2017-09-20,12.2982
2017-10-20,12.289
2017-11-20,12.0862
2017-12-20,12.0216
2018-01-20,13.165
2018-02-20,14.1577
2018-03-20,14.1662
2018-04-20,14.1677
2018-05-20,12.7168
2018-06-20,11.9677
2018-07-20,12.0604
2018-08-20,11.9784
2018-09-20,11.9921
2018-10-20,11.9938
2018-11-20,9.6403
2018-12-20,9.6268
2019-01-20,9.4599
2019-02-20,9.6018
2019-03-20,9.6446
2019-04-20,9.7481
2019-05-20,10.5308
2019-06-20,11.1272
2019-07-20,11.1362
2019-08-20,11.3066
2019-09-20,12.5455
2019-10-20,12.4214
2019-11-20,12.3398
2019-12-20,12.3381
2020-01-20,12.3082
2020-02-20,12.8722
2020-03-20,12.7486
2020-04-20,12.6368
2020-05-20,11.7312
2020-06-20,11.1217
2020-07-20,11.3277
2020-08-20,12.0104
2020-09-20,12.1111
2020-10-20,11.5354
2020-11-20,11.5845
2020-12-20,13.1009
2021-01-20,12.8627
2021-02-20,12.6897
2021-03-20,13.1445
2021-04-20,13.0928
2021-05-20,12.7674
2021-06-20,13.2248
2021-07-20,13.5088
2021-08-20,13.7109
2021-09-20,14.1066
2021-10-20,14.042
2021-11-20,14.3849
2021-12-20,14.4039
2022-01-20,14.3987
2022-02-20,14.3448
2022-03-20,14.4304
2022-04-20,14.4311
2022-05-20,14.1978
2022-06-20,13.8504
2022-07-20,13.7969
