date,pb
2004-01-20,3.8118
2004-02-20,3.6865
2004-03-20,3.6349
2004-04-20,3.5707
2004-05-20,3.3971
2004-06-20,2.9051
2004-07-20,2.9052
2004-08-20,3.1268
2004-09-20,3.1172
2004-10-20,3.3439
2004-11-20,3.5408
2004-12-20,3.8956
2005-01-20,4.0759
2005-02-20,3.9637
2005-03-20,4.0668
2005-04-20,3.938
2005-05-20,3.2676
2005-06-20,3.6903
2005-07-20,3.7639
2005-08-20,3.9636
2005-09-20,4.0281
2005-10-20,4.4017
2005-11-20,4.1629
2005-12-20,4.6542
2006-01-20,4.9967
2006-02-20,5.5916
2006-03-20,5.7621
2006-04-20,6.362
2006-05-20,5.2177
2006-06-20,4.1955
2006-07-20,3.7606
2006-08-20,3.7874
2006-09-20,4.1173
2006-10-20,4.377
2006-11-20,4.6789
2006-12-20,4.9172
2007-01-20,5.012
2007-02-20,4.9531
2007-03-20,4.5357
2007-04-20,4.5534
2007-05-20,4.7472
2007-06-20,4.8144
2007-07-20,4.8442
2007-08-20,4.9354
2007-09-20,4.786
2007-10-20,5.1647
2007-11-20,6.2132
2007-12-20,6.1336
2008-01-20,6.5635
2008-02-20,5.6006
2008-03-20,5.553
2008-04-20,4.8155
2008-05-20,5.8196
2008-06-20,3.7996
2008-07-20,4.2932
2008-08-20,4.4706
2008-09-20,4.5048
2008-10-20,3.8548
2008-11-20,2.9266
2008-12-20,2.6479
2009-01-20,2.8298
2009-02-20,2.7405
2009-03-20,2.5692
2009-04-20,2.8583
2009-05-20,3.3493
2009-06-20,4.312
2009-07-20,2.896
2009-08-20,3.2388
2009-09-20,3.1686
2009-10-20,3.4737
2009-11-20,3.2441
2009-12-20,3.4837
2010-01-20,3.6273
2010-02-20,3.4629
2010-03-20,3.5037
2010-04-20,3.7259
2010-05-20,3.7294
2010-06-20,3.0795
2010-07-20,3.1712
2010-08-20,3.185
2010-09-20,3.1781
2010-10-20,3.5419
2010-11-20,3.5783
2010-12-20,3.4536
2011-01-20,3.5998
2011-02-20,3.2063
2011-03-20,3.1037
2011-04-20,3.3967
2011-05-20,3.4103
2011-06-20,2.7706
2011-07-20,2.8464
2011-08-20,2.7394
2011-09-20,2.4854
2011-10-20,2.4656
2011-11-20,2.7031
2011-12-20,2.4346
2012-01-20,2.3279
2012-02-20,2.5847
2012-03-20,2.6474
2012-04-20,2.6035
2012-05-20,2.6748
2012-06-20,2.1976
2012-07-20,2.369
2012-08-20,2.3497
2012-09-20,2.3627
2012-10-20,2.5665
2012-11-20,2.5207
2012-12-20,2.6602
2013-01-20,2.6783
2013-02-20,2.7026
2013-03-20,2.5599
2013-04-20,2.5585
2013-05-20,2.6748
2013-06-20,2.4571
2013-07-20,2.3876
2013-08-20,2.3664
2013-09-20,2.2999
2013-10-20,2.375
2013-11-20,2.5802
2013-12-20,2.533
2014-01-20,2.5893
2014-02-20,2.5742
2014-03-20,2.6319
2014-04-20,2.7552
2014-05-20,2.8642
2014-06-20,2.6556
2014-07-20,2.8038
2014-08-20,2.8865
2014-09-20,2.9756
2014-10-20,2.9978
2014-11-20,3.0214
2014-12-20,3.101
2015-01-20,2.9657
2015-02-20,3.0945
2015-03-20,3.161
2015-04-20,3.0637
2015-05-20,2.9057
2015-06-20,2.9018
2015-07-20,2.8939
2015-08-20,2.9571
2015-09-20,3.0467
2015-10-20,3.0201
2015-11-20,3.0622
2015-12-20,2.9803
2016-01-20,3.0315
2016-02-20,2.895
2016-03-20,2.7001
2016-04-20,2.9467
2016-05-20,3.0294
2016-06-20,2.9897
2016-07-20,2.9718
2016-08-20,3.1104
2016-09-20,3.1426
2016-10-20,3.0943
2016-11-20,3.1047
2016-12-20,2.9413
2017-01-20,2.9141
2017-02-20,3.0549
2017-03-20,3.1775
2017-04-20,3.2709
2017-05-20,3.2442
2017-06-20,2.9538
2017-07-20,2.9264
2017-08-20,3.2253
2017-09-20,3.1865
2017-10-20,3.1343
2017-11-20,3.2685
2017-12-20,3.2286
2018-01-20,3.352
2018-02-20,3.3589
2018-03-20,3.2043
2018-04-20,3.0875
2018-05-20,3.4355
2018-06-20,2.8593
2018-07-20,2.8668
2018-08-20,3.0238
2018-09-20,3.1526
2018-10-20,2.927
2018-11-20,2.8494
2018-12-20,2.9606
2019-01-20,2.9602
2019-02-20,2.9271
2019-03-20,2.9243
2019-04-20,3.1078
2019-05-20,3.1814
2019-06-20,2.8555
2019-07-20,2.8144
2019-08-20,2.6507
2019-09-20,2.7235
2019-10-20,2.7861
2019-11-20,2.9025
2019-12-20,2.8839
2020-01-20,2.9129
2020-02-20,2.9735
2020-03-20,2.8077
2020-04-20,2.195
2020-05-20,2.5303
2020-06-20,2.4752
2020-07-20,2.5175
2020-08-20,2.858
2020-09-20,2.9081
2020-10-20,2.9386
2020-11-20,2.9796
2020-12-20,2.9835
2021-01-20,3.2432
2021-02-20,3.1623
2021-03-20,3.6077
2021-04-20,3.6692
2021-05-20,3.6813
2021-06-20,3.2542
2021-07-20,3.3065
2021-08-20,3.3362
2021-09-20,3.8568
2021-10-20,3.9414
2021-11-20,3.9409
2021-12-20,3.7913
2022-01-20,3.8877
2022-02-20,3.8486
2022-03-20,3.7775
2022-04-20,3.9363
2022-05-20,3.9031
2022-06-20,3.3994
2022-07-20,3.222
2022-08-20,3.5358
2022-09-20,3.7291
2022-10-20,3.5773
2022-11-20,3.7305
2022-12-20,3.7872
2023-01-20,3.6367
2023-02-20,3.4928
2023-03-20,3.3446
2023-04-20,3.3628
2023-05-20,3.5042
2023-06-20,3.3799
2023-07-20,3.5218
2023-08-20,3.6326
2023-09-20,3.6308
2023-10-20,3.7049
2023-11-20,3.6014
2023-12-20,3.6536
2024-01-20,3.9403
2024-02-20,4.0258
2024-03-20,4.1611
2024-04-20,4.2188
2024-05-20,4.3181
2024-06-20,3.8272
2024-07-20,4.084
2024-08-20,4.2898
2024-09-20,4.3137
2024-10-20,4.4015
2024-11-20,4.075
2024-12-20,4.0345
2025-01-20,3.9709
2025-02-20,3.8712
2025-03-20,3.5525
2025-04-20,3.7954
2025-05-20,3.9316
2025-06-20,3.715
2025-07-20,3.8411
2025-08-20,3.7214
2025-09-20,3.5947
2025-10-20,3.6354
2025-11-20,3.7917
2025-12-20,3.8076
2026-01-20,3.8071
2026-02-20,3.6958
2026-03-20,3.7213
2026-04-20,3.6477
