date,roa
2004-01-20,3.1083
2004-02-20,3.09
2004-03-20,2.9964
2004-04-20,2.9964
2004-05-20,3.6338
2004-06-20,3.8197
2004-07-20,3.6967
2004-08-20,3.6966
2004-09-20,3.6966
2004-10-20,3.6966
2004-11-20,4.5335
2004-12-20,4.5335
2005-01-20,4.5335
2005-02-20,4.5435
2005-03-20,4.5435
2005-04-20,4.5435
2005-05-20,3.9501
2005-06-20,5.278
2005-07-20,5.2246
2005-08-20,5.2246
2005-09-20,5.1823
2005-10-20,5.1823
2005-11-20,5.3163
2005-12-20,5.3059
2006-01-20,5.3065
2006-02-20,5.445
2006-03-20,5.4429
2006-04-20,5.4414
2006-05-20,5.124
2006-06-20,5.3358
2006-07-20,5.3216
2006-08-20,4.6689
2006-09-20,4.8215
2006-10-20,4.9507
2006-11-20,5.2171
2006-12-20,5.2651
2007-01-20,5.2614
2007-02-20,5.484
2007-03-20,5.516
2007-04-20,5.051
2007-05-20,5.3093
2007-06-20,5.4949
2007-07-20,5.0566
2007-08-20,3.0912
2007-09-20,3.4454
2007-10-20,3.9984
2007-11-20,4.4445
2007-12-20,4.3702
2008-01-20,4.4049
2008-02-20,4.5391
2008-03-20,4.561
2008-04-20,4.5566
2008-05-20,5.1849
2008-06-20,6.2602
2008-07-20,3.8276
2008-08-20,4.2424
2008-09-20,4.6864
2008-10-20,4.8529
2008-11-20,4.9291
2008-12-20,4.8697
2009-01-20,4.8575
2009-02-20,4.7764
2009-03-20,4.7636
2009-04-20,4.7123
2009-05-20,4.8039
2009-06-20,4.3734
2009-07-20,2.9007
2009-08-20,2.8595
2009-09-20,2.8124
2009-10-20,2.8241
2009-11-20,3.3054
2009-12-20,3.3732
2010-01-20,3.3877
2010-02-20,3.7778
2010-03-20,3.7753
2010-04-20,3.7675
2010-05-20,3.9848
2010-06-20,3.9801
2010-07-20,3.5518
2010-08-20,3.6039
2010-09-20,3.652
2010-10-20,3.7438
2010-11-20,3.7139
2010-12-20,3.7032
2011-01-20,3.6845
2011-02-20,3.9198
2011-03-20,3.9014
2011-04-20,3.8949
2011-05-20,4.0984
2011-06-20,4.562
2011-07-20,4.1254
2011-08-20,4.1401
2011-09-20,4.0462
2011-10-20,4.0536
2011-11-20,3.9133
2011-12-20,3.8829
2012-01-20,3.879
2012-02-20,3.8581
2012-03-20,3.7716
2012-04-20,3.7725
2012-05-20,3.7506
2012-06-20,3.461
2012-07-20,3.1902
2012-08-20,3.1769
2012-09-20,3.1856
2012-10-20,3.1857
2012-11-20,3.3251
2012-12-20,3.3626
2013-01-20,3.3584
2013-02-20,3.5497
2013-03-20,3.4944
2013-04-20,3.4793
2013-05-20,3.4047
2013-06-20,3.172
2013-07-20,3.0293
2013-08-20,2.9921
2013-09-20,2.9996
2013-10-20,2.9987
2013-11-20,2.9741
2013-12-20,2.9991
2014-01-20,2.9968
2014-02-20,3.0391
2014-03-20,3.011
2014-04-20,3.0103
2014-05-20,3.53
2014-06-20,3.2467
2014-07-20,3.2456
2014-08-20,3.2807
2014-09-20,3.2916
2014-10-20,3.2226
2014-11-20,3.6542
2014-12-20,3.6395
2015-01-20,3.6378
2015-02-20,3.7906
2015-03-20,3.9769
2015-04-20,3.9635
2015-05-20,3.8791
2015-06-20,2.9778
2015-07-20,3.0532
2015-08-20,3.0332
2015-09-20,3.1131
2015-10-20,3.1492
2015-11-20,3.1252
2015-12-20,3.2539
2016-01-20,3.2539
2016-02-20,3.1484
2016-03-20,3.0935
2016-04-20,3.0892
2016-05-20,3.15
2016-06-20,3.1499
2016-07-20,3.0631
2016-08-20,3.0746
2016-09-20,3.0754
2016-10-20,3.0755
2016-11-20,3.2591
2016-12-20,3.2669
2017-01-20,3.2634
2017-02-20,3.1262
2017-03-20,3.1022
2017-04-20,3.1019
2017-05-20,3.1358
2017-06-20,2.9632
2017-07-20,2.9632
2017-08-20,2.9625
2017-09-20,2.9589
2017-10-20,2.9589
2017-11-20,2.9594
2017-12-20,2.9655
2018-01-20,2.9456
2018-02-20,3.1166
2018-03-20,3.0961
2018-04-20,3.0871
2018-05-20,3.1881
2018-06-20,3.0418
2018-07-20,3.0495
2018-08-20,2.964
2018-09-20,2.964
2018-10-20,2.964
2018-11-20,4.8929
2018-12-20,4.8709
2019-01-20,4.8813
2019-02-20,4.6518
2019-03-20,4.6141
2019-04-20,4.6112
2019-05-20,4.3229
2019-06-20,2.3474
2019-07-20,2.3473
2019-08-20,2.3508
2019-09-20,2.483
2019-10-20,2.4869
2019-11-20,2.4975
2019-12-20,2.1028
2020-01-20,2.1057
2020-02-20,2.6364
2020-03-20,2.5856
2020-04-20,2.5647
2020-05-20,2.4978
2020-06-20,2.4492
2020-07-20,1.9481
2020-08-20,1.7604
2020-09-20,1.7891
2020-10-20,1.7522
2020-11-20,1.746
2020-12-20,2.0766
2021-01-20,2.0848
2021-02-20,2.1108
2021-03-20,2.4349
2021-04-20,2.4296
2021-05-20,2.4766
2021-06-20,2.5885
2021-07-20,2.5483
2021-08-20,2.5582
2021-09-20,2.8726
2021-10-20,2.8721
2021-11-20,2.9068
2021-12-20,3.0434
2022-01-20,3.044
2022-02-20,3.041
2022-03-20,3.2199
2022-04-20,3.2569
2022-05-20,3.2457
2022-06-20,3.4107
2022-07-20,3.4107
2022-08-20,3.4183
2022-09-20,3.4897
2022-10-20,3.4892
2022-11-20,3.4617
2022-12-20,3.4223
2023-01-20,3.4208
2023-02-20,3.3964
2023-03-20,3.3415
2023-04-20,3.3334
2023-05-20,3.2977
2023-06-20,2.988
2023-07-20,2.9808
2023-08-20,2.9798
2023-09-20,3.1794
2023-10-20,3.1806
2023-11-20,3.1824
2023-12-20,3.0434
2024-01-20,3.0452
2024-02-20,3.0531
2024-03-20,3.131
2024-04-20,3.1285
2024-05-20,3.1178
2024-06-20,3.0923
2024-07-20,3.0923
2024-08-20,3.1114
2024-09-20,3.1661
2024-10-20,3.1655
2024-11-20,3.1538
2024-12-20,3.0313
2025-01-20,3.0359
2025-02-20,3.0077
2025-03-20,3.0205
2025-04-20,3.0219
2025-05-20,2.9957
2025-06-20,2.8742
2025-07-20,2.8742
2025-08-20,2.8746
2025-09-20,2.9373
2025-10-20,2.9373
2025-11-20,2.9359
2025-12-20,3.2012
2026-01-20,3.2012
2026-02-20,3.1971
2026-03-20,3.1644
2026-04-20,3.147
