date,roce
2004-01-20,17.5746
2004-02-20,17.2111
2004-03-20,16.6899
2004-04-20,16.6899
2004-05-20,20.4543
2004-06-20,21.501
2004-07-20,21.477
2004-08-20,21.4764
2004-09-20,21.4764
2004-10-20,21.4764
2004-11-20,21.1481
2004-12-20,21.1481
2005-01-20,21.1481
2005-02-20,21.1063
2005-03-20,21.1063
2005-04-20,21.1063
2005-05-20,17.9438
2005-06-20,23.877
2005-07-20,24.2465
2005-08-20,24.2465
2005-09-20,24.0498
2005-10-20,24.0498
2005-11-20,24.4795
2005-12-20,24.4316
2006-01-20,24.4341
2006-02-20,26.1644
2006-03-20,26.1541
2006-04-20,26.1473
2006-05-20,23.3917
2006-06-20,23.0573
2006-07-20,20.387
2006-08-20,19.827
2006-09-20,19.7118
2006-10-20,19.6323
2006-11-20,20.0919
2006-12-20,20.1403
2007-01-20,20.1261
2007-02-20,20.7478
2007-03-20,20.869
2007-04-20,21.1259
2007-05-20,21.9686
2007-06-20,21.9151
2007-07-20,21.9631
2007-08-20,21.426
2007-09-20,21.8652
2007-10-20,21.1719
2007-11-20,23.227
2007-12-20,22.8389
2008-01-20,23.1269
2008-02-20,23.6104
2008-03-20,23.7246
2008-04-20,23.5545
2008-05-20,26.5223
2008-06-20,21.3741
2008-07-20,29.5436
2008-08-20,29.1703
2008-09-20,28.898
2008-10-20,28.3882
2008-11-20,27.9736
2008-12-20,27.6365
2009-01-20,27.5464
2009-02-20,27.264
2009-03-20,27.1911
2009-04-20,26.8979
2009-05-20,27.5867
2009-06-20,25.0729
2009-07-20,15.5248
2009-08-20,15.775
2009-09-20,15.3289
2009-10-20,15.1253
2009-11-20,15.2853
2009-12-20,15.5811
2010-01-20,15.6993
2010-02-20,15.7733
2010-03-20,15.763
2010-04-20,15.7302
2010-05-20,16.7092
2010-06-20,16.0269
2010-07-20,15.8379
2010-08-20,15.8111
2010-09-20,15.8068
2010-10-20,15.8005
2010-11-20,15.8036
2010-12-20,15.7581
2011-01-20,15.5885
2011-02-20,16.4274
2011-03-20,16.3504
2011-04-20,16.323
2011-05-20,17.8242
2011-06-20,16.8708
2011-07-20,17.2054
2011-08-20,17.1552
2011-09-20,17.0727
2011-10-20,17.08
2011-11-20,17.369
2011-12-20,17.2337
2012-01-20,17.2167
2012-02-20,17.1239
2012-03-20,16.5894
2012-04-20,16.5935
2012-05-20,16.9742
2012-06-20,15.3153
2012-07-20,15.5624
2012-08-20,15.584
2012-09-20,15.506
2012-10-20,15.5063
2012-11-20,16.4848
2012-12-20,16.6698
2013-01-20,16.6489
2013-02-20,17.6123
2013-03-20,17.3378
2013-04-20,17.2632
2013-05-20,16.862
2013-06-20,15.1941
2013-07-20,15.0756
2013-08-20,15.0554
2013-09-20,15.0911
2013-10-20,15.0811
2013-11-20,14.7038
2013-12-20,14.6861
2014-01-20,14.6748
2014-02-20,14.1782
2014-03-20,14.0472
2014-04-20,14.0437
2014-05-20,15.7174
2014-06-20,14.7857
2014-07-20,14.7803
2014-08-20,15.011
2014-09-20,15.0655
2014-10-20,14.6436
2014-11-20,15.142
2014-12-20,15.0756
2015-01-20,15.0688
2015-02-20,15.6251
2015-03-20,15.5494
2015-04-20,15.4973
2015-05-20,15.1673
2015-06-20,12.5308
2015-07-20,12.5282
2015-08-20,12.5261
2015-09-20,12.8809
2015-10-20,13.0346
2015-11-20,12.9939
2015-12-20,13.3598
2016-01-20,13.3651
2016-02-20,12.9298
2016-03-20,12.704
2016-04-20,12.6863
2016-05-20,12.6654
2016-06-20,13.2687
2016-07-20,13.074
2016-08-20,13.0637
2016-09-20,13.0397
2016-10-20,13.0399
2016-11-20,13.7304
2016-12-20,13.7631
2017-01-20,13.7485
2017-02-20,14.2373
2017-03-20,14.128
2017-04-20,14.1267
2017-05-20,14.2444
2017-06-20,13.2938
2017-07-20,13.2897
2017-08-20,13.638
2017-09-20,13.6031
2017-10-20,13.6031
2017-11-20,13.7888
2017-12-20,13.8175
2018-01-20,13.7259
2018-02-20,14.2955
2018-03-20,14.2012
2018-04-20,14.1603
2018-05-20,14.9078
2018-06-20,13.8932
2018-07-20,13.8818
2018-08-20,13.6472
2018-09-20,13.648
2018-10-20,13.6478
2018-11-20,22.1696
2018-12-20,22.07
2019-01-20,22.1173
2019-02-20,21.4472
2019-03-20,21.273
2019-04-20,21.2596
2019-05-20,18.8932
2019-06-20,11.0204
2019-07-20,11.0161
2019-08-20,11.0327
2019-09-20,11.6834
2019-10-20,11.7014
2019-11-20,11.7515
2019-12-20,9.8043
2020-01-20,9.8179
2020-02-20,12.4108
2020-03-20,12.2293
2020-04-20,12.1306
2020-05-20,11.8143
2020-06-20,11.5841
2020-07-20,9.41
2020-08-20,8.4928
2020-09-20,8.6311
2020-10-20,8.4713
2020-11-20,8.4413
2020-12-20,9.4168
2021-01-20,9.4542
2021-02-20,9.5717
2021-03-20,11.4138
2021-04-20,11.3889
2021-05-20,11.6094
2021-06-20,10.8013
2021-07-20,10.6909
2021-08-20,10.7431
2021-09-20,12.5155
2021-10-20,12.5137
2021-11-20,12.6651
2021-12-20,13.3847
2022-01-20,13.3874
2022-02-20,13.3742
2022-03-20,14.0164
2022-04-20,14.1772
2022-05-20,14.1285
2022-06-20,14.7681
2022-07-20,14.7681
2022-08-20,14.7921
2022-09-20,14.9285
2022-10-20,14.9264
2022-11-20,14.809
2022-12-20,14.9638
2023-01-20,14.9572
2023-02-20,14.8597
2023-03-20,14.4144
2023-04-20,14.3797
2023-05-20,14.298
2023-06-20,13.2572
2023-07-20,13.3242
2023-08-20,13.3195
2023-09-20,14.4434
2023-10-20,14.4489
2023-11-20,14.4569
2023-12-20,14.7515
2024-01-20,14.7603
2024-02-20,14.7989
2024-03-20,15.5609
2024-04-20,15.5486
2024-05-20,15.4953
2024-06-20,15.2108
2024-07-20,15.1969
2024-08-20,15.3008
2024-09-20,15.6061
2024-10-20,15.6035
2024-11-20,15.5458
2024-12-20,15.4
2025-01-20,15.4236
2025-02-20,15.2802
2025-03-20,15.579
2025-04-20,15.5859
2025-05-20,15.4509
2025-06-20,14.6122
2025-07-20,14.6113
2025-08-20,14.6183
2025-09-20,14.7453
2025-10-20,14.7453
2025-11-20,14.7381
2025-12-20,16.0873
2026-01-20,16.0873
2026-02-20,16.0666
2026-03-20,16.0205
2026-04-20,15.9323
