date,div_yield
2004-01-20,3.0552
2004-02-20,3.0134
2004-03-20,3.3696
2004-04-20,2.9759
2004-05-20,3.2935
2004-06-20,3.4679
2004-07-20,3.8114
2004-08-20,2.8526
2004-09-20,3.5518
2004-10-20,3.4121
2004-11-20,3.0912
2004-12-20,3.6334
2005-01-20,2.6665
2005-02-20,2.5435
2005-03-20,2.4508
2005-04-20,2.6233
2005-05-20,1.9753
2005-06-20,2.0814
2005-07-20,3.1197
2005-08-20,3.4515
2005-09-20,3.4733
2005-10-20,3.4309
2005-11-20,3.465
2005-12-20,3.124
2006-01-20,2.8977
2006-02-20,2.6962
2006-03-20,2.4641
2006-04-20,2.184
2006-05-20,2.3662
2006-06-20,2.5723
2006-07-20,2.6338
2006-08-20,2.6396
2006-09-20,2.5326
2006-10-20,2.4125
2006-11-20,2.2498
2006-12-20,2.1636
2007-01-20,2.2841
2007-02-20,2.306
2007-03-20,2.3588
2007-04-20,2.1208
2007-05-20,2.2488
2007-06-20,2.3163
2007-07-20,2.2872
2007-08-20,2.678
2007-09-20,2.4689
2007-10-20,2.152
2007-11-20,2.1559
2007-12-20,2.3946
2008-01-20,2.4761
2008-02-20,2.2782
2008-03-20,2.6973
2008-04-20,2.2671
2008-05-20,1.9613
2008-06-20,2.3889
2008-07-20,2.89
2008-08-20,3.3598
2008-09-20,3.6345
2008-10-20,4.6727
2008-11-20,6.4392
2008-12-20,4.8948
2009-01-20,5.0043
2009-02-20,5.2969
2009-03-20,4.8674
2009-04-20,3.9795
2009-05-20,3.5763
2009-06-20,3.1724
2009-07-20,2.8725
2009-08-20,2.6465
2009-09-20,2.4333
2009-10-20,2.2105
2009-11-20,2.223
2009-12-20,2.2672
2010-01-20,2.1602
2010-02-20,2.277
2010-03-20,2.1292
2010-04-20,2.1019
2010-05-20,2.3653
2010-06-20,2.3289
2010-07-20,2.8005
2010-08-20,2.6127
2010-09-20,2.4197
2010-10-20,2.3482
2010-11-20,2.3196
2010-12-20,2.3542
2011-01-20,2.3854
2011-02-20,2.2839
2011-03-20,2.2649
2011-04-20,2.0067
2011-05-20,1.9699
2011-06-20,2.5839
2011-07-20,2.0843
2011-08-20,2.3621
2011-09-20,2.4551
2011-10-20,2.5007
2011-11-20,2.4275
2011-12-20,2.4819
2012-01-20,2.2909
2012-02-20,2.2921
2012-03-20,2.2898
2012-04-20,2.2312
2012-05-20,2.6604
2012-06-20,2.5156
2012-07-20,2.4876
2012-08-20,2.2653
2012-09-20,2.2531
2012-10-20,2.1913
2012-11-20,2.236
2012-12-20,2.2002
2013-01-20,2.0115
2013-02-20,1.943
2013-03-20,1.8672
2013-04-20,1.8947
2013-05-20,1.977
2013-06-20,2.5593
2013-07-20,2.4928
2013-08-20,2.8392
2013-09-20,2.5003
2013-10-20,2.4895
2013-11-20,2.6172
2013-12-20,2.744
2014-01-20,2.546
2014-02-20,2.443
2014-03-20,2.4007
2014-04-20,2.3045
2014-05-20,2.3653
2014-06-20,2.513
2014-07-20,2.3201
2014-08-20,2.3091
2014-09-20,2.2774
2014-10-20,2.3942
2014-11-20,2.3484
2014-12-20,2.3387
2015-01-20,2.3158
2015-02-20,2.1872
2015-03-20,2.166
2015-04-20,2.1396
2015-05-20,2.2279
2015-06-20,2.4209
2015-07-20,2.4892
2015-08-20,2.7181
2015-09-20,2.7533
2015-10-20,2.5728
2015-11-20,2.5742
2015-12-20,2.6268
2016-01-20,2.6524
2016-02-20,2.4935
2016-03-20,2.4474
2016-04-20,2.3706
2016-05-20,2.0257
2016-06-20,1.9209
2016-07-20,1.8001
2016-08-20,1.7488
2016-09-20,1.7887
2016-10-20,1.7148
2016-11-20,1.8238
2016-12-20,1.8809
2017-01-20,1.8366
2017-02-20,1.8004
2017-03-20,1.7275
2017-04-20,1.8873
2017-05-20,2.4141
2017-06-20,2.5325
2017-07-20,2.4778
2017-08-20,2.4661
2017-09-20,2.4847
2017-10-20,2.4874
2017-11-20,2.438
2017-12-20,2.44
2018-01-20,2.3061
2018-02-20,2.2503
2018-03-20,2.4376
2018-04-20,2.6308
2018-05-20,2.9276
2018-06-20,2.7822
2018-07-20,2.8094
2018-08-20,2.7763
2018-09-20,2.7269
2018-10-20,2.7946
2018-11-20,2.6367
2018-12-20,2.5539
2019-01-20,2.4067
2019-02-20,2.4658
2019-03-20,2.467
2019-04-20,2.4278
2019-05-20,2.3711
2019-06-20,2.6741
2019-07-20,2.6186
2019-08-20,2.7524
2019-09-20,2.7596
2019-10-20,2.7821
2019-11-20,2.7015
2019-12-20,2.6196
2020-01-20,2.6284
2020-02-20,2.7598
2020-03-20,4.595
2020-04-20,4.2122
2020-05-20,4.4719
2020-06-20,3.7968
2020-07-20,3.5379
2020-08-20,3.4448
2020-09-20,3.6564
2020-10-20,3.5649
2020-11-20,3.1643
2020-12-20,2.9058
2021-01-20,2.7806
2021-02-20,2.9685
2021-03-20,2.8562
2021-04-20,2.5001
2021-05-20,2.5751
2021-06-20,2.7143
2021-07-20,2.7965
2021-08-20,2.6203
2021-09-20,2.6281
2021-10-20,2.3207
2021-11-20,2.3637
2021-12-20,2.3831
2022-01-20,2.4736
2022-02-20,2.3886
2022-03-20,2.5409
2022-04-20,2.8146
2022-05-20,3.1097
2022-06-20,2.9852
2022-07-20,3.0076
2022-08-20,2.8738
2022-09-20,2.7697
2022-10-20,2.8829
2022-11-20,2.851
