date,ebitda_margin
2004-01-20,22.7522
2004-02-20,22.7522
2004-03-20,28.3265
2004-04-20,30.911
2004-05-20,27.4815
2004-06-20,24.1316
2004-07-20,24.1316
2004-08-20,24.1316
2004-09-20,27.4622
2004-10-20,27.4622
2004-11-20,30.9883
2004-12-20,27.7927
2005-01-20,27.7927
2005-02-20,27.7927
2005-03-20,28.3233
2005-04-20,28.9766
2005-05-20,23.7327
2005-06-20,30.3464
2005-07-20,30.3464
2005-08-20,30.3464
2005-09-20,30.904
2005-10-20,30.8966
2005-11-20,31.6178
2005-12-20,30.1562
2006-01-20,30.1562
2006-02-20,30.3618
2006-03-20,30.3696
2006-04-20,29.8537
2006-05-20,30.8618
2006-06-20,30.3083
2006-07-20,30.2368
2006-08-20,30.1274
2006-09-20,31.882
2006-10-20,31.9397
2006-11-20,33.3352
2006-12-20,33.0818
2007-01-20,33.1778
2007-02-20,33.1964
2007-03-20,33.2163
2007-04-20,32.5451
2007-05-20,32.167
2007-06-20,31.7448
2007-07-20,31.6733
2007-08-20,31.6531
2007-09-20,32.227
2007-10-20,32.6702
2007-11-20,33.3137
2007-12-20,33.4105
2008-01-20,33.409
2008-02-20,33.3965
2008-03-20,33.3965
2008-04-20,33.3965
2008-05-20,33.3348
2008-06-20,33.3182
2008-07-20,33.3091
2008-08-20,33.3041
2008-09-20,33.8408
2008-10-20,33.7727
2008-11-20,36.6651
2008-12-20,36.076
2009-01-20,36.0516
2009-02-20,36.0409
2009-03-20,35.926
2009-04-20,35.926
2009-05-20,35.835
2009-06-20,34.9158
2009-07-20,34.9126
2009-08-20,34.9168
2009-09-20,33.4312
2009-10-20,33.4312
2009-11-20,33.2912
2009-12-20,33.5487
2010-01-20,33.5812
2010-02-20,33.5812
2010-03-20,33.5812
2010-04-20,34.02
2010-05-20,31.7804
2010-06-20,31.4884
2010-07-20,31.8409
2010-08-20,31.8409
2010-09-20,31.989
2010-10-20,32.0062
2010-11-20,32.485
2010-12-20,32.3596
2011-01-20,31.3475
2011-02-20,31.3382
2011-03-20,31.3404
2011-04-20,32.5019
2011-05-20,31.9873
2011-06-20,31.8437
2011-07-20,32.4378
2011-08-20,32.7543
2011-09-20,32.5498
2011-10-20,32.529
2011-11-20,32.7967
2011-12-20,32.1726
2012-01-20,32.1709
2012-02-20,32.1802
2012-03-20,32.2522
2012-04-20,31.9389
2012-05-20,30.9009
2012-06-20,30.8034
2012-07-20,30.7906
2012-08-20,30.8406
2012-09-20,30.7604
2012-10-20,30.7626
2012-11-20,32.0085
2012-12-20,31.7765
2013-01-20,31.8722
2013-02-20,30.5726
2013-03-20,30.6142
2013-04-20,29.6869
2013-05-20,30.4333
2013-06-20,30.6161
2013-07-20,30.5899
2013-08-20,28.3163
2013-09-20,28.0092
2013-10-20,28.0021
2013-11-20,28.1885
2013-12-20,28.2085
2014-01-20,28.2124
2014-02-20,28.2162
2014-03-20,28.3911
2014-04-20,27.5587
2014-05-20,28.4059
2014-06-20,28.3581
2014-07-20,28.3279
2014-08-20,27.9996
2014-09-20,28.3385
2014-10-20,28.3375
2014-11-20,28.2992
2014-12-20,28.2875
2015-01-20,28.2863
2015-02-20,28.0773
2015-03-20,28.0777
2015-04-20,28.2531
2015-05-20,28.7143
2015-06-20,28.6827
2015-07-20,28.6785
2015-08-20,27.585
2015-09-20,27.4825
2015-10-20,27.3563
2015-11-20,27.8012
2015-12-20,27.9697
2016-01-20,27.9574
2016-02-20,27.9438
2016-03-20,28.0742
2016-04-20,26.9131
2016-05-20,26.4036
2016-06-20,26.181
2016-07-20,26.181
2016-08-20,25.5415
2016-09-20,25.7054
2016-10-20,25.6247
2016-11-20,26.0478
2016-12-20,26.1292
2017-01-20,26.1292
2017-02-20,26.1292
2017-03-20,26.1292
2017-04-20,27.5594
2017-05-20,27.9125
2017-06-20,27.8827
2017-07-20,27.8815
2017-08-20,27.7444
2017-09-20,27.3149
2017-10-20,27.4032
2017-11-20,28.4367
2017-12-20,28.3926
2018-01-20,28.3821
2018-02-20,28.1952
2018-03-20,28.3069
2018-04-20,28.3557
2018-05-20,29.6237
2018-06-20,29.4517
2018-07-20,29.4468
2018-08-20,29.5177
2018-09-20,29.3496
2018-10-20,29.3496
2018-11-20,31.0691
2018-12-20,31.2545
2019-01-20,31.2575
2019-02-20,31.2412
2019-03-20,31.2416
2019-04-20,31.8226
2019-05-20,33.3828
2019-06-20,33.0983
2019-07-20,33.0413
2019-08-20,33.7743
2019-09-20,33.4191
2019-10-20,33.5952
2019-11-20,33.2075
2019-12-20,32.4382
2020-01-20,31.796
2020-02-20,31.7434
2020-03-20,32.0505
2020-04-20,34.0884
2020-05-20,34.2977
2020-06-20,34.3837
2020-07-20,35.1925
2020-08-20,35.1283
2020-09-20,35.7346
2020-10-20,35.5358
2020-11-20,35.4694
2020-12-20,35.7714
2021-01-20,35.7714
2021-02-20,35.7714
2021-03-20,35.7714
2021-04-20,36.2136
2021-05-20,36.318
2021-06-20,38.0914
2021-07-20,36.8172
2021-08-20,36.8096
2021-09-20,37.6288
2021-10-20,37.4542
2021-11-20,37.4542
2021-12-20,36.1935
2022-01-20,37.0452
2022-02-20,37.0452
2022-03-20,37.0452
2022-04-20,34.6949
2022-05-20,35.5683
2022-06-20,34.9025
2022-07-20,34.7911
2022-08-20,32.2266
2022-09-20,31.9598
2022-10-20,31.9227
2022-11-20,31.9619
2022-12-20,30.999
2023-01-20,30.8911
2023-02-20,30.8911
2023-03-20,30.8911
2023-04-20,31.7533
2023-05-20,30.6695
2023-06-20,30.7493
2023-07-20,30.6636
2023-08-20,30.7613
2023-09-20,30.7613
2023-10-20,30.7613
2023-11-20,30.7613
2023-12-20,30.7613
2024-01-20,30.7613
2024-02-20,30.7613
2024-03-20,30.7613
2024-04-20,30.7613
2024-05-20,30.7613
2024-06-20,30.7613
2024-07-20,30.7613
2024-08-20,30.7613
2024-09-20,30.7613
2024-10-20,30.7613
2024-11-20,30.7613
2024-12-20,30.7613
2025-01-20,30.7613
2025-02-20,30.7613
2025-03-20,30.7613
2025-04-20,30.7613
2025-05-20,30.7613
2025-06-20,30.7613
2025-07-20,30.7613
2025-08-20,30.7613
2025-09-20,30.7613
2025-10-20,30.7613
2025-11-20,30.7613
2025-12-20,30.7613
2026-01-20,30.7613
2026-02-20,30.7613
2026-03-20,30.7613
2026-04-20,25.8221
