date,ev_ebit
2004-01-20,6.9026
2004-02-20,6.9026
2004-03-20,6.9026
2004-04-20,7.0373
2004-05-20,6.9271
2004-06-20,6.5679
2004-07-20,6.5679
2004-08-20,6.5679
2004-09-20,6.2011
2004-10-20,6.2011
2004-11-20,6.8259
2004-12-20,6.228
2005-01-20,6.228
2005-02-20,6.228
2005-03-20,6.2287
2005-04-20,6.2256
2005-05-20,7.1839
2005-06-20,7.4833
2005-07-20,7.4833
2005-08-20,7.4833
2005-09-20,7.1285
2005-10-20,7.1347
2005-11-20,7.3425
2005-12-20,6.5861
2006-01-20,6.5861
2006-02-20,6.6035
2006-03-20,6.6035
2006-04-20,6.5333
2006-05-20,8.118
2006-06-20,8.5303
2006-07-20,8.5303
2006-08-20,8.5303
2006-09-20,8.6138
2006-10-20,8.6138
2006-11-20,9.3828
2006-12-20,9.7951
2007-01-20,9.7951
2007-02-20,9.7951
2007-03-20,9.7951
2007-04-20,10.4305
2007-05-20,10.5551
2007-06-20,9.867
2007-07-20,9.867
2007-08-20,9.867
2007-09-20,9.8602
2007-10-20,9.6672
2007-11-20,10.9099
2007-12-20,10.8729
2008-01-20,10.8729
2008-02-20,10.8729
2008-03-20,10.8729
2008-04-20,10.8729
2008-05-20,11.7236
2008-06-20,10.3593
2008-07-20,10.3597
2008-08-20,10.3646
2008-09-20,9.5625
2008-10-20,9.5625
2008-11-20,6.5657
2008-12-20,7.0509
2009-01-20,7.0509
2009-02-20,7.0509
2009-03-20,7.0375
2009-04-20,7.0375
2009-05-20,5.2299
2009-06-20,5.3622
2009-07-20,5.3622
2009-08-20,5.3622
2009-09-20,7.6569
2009-10-20,7.6569
2009-11-20,9.9365
2009-12-20,10.0512
2010-01-20,10.0272
2010-02-20,10.0272
2010-03-20,10.0272
2010-04-20,9.0827
2010-05-20,10.3002
2010-06-20,10.3088
2010-07-20,10.6287
2010-08-20,10.6287
2010-09-20,10.4717
2010-10-20,10.4652
2010-11-20,11.161
2010-12-20,11.2425
2011-01-20,11.6826
2011-02-20,11.6976
2011-03-20,11.6909
2011-04-20,10.5023
2011-05-20,9.7287
2011-06-20,9.5876
2011-07-20,9.8227
2011-08-20,9.9619
2011-09-20,10.0237
2011-10-20,10.039
2011-11-20,8.6133
2011-12-20,8.6711
2012-01-20,8.6685
2012-02-20,8.6657
2012-03-20,8.6646
2012-04-20,8.8166
2012-05-20,9.2994
2012-06-20,9.3794
2012-07-20,9.3913
2012-08-20,8.7869
2012-09-20,9.0275
2012-10-20,9.0328
2012-11-20,9.6684
2012-12-20,9.6831
2013-01-20,9.6831
2013-02-20,9.9173
