date,ev_ebitda
2004-01-20,5.9161
2004-02-20,5.9161
2004-03-20,4.7415
2004-04-20,4.9383
2004-05-20,5.7798
2004-06-20,5.5922
2004-07-20,5.5922
2004-08-20,5.5922
2004-09-20,4.7476
2004-10-20,4.7476
2004-11-20,4.9834
2004-12-20,4.8562
2005-01-20,4.8562
2005-02-20,4.8562
2005-03-20,4.8562
2005-04-20,4.8205
2005-05-20,6.0334
2005-06-20,5.9157
2005-07-20,5.9157
2005-08-20,5.9157
2005-09-20,5.6569
2005-10-20,5.6632
2005-11-20,5.2099
2005-12-20,5.0439
2006-01-20,5.0439
2006-02-20,5.0551
2006-03-20,5.0538
2006-04-20,4.9077
2006-05-20,5.5165
2006-06-20,5.6104
2006-07-20,5.6233
2006-08-20,5.644
2006-09-20,5.549
2006-10-20,5.5399
2006-11-20,6.0867
2006-12-20,6.1491
2007-01-20,6.1313
2007-02-20,6.1279
2007-03-20,6.1242
2007-04-20,6.9519
2007-05-20,7.177
2007-06-20,6.8605
2007-07-20,6.876
2007-08-20,6.8803
2007-09-20,6.9777
2007-10-20,6.8424
2007-11-20,7.7775
2007-12-20,7.6024
2008-01-20,7.6027
2008-02-20,7.6056
2008-03-20,7.6056
2008-04-20,7.6056
2008-05-20,8.8443
2008-06-20,7.9013
2008-07-20,7.9034
2008-08-20,7.9076
2008-09-20,7.2796
2008-10-20,7.2943
2008-11-20,4.6103
2008-12-20,4.8554
2009-01-20,4.8587
2009-02-20,4.8602
2009-03-20,4.8727
2009-04-20,4.8727
2009-05-20,3.4948
2009-06-20,3.6407
2009-07-20,3.641
2009-08-20,3.6406
2009-09-20,5.2764
2009-10-20,5.2764
2009-11-20,6.9415
2009-12-20,6.9692
2010-01-20,6.9753
2010-02-20,6.9753
2010-03-20,6.9753
2010-04-20,6.5076
2010-05-20,7.454
2010-06-20,7.5031
2010-07-20,7.4129
2010-08-20,7.4129
2010-09-20,7.2917
2010-10-20,7.2877
2010-11-20,7.9145
2010-12-20,7.9484
2011-01-20,8.2435
2011-02-20,8.246
2011-03-20,8.2454
2011-04-20,7.718
2011-05-20,7.2994
2011-06-20,7.2705
2011-07-20,7.2287
2011-08-20,7.5149
2011-09-20,7.4499
2011-10-20,7.4528
2011-11-20,6.3361
2011-12-20,6.4508
2012-01-20,6.4511
2012-02-20,6.4493
2012-03-20,6.4425
2012-04-20,6.4941
2012-05-20,7.0597
2012-06-20,7.1085
2012-07-20,7.1114
2012-08-20,6.5989
2012-09-20,6.6481
2012-10-20,6.6476
2012-11-20,6.942
2012-12-20,6.9499
2013-01-20,6.9522
2013-02-20,7.2638
2013-03-20,7.2649
2013-04-20,7.2154
2013-05-20,8.1467
2013-06-20,8.3253
2013-07-20,8.3258
2013-08-20,8.4636
2013-09-20,8.5767
2013-10-20,8.5738
2013-11-20,7.1946
2013-12-20,7.5972
2014-01-20,7.5958
2014-02-20,7.594
2014-03-20,7.5143
2014-04-20,7.6795
2014-05-20,8.4853
2014-06-20,8.5396
2014-07-20,8.5487
2014-08-20,8.5488
2014-09-20,8.4789
2014-10-20,8.4792
2014-11-20,8.6996
2014-12-20,8.6924
2015-01-20,8.6933
2015-02-20,8.6953
2015-03-20,8.6955
2015-04-20,8.7045
2015-05-20,9.3133
2015-06-20,9.3393
2015-07-20,9.3412
2015-08-20,8.5254
2015-09-20,8.6086
2015-10-20,8.6444
2015-11-20,6.8443
2015-12-20,6.8246
2016-01-20,6.8277
2016-02-20,6.831
2016-03-20,6.7978
2016-04-20,8.4152
2016-05-20,9.3608
2016-06-20,9.3345
2016-07-20,9.3345
2016-08-20,9.8856
2016-09-20,9.8242
2016-10-20,9.8453
2016-11-20,10.4744
2016-12-20,10.4163
2017-01-20,10.4163
2017-02-20,10.4163
2017-03-20,10.4163
2017-04-20,8.9498
2017-05-20,9.2596
2017-06-20,9.2491
2017-07-20,9.2496
2017-08-20,9.6391
2017-09-20,9.7706
2017-10-20,9.7391
2017-11-20,9.1542
2017-12-20,9.1186
2018-01-20,9.1272
2018-02-20,9.1087
2018-03-20,9.0728
2018-04-20,9.601
2018-05-20,8.6443
2018-06-20,8.7108
2018-07-20,8.7122
2018-08-20,7.7953
2018-09-20,7.9062
2018-10-20,7.9062
2018-11-20,7.7386
2018-12-20,7.6992
2019-01-20,7.6992
2019-02-20,7.6992
2019-03-20,7.6992
2019-04-20,7.8531
2019-05-20,7.6382
2019-06-20,7.7143
2019-07-20,7.7163
2019-08-20,7.8086
2019-09-20,7.615
2019-10-20,7.5932
2019-11-20,7.1467
2019-12-20,7.1833
2020-01-20,7.3458
2020-02-20,7.3579
2020-03-20,7.2874
2020-04-20,7.2276
2020-05-20,7.1685
2020-06-20,7.1646
2020-07-20,4.8299
2020-08-20,4.8387
2020-09-20,5.1202
2020-10-20,5.1641
2020-11-20,5.1737
2020-12-20,4.9632
2021-01-20,4.9632
2021-02-20,4.9632
2021-03-20,4.9632
2021-04-20,6.5021
2021-05-20,6.5939
2021-06-20,6.0671
2021-07-20,6.123
2021-08-20,6.1252
2021-09-20,5.5381
2021-10-20,5.5422
2021-11-20,5.5422
2021-12-20,5.9931
2022-01-20,5.9998
2022-02-20,5.9998
2022-03-20,5.9998
2022-04-20,6.0058
2022-05-20,6.1008
2022-06-20,7.0135
2022-07-20,6.9844
2022-08-20,6.7724
2022-09-20,6.7602
2022-10-20,6.7694
2022-11-20,6.7861
2022-12-20,7.2439
2023-01-20,7.2604
2023-02-20,7.2604
2023-03-20,7.2621
2023-04-20,6.4093
2023-05-20,6.7246
2023-06-20,6.7097
2023-07-20,6.7218
2023-08-20,6.7218
2023-09-20,6.7218
2023-10-20,6.7218
2023-11-20,6.7218
2023-12-20,6.7218
2024-01-20,6.7218
2024-02-20,6.7218
2024-03-20,6.7218
2024-04-20,6.7218
2024-05-20,6.7218
2024-06-20,6.7218
2024-07-20,6.7218
2024-08-20,6.7218
2024-09-20,6.7218
2024-10-20,6.7218
2024-11-20,6.7218
2024-12-20,6.7218
2025-01-20,6.7218
2025-02-20,6.7218
2025-03-20,6.7218
2025-04-20,6.7218
2025-05-20,6.7218
2025-06-20,6.7218
2025-07-20,6.7218
2025-08-20,6.7218
2025-09-20,6.7218
2025-10-20,6.7218
2025-11-20,6.7218
2025-12-20,6.7218
2026-01-20,6.7218
2026-02-20,6.7218
2026-03-20,6.7218
2026-04-20,9.7691
