date,gross_margin
2006-04-20,39.6416
2006-05-20,39.6416
2006-06-20,39.6416
2006-07-20,39.6416
2006-08-20,39.6416
2006-09-20,39.6416
2006-10-20,39.6416
2006-11-20,39.6416
2006-12-20,39.6416
2007-01-20,39.6416
2007-02-20,39.6416
2007-03-20,39.6416
2007-04-20,39.6416
2007-05-20,39.6416
2007-06-20,39.6416
2007-07-20,39.6416
2007-08-20,39.6416
2007-09-20,39.6416
2007-10-20,39.6416
2007-11-20,39.6416
2007-12-20,41.4733
2008-01-20,41.4733
2008-02-20,41.4733
2008-03-20,41.4733
2008-04-20,41.4733
2008-05-20,36.6689
2008-06-20,37.0672
2008-07-20,36.8295
2008-08-20,36.8436
2008-09-20,33.8343
2008-10-20,33.8343
2008-11-20,29.3361
2008-12-20,42.6576
2009-01-20,42.6576
2009-02-20,42.6577
2009-03-20,42.6312
2009-04-20,42.6312
2009-05-20,41.4752
2009-06-20,41.4752
2009-07-20,41.4752
2009-08-20,41.4752
2009-09-20,41.6828
2009-10-20,41.6828
2009-11-20,41.6689
2009-12-20,36.4455
2010-01-20,38.6586
2010-02-20,38.6586
2010-03-20,38.6586
2010-04-20,39.059
2010-05-20,36.6804
2010-06-20,37.6751
2010-07-20,34.5439
2010-08-20,34.5439
2010-09-20,36.7008
2010-10-20,36.7008
2010-11-20,40.094
2010-12-20,40.1053
2011-01-20,40.106
2011-02-20,40.106
2011-03-20,40.106
2011-04-20,35.9392
2011-05-20,42.2946
2011-06-20,41.996
2011-07-20,42.5416
2011-08-20,35.2992
2011-09-20,36.3968
2011-10-20,36.3723
2011-11-20,40.6006
2011-12-20,40.5373
2012-01-20,40.5373
2012-02-20,40.5373
2012-03-20,40.5373
2012-04-20,34.8992
2012-05-20,36.3914
2012-06-20,36.3011
2012-07-20,36.3011
2012-08-20,42.7501
2012-09-20,42.6734
2012-10-20,42.6734
2012-11-20,44.5566
2012-12-20,44.2226
2013-01-20,44.3705
2013-02-20,44.3705
2013-03-20,44.3705
2013-04-20,32.7071
2013-05-20,40.4431
2013-06-20,40.4084
2013-07-20,40.3701
2013-08-20,35.6696
2013-09-20,35.6253
2013-10-20,35.7096
2013-11-20,40.0896
2013-12-20,40.834
2014-01-20,40.8321
2014-02-20,40.8282
2014-03-20,40.6572
2014-04-20,31.8757
2014-05-20,35.8592
2014-06-20,35.8011
2014-07-20,35.8008
2014-08-20,35.2231
2014-09-20,35.0954
2014-10-20,35.0954
2014-11-20,34.2504
2014-12-20,34.2694
2015-01-20,34.2713
2015-02-20,34.0259
2015-03-20,34.0272
2015-04-20,34.5999
2015-05-20,35.1721
2015-06-20,35.1845
2015-07-20,35.1865
2015-08-20,36.0552
2015-09-20,36.1115
2015-10-20,36.0893
2015-11-20,36.6886
2015-12-20,36.7141
2016-01-20,36.7141
2016-02-20,36.7141
2016-03-20,36.7141
2016-04-20,33.5107
2016-05-20,32.3119
2016-06-20,32.1575
2016-07-20,32.1575
2016-08-20,32.0706
2016-09-20,31.49
2016-10-20,31.4427
2016-11-20,35.0511
2016-12-20,33.4131
2017-01-20,33.4131
2017-02-20,33.4131
2017-03-20,33.4131
2017-04-20,33.82
2017-05-20,33.1618
2017-06-20,33.1977
2017-07-20,33.1982
2017-08-20,33.7275
2017-09-20,33.5285
2017-10-20,33.5285
2017-11-20,33.6399
2017-12-20,33.495
2018-01-20,33.4946
2018-02-20,33.3059
2018-03-20,33.3059
2018-04-20,36.1545
2018-05-20,39.4544
2018-06-20,39.3246
2018-07-20,39.3246
2018-08-20,37.6415
2018-09-20,38.2137
2018-10-20,38.2137
2018-11-20,38.7099
2018-12-20,38.7076
2019-01-20,38.7113
2019-02-20,38.6911
2019-03-20,38.6917
2019-04-20,40.6317
2019-05-20,41.2084
2019-06-20,41.3138
2019-07-20,41.3138
2019-08-20,41.6355
2019-09-20,41.3201
2019-10-20,41.4379
2019-11-20,42.1089
2019-12-20,41.1466
2020-01-20,41.2364
2020-02-20,41.2364
2020-03-20,41.2364
2020-04-20,38.6025
2020-05-20,40.5863
2020-06-20,40.6412
2020-07-20,39.0186
2020-08-20,39.0186
2020-09-20,44.2597
2020-10-20,44.333
2020-11-20,44.333
2020-12-20,46.228
2021-01-20,46.228
2021-02-20,46.228
2021-03-20,46.228
2021-04-20,42.2398
2021-05-20,42.0954
2021-06-20,49.1473
2021-07-20,47.971
2021-08-20,47.9787
2021-09-20,48.2241
2021-10-20,48.0003
2021-11-20,48.0003
2021-12-20,45.5028
2022-01-20,46.5736
2022-02-20,46.5736
2022-03-20,46.5736
2022-04-20,45.2076
2022-05-20,46.3456
2022-06-20,45.0691
2022-07-20,44.9253
2022-08-20,41.5605
2022-09-20,41.2165
2022-10-20,41.1687
2022-11-20,41.2192
2022-12-20,39.5014
2023-01-20,39.3639
2023-02-20,39.3639
2023-03-20,39.3639
2023-04-20,38.4351
2023-05-20,37.1232
2023-06-20,37.2198
2023-07-20,37.1161
2023-08-20,37.2343
2023-09-20,37.2343
2023-10-20,37.2343
2023-11-20,37.2343
2023-12-20,37.2343
2024-01-20,37.2343
2024-02-20,37.2343
2024-03-20,37.2343
2024-04-20,37.2343
2024-05-20,37.2343
2024-06-20,37.2343
2024-07-20,37.2343
2024-08-20,37.2343
2024-09-20,37.2343
2024-10-20,37.2343
2024-11-20,37.2343
2024-12-20,37.2343
2025-01-20,37.2343
2025-02-20,37.2343
2025-03-20,37.2343
2025-04-20,37.2343
2025-05-20,37.2343
2025-06-20,37.2343
2025-07-20,37.2343
2025-08-20,37.2343
2025-09-20,37.2343
2025-10-20,37.2343
2025-11-20,37.2343
2025-12-20,37.2343
2026-01-20,37.2343
2026-02-20,37.2343
2026-03-20,37.2343
2026-04-20,37.2343
