date,oper_margin
2004-01-20,19.5005
2004-02-20,19.5005
2004-03-20,19.4579
2004-04-20,21.6912
2004-05-20,22.9298
2004-06-20,20.5466
2004-07-20,20.5466
2004-08-20,20.5466
2004-09-20,21.0254
2004-10-20,21.0254
2004-11-20,22.6236
2004-12-20,21.6708
2005-01-20,21.6708
2005-02-20,21.6708
2005-03-20,22.0819
2005-04-20,22.4369
2005-05-20,19.9319
2005-06-20,23.9896
2005-07-20,23.9896
2005-08-20,23.9896
2005-09-20,24.5243
2005-10-20,24.5243
2005-11-20,22.4345
2005-12-20,23.095
2006-01-20,23.095
2006-02-20,23.2428
2006-03-20,23.2428
2006-04-20,22.4256
2006-05-20,20.9721
2006-06-20,19.934
2006-07-20,19.9327
2006-08-20,19.9338
2006-09-20,20.5382
2006-10-20,20.5415
2006-11-20,21.625
2006-12-20,20.7679
2007-01-20,20.7679
2007-02-20,20.7679
2007-03-20,20.7679
2007-04-20,21.6912
2007-05-20,21.8721
2007-06-20,22.072
2007-07-20,22.072
2007-08-20,22.072
2007-09-20,22.8059
2007-10-20,23.1236
2007-11-20,23.7488
2007-12-20,23.3609
2008-01-20,23.3609
2008-02-20,23.3609
2008-03-20,23.3609
2008-04-20,23.3609
2008-05-20,25.148
2008-06-20,25.4126
2008-07-20,25.4116
2008-08-20,25.4092
2008-09-20,25.7617
2008-10-20,25.7617
2008-11-20,25.7455
2008-12-20,24.8428
2009-01-20,24.8428
2009-02-20,24.8429
2009-03-20,24.8748
2009-04-20,24.8748
2009-05-20,23.9462
2009-06-20,23.7063
2009-07-20,23.7063
2009-08-20,23.7063
2009-09-20,23.0377
2009-10-20,23.0377
2009-11-20,23.2567
2009-12-20,23.2617
2010-01-20,23.3606
2010-02-20,23.3606
2010-03-20,23.3606
2010-04-20,24.3748
2010-05-20,22.9987
2010-06-20,22.9183
2010-07-20,22.2072
2010-08-20,22.2072
2010-09-20,22.2747
2010-10-20,22.2883
2010-11-20,23.0356
2010-12-20,22.8781
2011-01-20,22.1195
2011-02-20,22.0911
2011-03-20,22.1039
2011-04-20,23.8852
2011-05-20,24.0
2011-06-20,24.148
2011-07-20,23.8717
2011-08-20,24.7085
2011-09-20,24.192
2011-10-20,24.149
2011-11-20,24.1259
2011-12-20,23.9345
2012-01-20,23.9416
2012-02-20,23.9494
2012-03-20,23.9812
2012-04-20,23.5254
2012-05-20,23.4585
2012-06-20,23.3452
2012-07-20,23.3157
2012-08-20,23.1613
2012-09-20,22.6527
2012-10-20,22.6395
2012-11-20,22.9825
2012-12-20,22.8069
2013-01-20,22.8833
2013-02-20,22.3925
2013-03-20,22.4134
2013-04-20,22.5189
2013-05-20,22.1805
2013-06-20,22.1823
2013-07-20,22.1556
2013-08-20,21.6619
