date,pb
2004-01-20,2.2804
2004-02-20,2.5232
2004-03-20,2.5257
2004-04-20,2.749
2004-05-20,2.4186
2004-06-20,2.2077
2004-07-20,2.2093
2004-08-20,2.2878
2004-09-20,2.3279
2004-10-20,2.5576
2004-11-20,2.6452
2004-12-20,2.9577
2005-01-20,3.0338
2005-02-20,3.1668
2005-03-20,3.2236
2005-04-20,3.266
2005-05-20,2.6543
2005-06-20,3.0133
2005-07-20,3.1421
2005-08-20,3.3541
2005-09-20,2.8357
2005-10-20,2.9098
2005-11-20,2.7105
2005-12-20,2.7927
2006-01-20,2.9833
2006-02-20,3.1948
2006-03-20,3.1553
2006-04-20,3.4562
2006-05-20,3.5009
2006-06-20,3.1291
2006-07-20,3.1033
2006-08-20,3.1926
2006-09-20,3.5658
2006-10-20,3.8037
2006-11-20,3.7195
2006-12-20,3.9842
2007-01-20,4.1107
2007-02-20,3.9614
2007-03-20,3.8364
2007-04-20,3.9285
2007-05-20,4.2269
2007-06-20,4.0735
2007-07-20,4.2219
2007-08-20,4.6837
2007-09-20,4.3362
2007-10-20,4.6987
2007-11-20,5.3676
2007-12-20,5.2332
2008-01-20,5.3067
2008-02-20,5.1215
2008-03-20,5.4487
2008-04-20,4.8651
2008-05-20,4.5098
2008-06-20,4.4677
2008-07-20,4.2651
2008-08-20,4.163
2008-09-20,4.2769
2008-10-20,3.4892
2008-11-20,2.1765
2008-12-20,2.0383
2009-01-20,2.2953
2009-02-20,2.2022
2009-03-20,2.1061
2009-04-20,2.4578
2009-05-20,2.9717
2009-06-20,2.9757
2009-07-20,3.1166
2009-08-20,3.7286
2009-09-20,3.854
2009-10-20,4.1296
2009-11-20,3.7316
2009-12-20,3.8184
2010-01-20,3.9916
2010-02-20,4.0528
2010-03-20,3.8983
2010-04-20,3.9728
2010-05-20,4.0644
2010-06-20,3.8284
2010-07-20,3.9574
2010-08-20,4.1138
2010-09-20,4.2089
2010-10-20,4.7383
2010-11-20,4.5628
2010-12-20,4.2995
2011-01-20,4.4574
2011-02-20,4.0308
2011-03-20,4.1661
2011-04-20,4.1678
2011-05-20,4.1477
2011-06-20,4.0161
2011-07-20,4.1778
2011-08-20,4.3722
2011-09-20,4.1307
2011-10-20,3.769
2011-11-20,3.8068
2011-12-20,3.7447
2012-01-20,3.8485
2012-02-20,3.9635
2012-03-20,3.9326
2012-04-20,3.8215
2012-05-20,3.6355
2012-06-20,3.2559
2012-07-20,3.3964
2012-08-20,3.6668
2012-09-20,3.6414
2012-10-20,3.8466
2012-11-20,3.7445
2012-12-20,3.5782
2013-01-20,3.652
2013-02-20,3.8362
2013-03-20,4.1824
2013-04-20,3.9845
2013-05-20,3.9365
2013-06-20,3.7644
2013-07-20,3.6305
2013-08-20,3.3091
2013-09-20,3.0016
2013-10-20,3.2011
2013-11-20,3.3396
2013-12-20,3.1354
2014-01-20,3.1615
2014-02-20,3.3069
2014-03-20,3.4662
2014-04-20,3.3957
2014-05-20,3.3439
2014-06-20,3.4189
2014-07-20,3.4277
2014-08-20,3.5103
2014-09-20,3.5416
2014-10-20,3.5755
2014-11-20,3.4026
2014-12-20,3.4539
2015-01-20,3.4863
2015-02-20,3.5242
2015-03-20,3.6735
2015-04-20,3.5864
2015-05-20,3.086
2015-06-20,3.2142
2015-07-20,3.0036
2015-08-20,2.948
2015-09-20,2.8106
2015-10-20,2.5489
2015-11-20,2.6414
2015-12-20,2.6516
2016-01-20,2.7756
2016-02-20,2.8195
2016-03-20,2.9051
2016-04-20,2.9465
2016-05-20,2.8065
2016-06-20,2.7758
2016-07-20,2.9305
2016-08-20,2.9708
2016-09-20,3.0366
2016-10-20,3.0453
2016-11-20,2.943
2016-12-20,2.6614
2017-01-20,2.7838
2017-02-20,2.7605
2017-03-20,2.822
2017-04-20,2.8737
2017-05-20,2.9029
2017-06-20,2.9421
2017-07-20,3.0157
2017-08-20,3.0785
2017-09-20,3.0054
2017-10-20,3.0103
2017-11-20,2.9059
2017-12-20,2.887
2018-01-20,3.1431
2018-02-20,3.1854
2018-03-20,3.1716
2018-04-20,2.904
2018-05-20,2.7273
2018-06-20,2.666
2018-07-20,2.5422
2018-08-20,2.6335
2018-09-20,2.7208
2018-10-20,2.7093
2018-11-20,2.5411
2018-12-20,2.6901
2019-01-20,2.7256
2019-02-20,2.8758
2019-03-20,2.763
2019-04-20,2.7284
2019-05-20,2.6498
2019-06-20,2.5433
2019-07-20,2.6254
2019-08-20,2.7514
2019-09-20,2.6672
2019-10-20,2.5908
2019-11-20,2.5286
2019-12-20,2.4599
2020-01-20,2.5903
2020-02-20,2.4771
2020-03-20,2.2687
2020-04-20,1.7864
2020-05-20,1.8202
2020-06-20,1.856
2020-07-20,1.9301
2020-08-20,2.057
2020-09-20,2.2308
2020-10-20,1.9901
2020-11-20,2.1245
2020-12-20,2.2914
2021-01-20,2.4058
2021-02-20,2.3361
2021-03-20,2.4052
2021-04-20,2.2958
2021-05-20,2.2917
2021-06-20,2.2734
2021-07-20,2.1438
2021-08-20,2.0941
2021-09-20,2.2762
2021-10-20,2.3583
2021-11-20,2.5274
2021-12-20,2.3554
2022-01-20,2.3692
2022-02-20,2.4018
2022-03-20,2.531
2022-04-20,2.4861
2022-05-20,2.5944
2022-06-20,2.5933
2022-07-20,2.3887
2022-08-20,2.4913
2022-09-20,2.5805
2022-10-20,2.6154
2022-11-20,2.6826
2022-12-20,2.6148
2023-01-20,2.48
2023-02-20,2.4577
2023-03-20,2.4763
2023-04-20,2.3698
2023-05-20,2.481
2023-06-20,2.4273
2023-07-20,2.4117
2023-08-20,2.4567
2023-09-20,2.3695
2023-10-20,2.3257
2023-11-20,2.1072
2023-12-20,2.1951
2024-01-20,2.2681
2024-02-20,2.2772
2024-03-20,2.3412
2024-04-20,2.4844
2024-05-20,2.3492
2024-06-20,2.1732
2024-07-20,2.2367
2024-08-20,2.4111
2024-09-20,2.5055
2024-10-20,2.4802
2024-11-20,2.3766
2024-12-20,2.2049
2025-01-20,2.1538
2025-02-20,2.1578
2025-03-20,1.8471
2025-04-20,1.9212
2025-05-20,2.0826
2025-06-20,2.2303
2025-07-20,2.095
2025-08-20,2.074
2025-09-20,2.0914
2025-10-20,2.0842
2025-11-20,2.3248
2025-12-20,2.3548
2026-01-20,2.3315
2026-02-20,2.2313
2026-03-20,2.2033
2026-04-20,2.0704
