date,pe
2004-01-20,11.1512
2004-02-20,12.3386
2004-03-20,12.2937
2004-04-20,10.1279
2004-05-20,9.8664
2004-06-20,9.5094
2004-07-20,9.5163
2004-08-20,9.8544
2004-09-20,9.3671
2004-10-20,10.2913
2004-11-20,9.75
2004-12-20,11.4392
2005-01-20,11.7333
2005-02-20,12.2479
2005-03-20,12.4068
2005-04-20,12.0176
2005-05-20,10.546
2005-06-20,11.6303
2005-07-20,12.1274
2005-08-20,12.9257
2005-09-20,10.6464
2005-10-20,10.9338
2005-11-20,11.2152
2005-12-20,11.2745
2006-01-20,12.044
2006-02-20,12.9864
2006-03-20,12.8259
2006-04-20,14.0883
2006-05-20,15.4654
2006-06-20,2.8764
2006-07-20,2.854
2006-08-20,2.9495
2006-09-20,3.0122
2006-10-20,3.2134
2006-11-20,3.102
2006-12-20,3.4025
2007-01-20,3.5094
2007-02-20,3.3841
2007-03-20,3.2814
2007-04-20,16.3982
2007-05-20,17.4585
2007-06-20,17.006
2007-07-20,17.5352
2007-08-20,19.4431
2007-09-20,16.7079
2007-10-20,18.044
2007-11-20,20.3634
2007-12-20,20.1973
2008-01-20,20.2582
2008-02-20,19.5975
2008-03-20,20.6525
2008-04-20,18.2795
2008-05-20,15.0158
2008-06-20,15.1987
2008-07-20,14.5453
2008-08-20,14.2051
2008-09-20,14.4684
2008-10-20,11.8186
2008-11-20,8.1623
2008-12-20,7.872
2009-01-20,8.9054
2009-02-20,8.5727
2009-03-20,8.2103
2009-04-20,9.3362
2009-05-20,11.4206
2009-06-20,11.9726
2009-07-20,12.4953
2009-08-20,14.8943
2009-09-20,14.1984
2009-10-20,15.2099
2009-11-20,14.5521
2009-12-20,14.9026
2010-01-20,15.5487
2010-02-20,15.7875
2010-03-20,15.1798
2010-04-20,16.3221
2010-05-20,18.1884
2010-06-20,17.5171
2010-07-20,17.4555
2010-08-20,18.1454
2010-09-20,17.5721
2010-10-20,19.7824
2010-11-20,19.0348
2010-12-20,17.9376
2011-01-20,19.376
2011-02-20,17.5217
2011-03-20,18.1097
2011-04-20,17.7903
2011-05-20,17.5291
2011-06-20,17.525
2011-07-20,17.5527
2011-08-20,17.8803
2011-09-20,16.1158
2011-10-20,14.9288
2011-11-20,15.343
2011-12-20,15.1673
2012-01-20,15.5876
2012-02-20,16.0535
2012-03-20,15.8916
2012-04-20,15.7478
2012-05-20,15.8261
2012-06-20,14.2661
2012-07-20,14.8821
2012-08-20,15.5063
2012-09-20,14.9976
2012-10-20,15.8426
2012-11-20,15.7804
2012-12-20,15.2481
2013-01-20,16.1603
2013-02-20,16.3141
2013-03-20,17.8193
2013-04-20,17.4737
2013-05-20,18.1251
2013-06-20,17.4144
2013-07-20,16.8074
2013-08-20,16.3715
2013-09-20,14.8807
2013-10-20,15.2063
2013-11-20,16.3289
2013-12-20,15.2091
2014-01-20,15.337
2014-02-20,16.0424
2014-03-20,16.8131
2014-04-20,15.9705
2014-05-20,16.356
2014-06-20,16.399
2014-07-20,16.4471
2014-08-20,16.8154
2014-09-20,16.7809
2014-10-20,16.9419
2014-11-20,16.4539
2014-12-20,16.7953
2015-01-20,16.9542
2015-02-20,17.139
2015-03-20,17.8661
2015-04-20,17.9639
2015-05-20,16.2704
2015-06-20,17.0339
2015-07-20,15.9202
2015-08-20,15.9642
2015-09-20,15.2653
2015-10-20,13.8045
2015-11-20,15.3444
2015-12-20,15.4964
2016-01-20,16.2208
2016-02-20,16.4773
2016-03-20,16.9727
2016-04-20,17.4433
2016-05-20,17.1991
2016-06-20,17.1089
2016-07-20,18.0624
2016-08-20,18.618
2016-09-20,19.1887
2016-10-20,19.2371
2016-11-20,18.569
2016-12-20,16.8194
2017-01-20,17.5927
2017-02-20,17.4452
2017-03-20,17.8343
2017-04-20,19.1694
2017-05-20,18.9486
2017-06-20,19.2681
2017-07-20,19.7502
2017-08-20,18.9008
2017-09-20,19.038
2017-10-20,19.0688
2017-11-20,18.7324
2017-12-20,18.5784
2018-01-20,20.2298
2018-02-20,20.5104
2018-03-20,20.4217
2018-04-20,18.0237
2018-05-20,17.0436
2018-06-20,16.5206
2018-07-20,15.7534
2018-08-20,15.5897
2018-09-20,16.2663
2018-10-20,16.1976
2018-11-20,15.5107
2018-12-20,16.3517
2019-01-20,16.5678
2019-02-20,17.4806
2019-03-20,16.7951
2019-04-20,17.2791
2019-05-20,17.0589
2019-06-20,16.5492
2019-07-20,17.168
2019-08-20,17.3305
2019-09-20,16.7784
2019-10-20,16.4678
2019-11-20,16.8456
2019-12-20,16.3333
2020-01-20,17.3376
2020-02-20,16.5803
2020-03-20,15.1849
2020-04-20,12.2875
2020-05-20,12.5444
2020-06-20,12.862
2020-07-20,12.8423
2020-08-20,13.6861
2020-09-20,16.2739
2020-10-20,14.4933
2020-11-20,15.472
2020-12-20,19.1349
2021-01-20,20.0902
2021-02-20,19.5078
2021-03-20,20.0847
2021-04-20,20.86
2021-05-20,21.1306
2021-06-20,22.2879
2021-07-20,20.8413
2021-08-20,20.357
2021-09-20,18.8974
2021-10-20,19.4587
