date,profit_margin
2004-01-20,12.0226
2004-02-20,12.0226
2004-03-20,11.9964
2004-04-20,15.116
2004-05-20,16.1722
2004-06-20,13.875
2004-07-20,13.875
2004-08-20,13.875
2004-09-20,12.9195
2004-10-20,12.9195
2004-11-20,14.8367
2004-12-20,13.3462
2005-01-20,13.3462
2005-02-20,13.3462
2005-03-20,13.7142
2005-04-20,14.1501
2005-05-20,13.8056
2005-06-20,14.7227
2005-07-20,14.7227
2005-08-20,14.7227
2005-09-20,15.3377
2005-10-20,15.3108
2005-11-20,13.7995
2005-12-20,13.7987
2006-01-20,13.7987
2006-02-20,13.9064
2006-03-20,13.9064
2006-04-20,13.1415
2006-05-20,12.4928
2006-06-20,11.9608
2006-07-20,11.96
2006-08-20,11.9607
2006-09-20,12.1886
2006-10-20,12.1906
2006-11-20,13.2643
2006-12-20,12.9129
2007-01-20,12.9129
2007-02-20,12.9129
2007-03-20,12.9129
2007-04-20,13.9663
2007-05-20,14.0609
2007-06-20,13.6374
2007-07-20,13.6374
2007-08-20,13.6374
2007-09-20,17.1376
2007-10-20,17.3054
2007-11-20,16.3554
2007-12-20,17.5076
2008-01-20,17.5076
2008-02-20,17.5076
2008-03-20,17.5076
2008-04-20,17.5076
2008-05-20,17.7706
2008-06-20,17.8104
2008-07-20,17.8104
2008-08-20,17.8109
2008-09-20,15.7292
2008-10-20,15.7292
2008-11-20,14.4536
2008-12-20,15.157
2009-01-20,15.157
2009-02-20,15.1571
2009-03-20,15.1661
2009-04-20,15.1661
2009-05-20,14.1697
2009-06-20,13.9031
2009-07-20,13.9031
2009-08-20,13.9031
2009-09-20,13.8471
2009-10-20,13.8471
2009-11-20,13.9861
2009-12-20,13.8672
2010-01-20,13.9647
2010-02-20,13.9647
2010-03-20,13.9647
2010-04-20,15.3089
2010-05-20,13.732
2010-06-20,13.5274
2010-07-20,14.3042
2010-08-20,14.3042
2010-09-20,14.0245
2010-10-20,14.0245
2010-11-20,14.4952
2010-12-20,14.4494
2011-01-20,13.8329
2011-02-20,13.8329
2011-03-20,13.8329
2011-04-20,15.4996
2011-05-20,15.2692
2011-06-20,15.1633
2011-07-20,15.7413
2011-08-20,16.4669
2011-09-20,16.4118
2011-10-20,16.4194
2011-11-20,16.9357
2011-12-20,16.1549
2012-01-20,16.1549
2012-02-20,16.1549
2012-03-20,16.1549
2012-04-20,15.9368
2012-05-20,15.3127
2012-06-20,15.3681
2012-07-20,15.3681
2012-08-20,14.9918
2012-09-20,14.7535
2012-10-20,14.7535
2012-11-20,15.3035
2012-12-20,15.2004
2013-01-20,14.697
2013-02-20,14.697
2013-03-20,14.697
2013-04-20,15.2422
2013-05-20,14.8854
2013-06-20,14.7036
2013-07-20,14.6836
2013-08-20,15.0917
2013-09-20,14.9801
2013-10-20,14.9931
2013-11-20,14.323
2013-12-20,14.5539
2014-01-20,14.5522
2014-02-20,14.5508
2014-03-20,14.489
2014-04-20,16.5996
2014-05-20,16.4364
2014-06-20,16.44
2014-07-20,16.4402
2014-08-20,16.3498
2014-09-20,16.2962
