date,roa
2004-01-20,4.9698
2004-02-20,4.9698
2004-03-20,4.9698
2004-04-20,7.1174
2004-05-20,5.7909
2004-06-20,5.1554
2004-07-20,5.1554
2004-08-20,5.1554
2004-09-20,4.5151
2004-10-20,4.5151
2004-11-20,4.9229
2004-12-20,4.9593
2005-01-20,4.9593
2005-02-20,4.9593
2005-03-20,5.0006
2005-04-20,5.1413
2005-05-20,4.8532
2005-06-20,5.3464
2005-07-20,5.3464
2005-08-20,5.3464
2005-09-20,5.2595
2005-10-20,5.2428
2005-11-20,4.697
2005-12-20,4.9169
2006-01-20,4.9169
2006-02-20,4.9105
2006-03-20,4.9105
2006-04-20,4.8612
2006-05-20,4.7904
2006-06-20,4.6425
2006-07-20,4.6425
2006-08-20,4.6425
2006-09-20,4.3976
2006-10-20,4.3976
2006-11-20,4.8661
2006-12-20,4.663
2007-01-20,4.663
2007-02-20,4.663
2007-03-20,4.663
2007-04-20,4.7493
2007-05-20,4.8615
2007-06-20,4.903
2007-07-20,4.903
2007-08-20,4.903
2007-09-20,6.0616
2007-10-20,6.1315
2007-11-20,5.8893
2007-12-20,6.2446
2008-01-20,6.2446
2008-02-20,6.2446
2008-03-20,6.2446
2008-04-20,6.2446
2008-05-20,5.5057
2008-06-20,6.4039
2008-07-20,6.4031
2008-08-20,6.4008
2008-09-20,5.3945
2008-10-20,5.3945
2008-11-20,5.3682
2008-12-20,5.3981
2009-01-20,5.3981
2009-02-20,5.3981
2009-03-20,5.4047
2009-04-20,5.4047
2009-05-20,5.0659
2009-06-20,5.0773
2009-07-20,5.0773
2009-08-20,5.0773
2009-09-20,4.9028
2009-10-20,4.9028
2009-11-20,4.7811
2009-12-20,4.7461
2010-01-20,4.768
2010-02-20,4.768
2010-03-20,4.768
2010-04-20,4.2519
2010-05-20,4.529
2010-06-20,4.4716
2010-07-20,4.7186
2010-08-20,4.7186
2010-09-20,4.8465
2010-10-20,4.8465
2010-11-20,5.1039
2010-12-20,5.0892
2011-01-20,4.8312
2011-02-20,4.8312
2011-03-20,4.8312
2011-04-20,5.5312
2011-05-20,5.1798
2011-06-20,5.1449
2011-07-20,5.3312
2011-08-20,5.5544
2011-09-20,5.5623
2011-10-20,5.5685
2011-11-20,5.7294
2011-12-20,5.5022
2012-01-20,5.5022
2012-02-20,5.5022
2012-03-20,5.5089
2012-04-20,5.169
2012-05-20,5.116
2012-06-20,5.1499
2012-07-20,5.1499
2012-08-20,4.9439
2012-09-20,4.8415
2012-10-20,4.8415
2012-11-20,4.9858
2012-12-20,4.9676
2013-01-20,4.7871
2013-02-20,4.7839
2013-03-20,4.7881
2013-04-20,4.8713
2013-05-20,4.7095
2013-06-20,4.6391
2013-07-20,4.6361
2013-08-20,4.666
2013-09-20,4.6255
2013-10-20,4.6107
2013-11-20,4.4206
2013-12-20,4.3859
2014-01-20,4.3856
2014-02-20,4.3855
2014-03-20,4.3854
2014-04-20,4.7139
2014-05-20,4.8652
2014-06-20,4.8381
2014-07-20,4.8382
2014-08-20,4.8873
2014-09-20,4.818
2014-10-20,4.818
2014-11-20,4.7254
2014-12-20,4.7174
2015-01-20,4.7169
2015-02-20,4.7168
2015-03-20,4.7166
2015-04-20,4.4613
2015-05-20,4.3437
2015-06-20,4.3136
2015-07-20,4.3131
2015-08-20,4.1472
2015-09-20,4.1233
2015-10-20,4.1211
2015-11-20,3.9412
2015-12-20,3.9052
2016-01-20,3.9052
2016-02-20,3.9052
2016-03-20,3.9061
2016-04-20,3.7438
2016-05-20,3.7343
2016-06-20,3.712
2016-07-20,3.712
2016-08-20,3.7146
2016-09-20,3.6562
2016-10-20,3.6658
2016-11-20,3.671
2016-12-20,3.6816
2017-01-20,3.6816
2017-02-20,3.6816
2017-03-20,3.6816
2017-04-20,3.6064
2017-05-20,3.7093
2017-06-20,3.7037
2017-07-20,3.7036
2017-08-20,3.8054
2017-09-20,3.7428
2017-10-20,3.7428
2017-11-20,3.7752
2017-12-20,3.7835
2018-01-20,3.7834
2018-02-20,3.7832
2018-03-20,3.7832
2018-04-20,3.6042
2018-05-20,3.7637
2018-06-20,3.7128
2018-07-20,3.7128
2018-08-20,3.8154
2018-09-20,3.7573
2018-10-20,3.7573
2018-11-20,3.8019
2018-12-20,3.7963
2019-01-20,3.7963
2019-02-20,3.7963
2019-03-20,3.7963
2019-04-20,3.3304
2019-05-20,3.7383
2019-06-20,3.7056
2019-07-20,3.6966
2019-08-20,3.6509
2019-09-20,3.6578
2019-10-20,3.6441
2019-11-20,3.5692
2019-12-20,3.5647
2020-01-20,3.5556
2020-02-20,3.5556
2020-03-20,3.5556
2020-04-20,2.9469
2020-05-20,3.1127
2020-06-20,3.3662
2020-07-20,3.3865
2020-08-20,3.3865
2020-09-20,3.1618
2020-10-20,3.1564
2020-11-20,3.1564
2020-12-20,2.6951
2021-01-20,2.6951
2021-02-20,2.6951
2021-03-20,2.6951
2021-04-20,2.0866
2021-05-20,2.2409
2021-06-20,2.1857
