date,roc
2004-01-20,11.086
2004-02-20,11.086
2004-03-20,11.086
2004-04-20,14.2707
2004-05-20,13.3456
2004-06-20,13.1404
2004-07-20,13.1404
2004-08-20,13.1404
2004-09-20,12.3755
2004-10-20,12.3755
2004-11-20,13.3348
2004-12-20,13.2728
2005-01-20,13.2728
2005-02-20,13.2728
2005-03-20,13.3833
2005-04-20,13.6063
2005-05-20,13.8683
2005-06-20,13.4612
2005-07-20,13.4612
2005-08-20,13.4612
2005-09-20,14.5003
2005-10-20,14.4389
2005-11-20,12.7305
2005-12-20,13.9475
2006-01-20,13.9475
2006-02-20,13.8894
2006-03-20,13.8894
2006-04-20,13.7498
2006-05-20,13.2038
2006-06-20,12.5844
2006-07-20,12.5844
2006-08-20,12.5844
2006-09-20,12.4702
2006-10-20,12.4702
2006-11-20,13.5113
2006-12-20,12.7489
2007-01-20,12.7489
2007-02-20,12.7489
2007-03-20,12.7489
2007-04-20,13.7032
2007-05-20,13.2465
2007-06-20,13.249
2007-07-20,13.249
2007-08-20,13.249
2007-09-20,17.1528
2007-10-20,17.3158
2007-11-20,16.6057
2007-12-20,17.3377
2008-01-20,17.3377
2008-02-20,17.3377
2008-03-20,17.3377
2008-04-20,17.3377
2008-05-20,17.7223
2008-06-20,17.5598
2008-07-20,17.5551
2008-08-20,17.5489
2008-09-20,16.5836
2008-10-20,16.5836
2008-11-20,14.8193
2008-12-20,14.2709
2009-01-20,14.2709
2009-02-20,14.2709
2009-03-20,14.3064
2009-04-20,14.3064
2009-05-20,14.2077
2009-06-20,14.0385
2009-07-20,14.0385
2009-08-20,14.0385
2009-09-20,14.3411
2009-10-20,14.3411
2009-11-20,13.3792
2009-12-20,13.1374
2010-01-20,13.1747
2010-02-20,13.1747
2010-03-20,13.1747
2010-04-20,15.1838
2010-05-20,12.6292
2010-06-20,12.4895
2010-07-20,13.1439
2010-08-20,13.1439
2010-09-20,13.8569
2010-10-20,13.8569
2010-11-20,14.0351
2010-12-20,14.0078
2011-01-20,13.1503
2011-02-20,13.1503
2011-03-20,13.1503
2011-04-20,14.2094
2011-05-20,14.5911
2011-06-20,14.2782
2011-07-20,14.9534
2011-08-20,15.2899
2011-09-20,15.7502
2011-10-20,15.7713
2011-11-20,15.6748
2011-12-20,15.1721
2012-01-20,15.1721
2012-02-20,15.1721
2012-03-20,15.1933
2012-04-20,14.7832
2012-05-20,13.9904
2012-06-20,14.0118
2012-07-20,14.0118
2012-08-20,13.6551
2012-09-20,13.4643
2012-10-20,13.4643
2012-11-20,13.7164
2012-12-20,13.6614
2013-01-20,13.1649
2013-02-20,13.2386
2013-03-20,13.223
2013-04-20,14.7059
2013-05-20,12.9152
2013-06-20,12.6108
2013-07-20,12.5974
2013-08-20,12.2953
2013-09-20,12.2419
2013-10-20,12.7448
2013-11-20,11.9145
2013-12-20,11.8307
2014-01-20,11.8299
2014-02-20,11.8298
