date,div_yield
2004-01-20,0.9406
2004-02-20,0.9598
2004-03-20,0.9013
2004-04-20,0.9371
2004-05-20,1.0153
2004-06-20,0.9693
2004-07-20,0.9848
2004-08-20,1.0118
2004-09-20,1.0036
2004-10-20,1.09
2004-11-20,1.0628
2004-12-20,1.061
2005-01-20,1.0551
2005-02-20,1.0235
2005-03-20,1.0017
2005-04-20,1.2329
2005-05-20,1.2308
2005-06-20,1.1824
2005-07-20,1.161
2005-08-20,1.1096
2005-09-20,1.0084
2005-10-20,1.0654
2005-11-20,0.9588
2005-12-20,0.911
2006-01-20,0.9149
2006-02-20,0.9311
2006-03-20,0.8723
2006-04-20,0.9896
2006-05-20,1.0552
2006-06-20,1.1378
2006-07-20,1.1055
2006-08-20,1.0259
2006-09-20,1.0791
2006-10-20,1.113
2006-11-20,1.1874
2006-12-20,1.0911
2007-01-20,1.0679
2007-02-20,1.0247
2007-03-20,1.0672
2007-04-20,1.1885
2007-05-20,1.1947
2007-06-20,1.1289
2007-07-20,1.1395
2007-08-20,1.329
2007-09-20,1.2853
2007-10-20,1.3689
2007-11-20,1.4848
2007-12-20,1.4891
2008-01-20,1.6236
2008-02-20,1.6783
2008-03-20,1.8425
2008-04-20,1.7772
2008-05-20,1.6548
2008-06-20,1.6926
2008-07-20,1.8461
2008-08-20,1.8774
2008-09-20,2.0251
2008-10-20,2.6025
2008-11-20,3.127
2008-12-20,2.9072
2009-01-20,3.0025
2009-02-20,3.2772
2009-03-20,3.1705
2009-04-20,2.3951
2009-05-20,2.2884
2009-06-20,2.2092
2009-07-20,2.2928
2009-08-20,2.0906
2009-09-20,2.1283
2009-10-20,1.7936
2009-11-20,1.938
2009-12-20,1.8129
2010-01-20,1.7027
2010-02-20,1.8113
2010-03-20,1.6985
2010-04-20,1.6678
2010-05-20,1.8071
2010-06-20,1.8436
2010-07-20,1.9644
2010-08-20,1.9812
2010-09-20,1.9277
2010-10-20,2.1237
2010-11-20,2.01
2010-12-20,1.9549
2011-01-20,1.9034
2011-02-20,1.8138
2011-03-20,2.1246
2011-04-20,2.1822
2011-05-20,2.2042
2011-06-20,2.2774
2011-07-20,2.1466
2011-08-20,2.4705
2011-09-20,2.4713
2011-10-20,2.559
2011-11-20,2.6424
2011-12-20,2.6491
2012-01-20,2.5204
2012-02-20,2.311
2012-03-20,2.1806
2012-04-20,2.3834
2012-05-20,2.6665
2012-06-20,2.5707
2012-07-20,2.6296
2012-08-20,2.5205
2012-09-20,2.5559
2012-10-20,2.5568
2012-11-20,2.506
2012-12-20,2.2623
2013-01-20,2.1
2013-02-20,1.9561
2013-03-20,1.8249
2013-04-20,1.7784
2013-05-20,1.5615
2013-06-20,1.8156
2013-07-20,1.6507
2013-08-20,1.7744
2013-09-20,1.641
2013-10-20,1.7798
2013-11-20,1.7363
2013-12-20,1.6895
2014-01-20,1.6676
2014-02-20,1.8027
2014-03-20,1.8803
2014-04-20,2.0308
2014-05-20,2.0634
2014-06-20,1.8741
2014-07-20,1.891
2014-08-20,1.8727
2014-09-20,1.7943
2014-10-20,2.0448
2014-11-20,1.7765
2014-12-20,1.7619
2015-01-20,1.7982
2015-02-20,1.6786
2015-03-20,1.5942
2015-04-20,1.721
2015-05-20,1.6591
2015-06-20,1.6751
2015-07-20,1.6549
2015-08-20,1.702
2015-09-20,1.8877
2015-10-20,1.953
2015-11-20,1.8173
2015-12-20,1.8968
2016-01-20,2.1912
2016-02-20,2.2707
2016-03-20,2.1977
2016-04-20,2.1789
2016-05-20,2.2235
2016-06-20,2.3203
2016-07-20,2.2408
2016-08-20,2.2867
2016-09-20,2.2644
2016-10-20,2.2026
2016-11-20,2.11
2016-12-20,1.931
2017-01-20,1.9653
2017-02-20,1.9572
2017-03-20,1.9418
2017-04-20,2.1777
2017-05-20,2.0639
2017-06-20,1.9898
2017-07-20,1.9808
